comparison,experiment,metric,design,mean_1,mean_2,cohens_d,hedges_g,glass_delta,cliffs_delta,cohens_dz,matched_rank_biserial,bootstrap_ci_lower,bootstrap_ci_upper,n_1,n_2,cliffs_magnitude,cohens_magnitude
Greedy vs RLS,E4,reduction,paired,0.000000,0.000000,,,,,,0.000000,0.000000,0.000000,100,100,not applicable (paired design),not applicable (paired design)
Greedy vs SA,E4,reduction,paired,0.000000,-0.015467,,,,,0.480311,0.963441,0.009600,0.022133,100,100,not applicable (paired design),not applicable (paired design)
Greedy vs GA,E4,reduction,paired,0.000000,-0.002267,,,,,0.267079,0.868132,0.000667,0.004000,100,100,not applicable (paired design),not applicable (paired design)
Phase-1 vs Phase-2a,E10,reduction,paired,0.008183,0.059337,,,,,-0.424395,-0.945802,-0.060009,-0.041235,635,635,not applicable (paired design),not applicable (paired design)
Random vs Structured,E14,reduction,independent,0.070042,0.067858,0.009625,0.009621,0.009249,0.228046,,,-0.016125,0.020447,210,1920,small,negligible
Random vs Adder,E14,reduction,independent,0.070042,0.000000,0.791387,0.789576,0.631721,0.361905,,,0.055325,0.085277,210,120,medium,medium
Random vs CNOT,E14,reduction,independent,0.070042,0.666667,-1.839557,-1.835855,-1.261790,-0.546032,,,-0.669677,-0.522985,210,165,large,large
Random vs GHZ,E14,reduction,independent,0.070042,0.000000,0.843930,0.842232,0.631721,0.361905,,,0.055500,0.085197,210,165,medium,large
Random vs Grover,E14,reduction,independent,0.070042,0.035379,0.370016,0.369169,0.680013,0.039841,,,0.017224,0.051873,210,120,negligible,small
Random vs HardwareEfficient,E14,reduction,independent,0.070042,0.000000,0.843930,0.842232,0.631721,0.361905,,,0.055500,0.085197,210,165,medium,large
Random vs IQP,E14,reduction,independent,0.070042,0.002020,0.816758,0.815114,6.520968,0.336623,,,0.053343,0.083360,210,165,medium,large
Random vs Oracle,E14,reduction,independent,0.070042,0.093181,-0.174833,-0.174481,-0.148828,0.004502,,,-0.051526,0.004368,210,165,negligible,negligible
Random vs QAOA,E14,reduction,independent,0.070042,0.000000,0.843930,0.842232,0.631721,0.361905,,,0.055500,0.085197,210,165,medium,large
Random vs QFT,E14,reduction,independent,0.070042,0.000000,0.843930,0.842232,0.631721,0.361905,,,0.055500,0.085197,210,165,medium,large
Random vs QuantumWalk,E14,reduction,independent,0.070042,0.000000,0.791387,0.789576,0.631721,0.361905,,,0.055325,0.085277,210,120,medium,medium
Random vs SurfaceCode,E14,reduction,independent,0.070042,0.000000,0.843930,0.842232,0.631721,0.361905,,,0.055500,0.085197,210,165,medium,large
Random vs UCCSD,E14,reduction,independent,0.070042,0.002778,0.758092,0.756357,6.444767,0.316825,,,0.052371,0.082413,210,120,small,medium
Random vs VQE,E14,reduction,independent,0.070042,0.000000,0.791387,0.789576,0.631721,0.361905,,,0.055325,0.085277,210,120,medium,medium
WCL vs LBL,E19,reduction,paired,0.078285,0.000000,,,,,1.981119,1.000000,0.077187,0.079367,5000,5000,not applicable (paired design),not applicable (paired design)
