Test,Raw_p_value,Adjusted_p_value_BH,Significant_at_0.05,Rejected,Primary_effect_metric,Primary_effect,Secondary_effect_metric,Secondary_effect,Cliffs_delta,Cliffs_delta_CI95,Hedges_g,Hedges_g_CI95,Effect_size_note
E1: Reduction across depths (Kruskal-Wallis),1.0,1.0,not significant,False,cliffs_delta,0.0,,,0.0,"[0.0000, 0.0000]",,,max pairwise (pair 0 vs 1); Hedges g undefined (zero variance)
E2: Entanglement-reduction correlation (Pearson),1.0,1.0,not significant,False,pearson_r,,,,,,,,Pearson r=undefined (zero variance)
E3: Reduction across qubit counts (Kruskal-Wallis),1.0,1.0,not significant,False,cliffs_delta,0.0,,,0.0,"[0.0000, 0.0000]",,,max pairwise (pair 0 vs 1); Hedges g undefined (zero variance)
E4: Reduction across optimizers (paired omnibus),4.855259645179178e-12,7.282889467768766e-12,significant,True,matched_rank_biserial,0.9634408602150538,cohen_dz,0.4803105811494158,,,,,max paired contrast (greedy vs sa); n_pairs=100
E4: Runtime across optimizers (paired omnibus),4.591731029814267e-61,2.2958655149071333e-60,significant,True,matched_rank_biserial,1.0,cohen_dz,2.6883822964629425,,,,,max paired contrast (ga vs greedy); n_pairs=100
E5: Reduction across depths (Kruskal-Wallis),6.476212108849583e-11,8.831198330249432e-11,significant,True,cliffs_delta,-0.059847,hedges_g,-0.0016567966793307163,-0.059847,"[-0.0799, -0.0398]",-0.0016567966793307163,"[-0.0893, 0.0860]",max pairwise (pair 0 vs 3)
E10: Reduction across circuit families (Kruskal-Wallis),8.483150758396029e-166,1.2724726137594043e-164,significant,True,cliffs_delta,-0.6816666666666666,hedges_g,-1.2297087886309506,-0.6816666666666666,"[-0.7190, -0.6444]",-1.2297087886309506,"[-1.7467, -0.7127]",max pairwise (pair 0 vs 6)
E10: Reduction across optimizers (paired omnibus),3.8660466605321655e-151,2.899534995399124e-150,significant,True,matched_rank_biserial,-1.0,cohen_dz,-0.09683850966013083,,,,,max paired contrast (commutation_phase2 vs hybrid_phase1_2); n_pairs=635
E10 Universal: Greedy vs Hybrid (paired Wilcoxon),1.9835457130971727e-29,4.250455099493941e-29,significant,True,matched_rank_biserial,-1.0,cohen_dz,-1.234184316975921,,,,,max paired contrast (reduction_greedy vs reduction_hybrid); n_pairs=200
"E11: Reduction across circuit families (KW, H7)",1.5520644450541643e-34,3.880161112635411e-34,significant,True,cliffs_delta,-0.6666666666666666,hedges_g,-1.8007316959073953,-0.6666666666666666,"[-0.8300, -0.5033]",-1.8007316959073953,"[-2.4275, -1.1739]",max pairwise (pair 0 vs 1)
"E12: Reduction across optimization levels (paired omnibus, H8)",3.289117089834711e-51,9.867351269504134e-51,significant,True,matched_rank_biserial,-1.0,cohen_dz,-0.43972690026513744,,,,,max paired contrast (0 vs 1); n_pairs=142
"E15: Reduction across compilers (paired omnibus, H10)",4.210299713402557e-58,1.5788623925259587e-57,significant,True,matched_rank_biserial,-1.0,cohen_dz,-0.29304773492725067,,,,,max paired contrast (commutation_phase2:none vs hybrid_phase1_2:none); n_pairs=142
"E16: Reduction across window sizes (paired omnibus, H11)",2.3079819813864702e-20,4.327466215099632e-20,significant,True,matched_rank_biserial,-1.0,cohen_dz,-0.24385817071662091,,,,,max paired contrast (2 vs 5); n_pairs=174
"E17: Reduction across topologies (paired omnibus, H12)",1.0,1.0,not significant,False,matched_rank_biserial,0.0,cohen_dz,0.0,,,,,max paired contrast (grid vs heavy_hex); n_pairs=219
"E18: Reduction across families in Clifford+T (KW, H13)",2.3967389836188042e-14,3.994564972698007e-14,significant,True,cliffs_delta,-1.0,hedges_g,-10.509309240661397,-1.0,"[-1.0000, -1.0000]",-10.509309240661397,"[-13.5795, -7.4391]",max pairwise (pair 2 vs 3)
