section,pass_name,compiler,metric,value,circuit_family
pass_effectiveness,CommutativeCancellation,qiskit,mean_reduction,0.31637520750011683,all
pass_effectiveness,CommutativeCancellation,qiskit,std_reduction,0.3781625179754384,all
pass_effectiveness,CommutativeCancellation,qiskit,best_family_reduction,1.0,CNOT_chain
pass_effectiveness,Optimize1qGates,qiskit,mean_reduction,0.0,all
pass_effectiveness,Optimize1qGates,qiskit,std_reduction,0.0,all
pass_effectiveness,Optimize1qGates,qiskit,best_family_reduction,0.0,CNOT_chain
pass_effectiveness,commutation_phase2,custom,mean_reduction,0.11329828442319372,all
pass_effectiveness,commutation_phase2,custom,std_reduction,0.1559912962192092,all
pass_effectiveness,commutation_phase2,custom,best_family_reduction,0.32863408521303256,Oracle
pass_effectiveness,greedy_phase1,custom,mean_reduction,0.2,all
pass_effectiveness,greedy_phase1,custom,std_reduction,0.4082482904638631,all
pass_effectiveness,greedy_phase1,custom,best_family_reduction,1.0,CNOT_chain
family_pass_breakdown,CommutativeCancellation,qiskit,mean_reduction,1.0,CNOT_chain
family_pass_breakdown,Optimize1qGates,qiskit,mean_reduction,0.0,CNOT_chain
family_pass_breakdown,commutation_phase2,custom,mean_reduction,0.0,CNOT_chain
family_pass_breakdown,greedy_phase1,custom,mean_reduction,1.0,CNOT_chain
family_pass_breakdown,CommutativeCancellation,qiskit,mean_reduction,0.0,GHZ
family_pass_breakdown,Optimize1qGates,qiskit,mean_reduction,0.0,GHZ
family_pass_breakdown,commutation_phase2,custom,mean_reduction,0.0,GHZ
family_pass_breakdown,greedy_phase1,custom,mean_reduction,0.0,GHZ
family_pass_breakdown,CommutativeCancellation,qiskit,mean_reduction,0.32863408521303256,Oracle
family_pass_breakdown,Optimize1qGates,qiskit,mean_reduction,0.0,Oracle
family_pass_breakdown,commutation_phase2,custom,mean_reduction,0.32863408521303256,Oracle
family_pass_breakdown,greedy_phase1,custom,mean_reduction,0.0,Oracle
family_pass_breakdown,CommutativeCancellation,qiskit,mean_reduction,0.0,QFT
family_pass_breakdown,Optimize1qGates,qiskit,mean_reduction,0.0,QFT
family_pass_breakdown,commutation_phase2,custom,mean_reduction,0.0,QFT
family_pass_breakdown,greedy_phase1,custom,mean_reduction,0.0,QFT
family_pass_breakdown,CommutativeCancellation,qiskit,mean_reduction,0.2532419522875514,RandomClifford
family_pass_breakdown,Optimize1qGates,qiskit,mean_reduction,0.0,RandomClifford
family_pass_breakdown,commutation_phase2,custom,mean_reduction,0.23785733690293603,RandomClifford
family_pass_breakdown,greedy_phase1,custom,mean_reduction,0.0,RandomClifford
gap_analysis,N/A,N/A,our_best_reduction,0.0,Adder
gap_analysis,N/A,N/A,qiskit_full_pipeline,0.0,Adder
gap_analysis,N/A,N/A,gap,0.0,Adder
gap_analysis,N/A,N/A,CC_reduction,0.0,Adder
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,Adder
gap_analysis,N/A,N/A,gap_frac_CC,0.0,Adder
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,Adder
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,Adder
gap_analysis,N/A,N/A,our_best_reduction,1.0,CNOT
gap_analysis,N/A,N/A,qiskit_full_pipeline,1.0,CNOT
gap_analysis,N/A,N/A,gap,0.0,CNOT
gap_analysis,N/A,N/A,CC_reduction,1.0,CNOT
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,CNOT
gap_analysis,N/A,N/A,gap_frac_CC,0.0,CNOT
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,CNOT
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,CNOT
gap_analysis,N/A,N/A,our_best_reduction,0.0,GHZ
gap_analysis,N/A,N/A,qiskit_full_pipeline,0.0,GHZ
gap_analysis,N/A,N/A,gap,0.0,GHZ
gap_analysis,N/A,N/A,CC_reduction,0.0,GHZ
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,GHZ
gap_analysis,N/A,N/A,gap_frac_CC,0.0,GHZ
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,GHZ
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,GHZ
gap_analysis,N/A,N/A,our_best_reduction,0.1739130434782608,Grover
gap_analysis,N/A,N/A,qiskit_full_pipeline,0.5652173913043479,Grover
gap_analysis,N/A,N/A,gap,0.3913043478260871,Grover
gap_analysis,N/A,N/A,CC_reduction,0.0,Grover
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,Grover
gap_analysis,N/A,N/A,gap_frac_CC,0.0,Grover
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,Grover
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,Grover
gap_analysis,N/A,N/A,our_best_reduction,0.0,HaarRandom
gap_analysis,N/A,N/A,qiskit_full_pipeline,0.0654545454545454,HaarRandom
gap_analysis,N/A,N/A,gap,0.0654545454545454,HaarRandom
gap_analysis,N/A,N/A,CC_reduction,0.0,HaarRandom
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,HaarRandom
gap_analysis,N/A,N/A,gap_frac_CC,0.0,HaarRandom
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,HaarRandom
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,HaarRandom
gap_analysis,N/A,N/A,our_best_reduction,0.0,HardwareEfficient
gap_analysis,N/A,N/A,qiskit_full_pipeline,0.375,HardwareEfficient
gap_analysis,N/A,N/A,gap,0.375,HardwareEfficient
gap_analysis,N/A,N/A,CC_reduction,0.0,HardwareEfficient
gap_analysis,N/A,N/A,Opt1q_reduction,0.0,HardwareEfficient
gap_analysis,N/A,N/A,gap_frac_CC,0.0,HardwareEfficient
gap_analysis,N/A,N/A,gap_frac_Opt1q,0.0,HardwareEfficient
gap_analysis,N/A,N/A,gap_frac_unexplained,0.0,HardwareEfficient
