Experiment,N,Mean_Reduction_%,Max_Reduction_%,Std_Reduction_%,Success_20pct_%,Mean_Fidelity,Mean_Runtime_ms,Cliffs_delta_vs_0,Cliffs_delta_CI95,Hedges_g_vs_0,Hedges_g_CI95,Cliffs_delta,Hedges_g,Effect_size_note
E1,25000,0.0000,0.00,0.0000,0.00,1.000000,3.83,0.0000,"[0.0000, 0.0000]",nan,"[nan, nan]",,,
E2,2100,0.0000,0.00,0.0000,0.00,1.000000,5.76,0.0000,"[0.0000, 0.0000]",nan,"[nan, nan]",,,
E3,11962,0.0000,0.00,0.0000,0.00,1.000000,2.74,0.0000,"[0.0000, 0.0000]",nan,"[nan, nan]",,,
E4,400,-0.4433,2.67,1.7796,0.00,0.999981,3948.80,-0.0875,"[-0.1185, -0.0565]",-0.3520,"[-0.4916, -0.2123]",,,
E5,6000,0.2161,26.67,1.1912,0.02,1.000000,2.55,0.0528,"[0.0472, 0.0585]",0.2565,"[0.2206, 0.2925]",,,
FDR,15,p_raw=1.000000,p_adj=1.000000,BH-FDR,ns,alpha=0.05,E1: Reduction across depths (Kruskal-Wallis),,,,,0.0000,n/a,max pairwise (pair 0 vs 1); Hedges g undefined (zero variance)
FDR,15,p_raw=1.000000,p_adj=1.000000,BH-FDR,ns,alpha=0.05,E2: Entanglement-reduction correlation (Pearson),,,,,n/a,n/a,Pearson r=undefined (zero variance)
FDR,15,p_raw=1.000000,p_adj=1.000000,BH-FDR,ns,alpha=0.05,E3: Reduction across qubit counts (Kruskal-Wallis),,,,,0.0000,n/a,max pairwise (pair 0 vs 1); Hedges g undefined (zero variance)
FDR,15,p_raw=0.000000,p_adj=0.000000,BH-FDR,significant,alpha=0.05,E4: Reduction across optimizers (paired omnibus),,,,,n/a,n/a,max paired contrast (greedy vs sa); n_pairs=100
FDR,15,p_raw=0.000000,p_adj=0.000000,BH-FDR,significant,alpha=0.05,E4: Runtime across optimizers (paired omnibus),,,,,n/a,n/a,max paired contrast (ga vs greedy); n_pairs=100
FDR,15,p_raw=0.000000,p_adj=0.000000,BH-FDR,significant,alpha=0.05,E5: Reduction across depths (Kruskal-Wallis),,,,,-0.0598,-0.0017,max pairwise (pair 0 vs 3)
FDR,15,p_raw=0.000000,p_adj=0.000000,BH-FDR,significant,alpha=0.05,E10: Reduction across circuit families (Kruskal-Wallis),,,,,-0.6817,-1.2297,max pairwise (pair 0 vs 6)
FDR,15,p_raw=0.000000,p_adj=0.000000,BH-FDR,significant,alpha=0.05,E10: Reduction across optimizers (paired omnibus),,,,,n/a,n/a,max paired contrast (commutation_phase2 vs hybrid_phase1_2); n_pairs=635
FDR,15,p_raw=0.000000,p_adj=0.000000,BH-FDR,significant,alpha=0.05,E10 Universal: Greedy vs Hybrid (paired Wilcoxon),,,,,n/a,n/a,max paired contrast (reduction_greedy vs reduction_hybrid); n_pairs=200
FDR,15,p_raw=0.000000,p_adj=0.000000,BH-FDR,significant,alpha=0.05,"E11: Reduction across circuit families (KW, H7)",,,,,-0.6667,-1.8007,max pairwise (pair 0 vs 1)
FDR,15,p_raw=0.000000,p_adj=0.000000,BH-FDR,significant,alpha=0.05,"E12: Reduction across optimization levels (paired omnibus, H8)",,,,,n/a,n/a,max paired contrast (0 vs 1); n_pairs=142
FDR,15,p_raw=0.000000,p_adj=0.000000,BH-FDR,significant,alpha=0.05,"E15: Reduction across compilers (paired omnibus, H10)",,,,,n/a,n/a,max paired contrast (commutation_phase2:none vs hybrid_phase1_2:none); n_pairs=142
FDR,15,p_raw=0.000000,p_adj=0.000000,BH-FDR,significant,alpha=0.05,"E16: Reduction across window sizes (paired omnibus, H11)",,,,,n/a,n/a,max paired contrast (2 vs 5); n_pairs=174
FDR,15,p_raw=1.000000,p_adj=1.000000,BH-FDR,ns,alpha=0.05,"E17: Reduction across topologies (paired omnibus, H12)",,,,,n/a,n/a,max paired contrast (grid vs heavy_hex); n_pairs=219
FDR,15,p_raw=0.000000,p_adj=0.000000,BH-FDR,significant,alpha=0.05,"E18: Reduction across families in Clifford+T (KW, H13)",,,,,-1.0000,-10.5093,max pairwise (pair 2 vs 3)
