experiment,n_records,n_qubits_range,depth_range,mean_reduction_pct,std_reduction_pct,mean_fidelity,mean_runtime_ms,best_optimizer,status
E1,25000,5-5,1-50,0.0,0.0,1.0,3.83,N/A,ok
E2,2100,6-6,20-20,0.0,0.0,1.0,5.76,N/A,ok
E3,12000,3-10,1-30,0.0,0.0,0.996833,2.74,N/A,ok
E4,400,5-5,15-15,-0.4433,1.7796,0.999981,3948.8,N/A,ok
E5,6000,5-5,3-20,0.2161,1.1912,1.0,2.55,3.0.0,ok
E10,1905,3-7,3-27,4.5143,9.7635,1.0,48.8,hybrid_phase1_2,ok
E11,519,2-21,3-189,6.5682,21.3177,0.976879,67167.71,hybrid_phase1_2,ok
E12,568,2-21,3-189,-195.375,897.0938,1.0,11.1,none,ok
E13,56,3-11,3-36,N/A,N/A,N/A,N/A,N/A,ok
E14,2130,2-21,3-189,6.8073,22.691,0.99061,27936.54,hybrid_phase1_2,ok
E15,994,2-21,N/A,-108.6213,685.4141,1.0,32099.36,hybrid_phase1_2,ok
E16,696,2-9,N/A,5.9314,19.4953,1.0,3774.23,hybrid_phase1_2,ok
E17,755,2-9,N/A,0.0,0.0,1.0,3763.43,N/A,ok
E18,270,2-21,N/A,18.8225,31.5524,0.78125,3792.91,hybrid_phase1_2,ok
E19,10000,5-5,1-50,3.9143,4.8093,1.0,39.2,greedy_gate_cancellation,ok
E19-ext,960,4-10,4-59,9.2321,24.6656,1.0,2989.64,greedy_gate_cancellation,ok
E20,1070,4-10,N/A,-103.0465,535.097,0.993595,N/A,optimize_for_target_gateset+eject_z+merge_1q,ok
E21,1140,4-10,N/A,9.6312,26.3808,1.0,N/A,N/A,ok
E22,2240,6-7,N/A,6.3271,17.7724,1.0,257.14,greedy_phase1_lbl,ok
E23,160,3-10,N/A,0.0,0.0,1.0,0.46,N/A,ok
E24,75,4-12,N/A,27.4332,37.8196,1.0,15.46,phase2a_commutation,ok
E25,66,3-7,3-14,12.0395,29.4563,1.0,16.65,hybrid_phase1_2,ok
E26,2427,3-11,3-59,19.3065,28.0017,1.0,42.77,template_phase2b,ok
E26-pilot,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ok
E27,675,3-8,10-30,7.0224,16.4849,1.0,9.15,template_phase2b,ok
E29,800,5-5,15-15,-50.575,73.7579,0.999989,3356.29,hybrid,ok
E30,13500,4-8,10-40,N/A,N/A,N/A,N/A,N/A,ok
E10p2b,1017,3-11,3-27,3.7454,9.3613,1.0,41.65,commutation_phase2a,ok
E10var,700,3-8,3-27,8.3977,26.4884,1.0,8.78,greedy_phase1,ok
E10p2b-full,624,3-13,3-65,5.8211,12.7469,1.0,27.1,commutation_phase2a,ok
EHW,288,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ok
E_listing,6720,3-10,N/A,N/A,N/A,N/A,N/A,N/A,ok
SOTA,105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ok
