depth,success_rate,mean_reduction,mean_entropy,n_trials
1,0.32,0.14800000000000002,-7.962803023768507e-17,100
2,0.17,0.142,6.315326536092264e-16,100
3,0.28,0.13866666666666666,2.2101341121163225e-05,100
4,0.22,0.14249999999999996,0.2548266141443168,100
5,0.28,0.14359999999999995,0.10931740628057529,100
6,0.17,0.1463333333333333,0.0660648908529386,100
7,0.27,0.1431428571428571,0.20322212560004005,100
8,0.15,0.14274999999999996,0.2888094498700848,100
9,0.22,0.14733333333333332,0.41779772329921305,100
10,0.12,0.14359999999999998,0.36419540241441484,100
11,0.19,0.14418181818181816,0.5481599117235607,100
12,0.12,0.14283333333333328,0.5739596421240495,100
13,0.2,0.14446153846153842,0.6434513206333512,100
14,0.14,0.14299999999999996,0.696706167555315,100
15,0.2,0.14359999999999995,0.7419205430462951,100
16,0.11,0.14062499999999994,0.799808550672116,100
17,0.16,0.13964705882352937,0.7419978772691208,100
18,0.11,0.13988888888888887,0.8534382404236961,100
19,0.12,0.14021052631578942,0.8162423185613049,100
20,0.07,0.13919999999999996,0.8031249692269572,100
21,0.08,0.13990476190476187,0.8033526455785572,100
22,0.07,0.14136363636363636,0.8574963582345885,100
23,0.09,0.14069565217391297,0.808183621436448,100
24,0.06,0.13916666666666663,0.9280748683781543,100
25,0.09,0.13919999999999993,0.9285025125994892,100
26,0.1,0.1398461538461538,0.9281296004643549,100
27,0.1,0.141037037037037,0.9406609100898414,100
28,0.09,0.13914285714285712,0.9252557769746449,100
29,0.09,0.1391724137931034,0.9519373274843087,100
30,0.07,0.13839999999999997,0.9458209429113309,100
31,0.07,0.13909677419354835,0.9332094547593046,100
32,0.04,0.13899999999999996,0.9252755567009728,100
33,0.05,0.13866666666666663,0.9456266736615876,100
34,0.03,0.13894117647058818,0.9143377826259065,100
35,0.05,0.13874285714285708,0.9278364508697926,100
36,0.06,0.13899999999999996,0.9433581345802692,100
37,0.05,0.139027027027027,0.926261757419236,100
38,0.04,0.13873684210526313,0.9083309115583212,100
39,0.05,0.1379487179487179,0.9441419226715544,100
40,0.02,0.13859999999999995,0.9535933278837498,100
41,0.02,0.13824390243902435,0.9377433945503122,100
42,0.02,0.13780952380952377,0.971443716436521,100
43,0.02,0.13702325581395344,0.949352161495726,100
44,0.01,0.1367272727272727,0.9366501269662568,100
45,0.0,0.13715555555555553,0.9305115438887006,100
46,0.0,0.1365217391304347,0.9534955597294457,100
47,0.01,0.13668085106382974,0.9416309464616062,100
48,0.01,0.13649999999999995,0.9507192077830908,100
49,0.0,0.13632653061224487,0.934511137981139,100
50,0.01,0.13607999999999998,0.9310100083774538,100
