schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,n_qubits,original_gate_count,optimized_gate_count,gate_reduction,gate_reduction_pct,original_depth,optimized_depth,depth_reduction,original_2q_gates,optimized_2q_gates,two_qubit_reduction,original_cnot,optimized_cnot,cnot_reduction,original_t_count,optimized_t_count,t_count_reduction,fidelity,compilation_time_seconds,compiler_name,compiler_backend,compiler_version,optimization_level,compiler_status,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.031382+00:00,qft_4,QFT,4,10,10,0.0,0.0,7,7,0.0,6,6,0.0,0,0,0.0,0,0,0.0,0.9999999999999988,0.10414361953735352,qiskit,transpiler,2.4.1,3,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,001408f6c8b62c5aa1e72c56729dcc2520332ae2954b17daf86162a5a4f46ac6,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.103565+00:00,qft_4,QFT,4,10,34,-2.4,-240.0,7,20,-1.8571428571428572,6,12,-1.0,0,0,0.0,0,0,0.0,0.9999999999999981,0.06805253028869629,cirq,optimize_for_target_gateset+eject_z+merge_1q,1.6.1,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,e7250dce10bcf0582287ec690b02c1ded37b1a4d82d911c36bee292143ba0f8c,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.300578+00:00,qft_4,QFT,4,10,31,-2.1,-210.0,7,19,-1.7142857142857144,6,12,-1.0,0,12,0.0,0,0,0.0,1.0,0.19598126411437988,tket,FullPeepholeOptimise,2.18.0,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,1c29c769144f94e13e3a392f195ebc1c6cfc77bad3bffa3aa293760f9e7c4679,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.310703+00:00,ghz_4,GHZ,4,4,4,0.0,0.0,4,4,0.0,3,3,0.0,3,3,0.0,0,0,0.0,0.9999999999999996,0.0,qiskit,transpiler,2.4.1,3,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.333933+00:00,ghz_4,GHZ,4,4,11,-1.75,-175.0,4,7,-0.75,3,3,0.0,3,0,1.0,0,0,0.0,0.9999999999999988,0.02322983741760254,cirq,optimize_for_target_gateset+eject_z+merge_1q,1.6.1,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,5ca7a53f4dbc7c75daa820a5c5948f68bebd5a9db5a6a058678c009a27a48441,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.401937+00:00,ghz_4,GHZ,4,4,4,0.0,0.0,4,4,0.0,3,3,0.0,3,3,0.0,0,0,0.0,1.0,0.06800460815429688,tket,FullPeepholeOptimise,2.18.0,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,0ca2e20394ef52eecba8c72454ae73e952a311d06ff639876717b3ceaa156322,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.401937+00:00,cnot_chain_4,CNOT,4,24,0,1.0,100.0,18,0,1.0,24,0,1.0,24,0,1.0,0,0,0.0,1.0,0.0,qiskit,transpiler,2.4.1,3,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,80cb67051feabb1a835727fede3367602f1e692e3ec9d1d7247266c73803bd7d,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.432359+00:00,cnot_chain_4,CNOT,4,24,0,1.0,100.0,18,0,1.0,24,0,1.0,24,0,1.0,0,0,0.0,,0.030421733856201172,cirq,optimize_for_target_gateset+eject_z+merge_1q,1.6.1,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,6f8e18c5611960a199a59d79e4d4e52c427ac524f6c9f379d05c73dc41c9fc91,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.432359+00:00,cnot_chain_4,CNOT,4,24,0,1.0,100.0,18,0,1.0,24,0,1.0,24,0,1.0,0,0,0.0,1.0,0.0,tket,FullPeepholeOptimise,2.18.0,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,80cb67051feabb1a835727fede3367602f1e692e3ec9d1d7247266c73803bd7d,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.447605+00:00,bv_4,Oracle,5,14,8,0.4285714285714286,42.85714285714286,6,4,0.33333333333333337,2,2,0.0,2,2,0.0,0,0,0.0,0.9999999999999979,0.015245914459228516,qiskit,transpiler,2.4.1,3,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,f82545ab8dd2e124bb20b12a2943a1f6d29666837c03c9275f4c803dc1929c72,f89645b6f4d2dca8cffede4181211e446c1c7a1b8c4c5c656670a7231e0b2690,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.467287+00:00,bv_4,Oracle,5,14,9,0.3571428571428571,35.71428571428571,6,5,0.16666666666666663,2,2,0.0,2,0,1.0,0,0,0.0,,0.019681453704833984,cirq,optimize_for_target_gateset+eject_z+merge_1q,1.6.1,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,f82545ab8dd2e124bb20b12a2943a1f6d29666837c03c9275f4c803dc1929c72,0982069dfcff4efe2118be2a3bd5bd2cbea87a03389b25d506a06184617e25ec,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.546450+00:00,bv_4,Oracle,5,14,8,0.4285714285714286,42.85714285714286,6,4,0.33333333333333337,2,2,0.0,2,2,0.0,0,0,0.0,0.9999999999999987,0.0791630744934082,tket,FullPeepholeOptimise,2.18.0,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,f82545ab8dd2e124bb20b12a2943a1f6d29666837c03c9275f4c803dc1929c72,710f6f865f1a99d94861ab7754cdcbf4a06125e5e95a0339b1330acdebca81f1,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.558925+00:00,qaoa_line_4,QAOA,4,30,30,0.0,0.0,18,18,0.0,12,12,0.0,12,12,0.0,0,0,0.0,1.0000000000000009,0.006639957427978516,qiskit,transpiler,2.4.1,3,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,4089615b62e2dc0c0b1b7723660abedb66020a4036e6d847a938a772d0d6172b,4089615b62e2dc0c0b1b7723660abedb66020a4036e6d847a938a772d0d6172b,
2.1.0,MC-E20,e20_full_20260807_074417,2026-08-07T07:44:21.614167+00:00,qaoa_line_4,QAOA,4,30,39,-0.30000000000000004,-30.000000000000004,18,22,-0.22222222222222232,12,12,0.0,12,0,1.0,0,0,0.0,0.999999999999999,0.055242061614990234,cirq,optimize_for_target_gateset+eject_z+merge_1q,1.6.1,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,359d4060c67ca5d924d143122aab556b53579c5255965144a009fa0a7759908c,4089615b62e2dc0c0b1b7723660abedb66020a4036e6d847a938a772d0d6172b,54f4f69985480550ac6fb2234baa36b9bbf8dd41588eb03ba9371d4688693675,
