coefficient,equal_family_estimate_pp,family_cluster_se_pp,family_cluster_df,t14_ci95_low_pp,t14_ci95_high_pp,t14_p_value_model_based,wild_cluster_bootstrap_t_p_value,wild_cluster_bootstrap_replicates,wild_cluster_bootstrap_seed,inference_role,confirmatory_claim_allowed,probability_sample_of_families,unseen_family_generalization_status,multiplicity_family_id,multiplicity_family_size,holm_adjusted_t14_p,holm_adjusted_wild_cluster_p
C(listing_model)[T.WCL],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(window_gates)[T.16],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(window_gates)[T.64],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(budget_seconds)[T.10],9.721589929026031,6.6063824125272,14,-4.447691124650822,23.890870982702886,0.16326324061381883,0.03185,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(budget_seconds)[T.30],9.774043293479883,6.605385237606188,14,-4.393099032700858,23.941185619660622,0.16109962310074688,0.03185,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(budget_seconds)[T.120],9.792956336958145,6.60510570037359,14,-4.373586441487344,23.959499115403634,0.16032996174181272,0.03185,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(window_gates)[T.16],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(window_gates)[T.64],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(budget_seconds)[T.10],6.3823433357398605,3.053219156153687,14,-0.16616046567152232,12.930847137151243,0.055309638215504074,0.09215,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(budget_seconds)[T.30],6.395260734114798,3.0512905426528185,14,-0.1491066027337844,12.93962807096338,0.05474470255391588,0.0625,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(budget_seconds)[T.120],6.3826520384626235,3.053147834433507,14,-0.1656987930727567,12.931002869998004,0.055294318062988804,0.1237,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(budget_seconds)[T.10],4.221089881483856,2.221350638833199,14,-0.5432333978813517,8.985413160849063,0.0781952142562246,0.1237,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(budget_seconds)[T.30],4.20427661364836,2.22387155374227,14,-0.5654534904551944,8.974006717751914,0.07956806209901504,0.1237,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(budget_seconds)[T.120],4.208781444566235,2.2232120342868624,14,-0.559534130988939,8.977097020121409,0.0792003438349725,0.1237,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64],0.0,0.0,14,0.0,0.0,1.0,1.0,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.10],1.5269848578359533,1.4408158307034369,14,-1.5632577555967473,4.617227471268654,0.30717575895264876,0.2445,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.30],1.518661928164709,1.4414182809378988,14,-1.5728728125109979,4.610196668840416,0.3099162619655433,0.4959,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.120],1.518661928164709,1.4414182809378988,14,-1.5728728125109979,4.610196668840416,0.3099162619655433,0.4959,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(window_gates)[T.16]:C(budget_seconds)[T.10],7.181402001926265,3.347713882639443,14,0.001269831486497175,14.361534172366031,0.049964710899680916,0.06025,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
