coefficient,equal_family_estimate_pp,family_cluster_se_pp,family_cluster_df,t14_ci95_low_pp,t14_ci95_high_pp,t14_p_value_model_based,wild_cluster_bootstrap_t_p_value,wild_cluster_bootstrap_replicates,wild_cluster_bootstrap_seed,inference_role,confirmatory_claim_allowed,probability_sample_of_families,unseen_family_generalization_status,multiplicity_family_id,multiplicity_family_size,holm_adjusted_t14_p,holm_adjusted_wild_cluster_p
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL],1.1070572966259984,0.6152791107127259,14,-0.2125851493840214,2.426699742636018,0.09355936784186801,0.1237,19999,20260826,SUPPORTIVE_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_MARGINAL_30,30,1.0,1.0
MARGINAL::listing_model[WCL-vs-LBL],1.6028036517967625,0.7683485679908889,14,-0.04514012851013005,3.250747432103655,0.055753558861365383,0.0463,19999,20260826,SUPPORTIVE_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_MARGINAL_30,30,1.0,0.8334
MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY],2.2161593959204606,2.144148919324317,14,-2.3825826631578004,6.814901454998722,0.3188555071177325,0.3175,19999,20260826,SUPPORTIVE_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_MARGINAL_30,30,1.0,1.0
MARGINAL::window_gates[16-vs-4],3.8211049007694844,1.9675509623318443,14,-0.3988722110379954,8.041082012576965,0.07252557852989809,0.01525,19999,20260826,SUPPORTIVE_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_MARGINAL_30,30,1.0,0.41175
MARGINAL::window_gates[64-vs-4],3.9714480213313177,2.0039218021821186,14,-0.3265367836153885,8.269432826278024,0.06748254725101249,0.01525,19999,20260826,SUPPORTIVE_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_MARGINAL_30,30,1.0,0.41175
MARGINAL::budget_seconds[10-vs-1],17.439956612521666,7.402477634656881,14,1.5632211241068035,33.31669210093653,0.033579550516444075,0.0083,19999,20260826,SUPPORTIVE_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_MARGINAL_30,30,0.9839393281222683,0.249
MARGINAL::budget_seconds[30-vs-1],17.49031708699202,7.397296822227702,14,1.6246933361078586,33.35594083787618,0.03304201404299225,0.0083,19999,20260826,SUPPORTIVE_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_MARGINAL_30,30,0.9839393281222683,0.249
MARGINAL::budget_seconds[120-vs-1],17.52353225720911,7.399193311820099,14,1.6538409406933976,33.39322357372482,0.03279797760407561,0.0083,19999,20260826,SUPPORTIVE_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_MARGINAL_30,30,0.9839393281222683,0.249
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY],-0.08128226792483231,0.05487634442563602,14,-0.19898032093048074,0.036415785080816096,0.1607096057499561,0.1823,19999,20260826,SUPPORTIVE_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_MARGINAL_30,30,1.0,1.0
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:window_gates[16-vs-4],-3.0938810357708726,1.6161711999228814,14,-6.560223510760196,0.37246143921845043,0.07624174444695372,0.108,19999,20260826,SUPPORTIVE_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_MARGINAL_30,30,1.0,1.0
