coefficient,fixed_391_input_weighted_estimate_pp,population,estimate_role,inference_status,legacy_input_cluster_inference_status,invalid_legacy_fields,design_based_p_value,design_based_confidence_interval
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL],1.7324504196053465,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::listing_model[WCL-vs-LBL],2.3461349139080485,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY],4.279030316066133,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::window_gates[16-vs-4],5.546322622456899,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::window_gates[64-vs-4],5.766136171536939,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::budget_seconds[10-vs-1],16.485350989476714,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::budget_seconds[30-vs-1],16.59839984669294,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::budget_seconds[120-vs-1],16.666113754639397,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY],-0.12753847220269704,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:window_gates[16-vs-4],-4.714737321393736,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:window_gates[64-vs-4],-5.018711240212849,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::listing_model[WCL-vs-LBL]:window_gates[16-vs-4],-6.4233295894714075,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::listing_model[WCL-vs-LBL]:window_gates[64-vs-4],-6.7454524832559795,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:budget_seconds[10-vs-1],2.298567385481032,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:budget_seconds[30-vs-1],2.28344573709465,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:budget_seconds[120-vs-1],2.3477885558457086,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::listing_model[WCL-vs-LBL]:budget_seconds[10-vs-1],3.134938799257291,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
MARGINAL::listing_model[WCL-vs-LBL]:budget_seconds[30-vs-1],3.1163650588191034,FROZEN_391_INPUT_FIXED_PANEL,SUPPORTIVE_POSTHOC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
