circuit_family,C(listing_model)[T.WCL],C(listing_model)[T.RANDOM_TOPOLOGICAL],C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES],C(window_gates)[T.16],C(window_gates)[T.64],C(budget_seconds)[T.10],C(budget_seconds)[T.30],C(budget_seconds)[T.120],C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES],C(listing_model)[T.WCL]:C(window_gates)[T.16],C(listing_model)[T.WCL]:C(window_gates)[T.64],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64],C(listing_model)[T.WCL]:C(budget_seconds)[T.10],C(listing_model)[T.WCL]:C(budget_seconds)[T.30],C(listing_model)[T.WCL]:C(budget_seconds)[T.120],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(budget_seconds)[T.10],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(budget_seconds)[T.30],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(budget_seconds)[T.120],C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16],C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64],C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.10],C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.30],C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.120],C(window_gates)[T.16]:C(budget_seconds)[T.10],C(window_gates)[T.16]:C(budget_seconds)[T.30],C(window_gates)[T.16]:C(budget_seconds)[T.120],C(window_gates)[T.64]:C(budget_seconds)[T.10],C(window_gates)[T.64]:C(budget_seconds)[T.30],C(window_gates)[T.64]:C(budget_seconds)[T.120],C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16],C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64],C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.10],C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.30],C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.120],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.10],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.30],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(budget_seconds)[T.120],C(listing_model)[T.WCL]:C(window_gates)[T.16]:C(budget_seconds)[T.10],C(listing_model)[T.WCL]:C(window_gates)[T.16]:C(budget_seconds)[T.30],C(listing_model)[T.WCL]:C(window_gates)[T.16]:C(budget_seconds)[T.120],C(listing_model)[T.WCL]:C(window_gates)[T.64]:C(budget_seconds)[T.10],C(listing_model)[T.WCL]:C(window_gates)[T.64]:C(budget_seconds)[T.30],C(listing_model)[T.WCL]:C(window_gates)[T.64]:C(budget_seconds)[T.120],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16]:C(budget_seconds)[T.10],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16]:C(budget_seconds)[T.30],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16]:C(budget_seconds)[T.120],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64]:C(budget_seconds)[T.10],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64]:C(budget_seconds)[T.30],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64]:C(budget_seconds)[T.120],C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.10],C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.30],C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.120],C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.10],C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.30],C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.120],C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.10],C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.30],C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.120],C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.10],C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.30],C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.120],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.10],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.30],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.120],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.10],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.30],C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.120]
Adder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNOT,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grover,0.0,0.0,0.0,0.0,0.0,8.16986201479934,8.294705959868004,8.294705959868004,0.0,0.0,0.0,0.0,0.0,0.0,0.12484394506866406,0.0,0.0,-0.524813354726589,-0.6496572997952531,-0.6496572997952531,0.0,0.0,0.12484394506866406,0.0,0.0,-0.14137332406880573,0.0,0.0,1.0503416929721483,0.9254977479034842,0.9254977479034842,0.0,0.0,0.0,0.0,-0.12484394506866406,0.0,0.0,-0.12484394506866406,0.0,0.0,0.14137332406880573,0.0,0.0,-0.12484394506866409,0.0,0.0,0.6572621231624054,0.6599508243437435,0.6599508243437435,0.2752907676918908,0.5743960527522319,0.5743960527522319,0.14137332406880573,0.0,0.0,-0.12484394506866409,0.0,0.0,-0.14137332406880573,0.0,0.0,0.1248439450686641,0.0,0.0,0.002688701181338168,0.0,0.0,0.140449438202247,0.0,0.0
HaarRandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29112081513827937,0.29112081513827937,0.29112081513827937,0.4366812227074246,0.4366812227074246,0.4366812227074246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014556040756913413,-0.014556040756913413,-0.014556040756913413,0.0,0.0,0.0,-0.029112081513827937,0.0,0.0,0.0,0.0,0.0,0.029112081513827937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HardwareEfficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IQP,0.0,0.0,0.0,0.0,0.0,5.494334681550241,5.494334681550241,5.494334681550241,0.0,0.0,0.0,0.0,0.0,0.0,18.17047303064846,18.17047303064846,18.17047303064846,8.054378340238319,8.054378340238319,8.054378340238319,0.0,0.0,0.0,0.0,0.0,35.52611911371262,35.52611911371262,35.52611911371262,35.92949844034844,35.92949844034844,35.92949844034844,0.0,0.0,0.0,0.0,0.44943820224719055,0.44943820224719055,0.44943820224719055,0.37681159420289856,0.37681159420289856,0.37681159420289856,-17.76709370401264,-17.76709370401264,-17.76709370401264,-18.17047303064846,-18.17047303064846,-18.17047303064846,-8.064431006213026,-8.064431006213026,-8.064431006213026,-8.054378340238319,-8.054378340238319,-8.054378340238319,3.374558048950114,3.374558048950114,3.374558048950114,3.6293351190138083,3.6293351190138083,3.6293351190138083,-0.19466113218349637,-0.19466113218349637,-0.19466113218349637,-0.44943820224719044,-0.44943820224719044,-0.44943820224719044,-0.8606465997770354,-0.8606465997770354,-0.8606465997770354,-0.3768115942028993,-0.3768115942028993,-0.3768115942028993
Oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.29841861322408,36.29841861322408,36.29841861322408,29.963090912410223,29.963090912410223,29.963090912410223,0.0,0.0,21.672148778175476,21.672148778175476,21.672148778175476,30.377671133744165,30.377671133744165,30.377671133744165,36.29841861322408,36.29841861322408,36.29841861322408,0.0,0.0,0.0,0.0,-3.7770632931998134,-3.7770632931998134,-3.7770632931998134,4.344628860976068,2.622964585509784,4.344628860976068,-30.377671133744165,-30.377671133744165,-30.377671133744165,-36.29841861322408,-36.29841861322408,-36.29841861322408,-24.04234343293031,-24.229084796142264,-24.04234343293031,-29.963090912410216,-29.963090912410216,-29.963090912410216,36.869407222882465,36.869407222882465,36.869407222882465,30.94865974340256,30.94865974340256,30.94865974340256,-2.1436841862800975,-2.1436841862800975,-2.1436841862800975,3.777063293199813,3.777063293199813,3.777063293199813,-10.265376340455978,-8.356970701777742,-10.265376340455978,-6.154583612107291,-2.6229645855097843,-4.344628860976068
QAOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QFT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
