circuit_family,MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL],MARGINAL::listing_model[WCL-vs-LBL],MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY],MARGINAL::window_gates[16-vs-4],MARGINAL::window_gates[64-vs-4],MARGINAL::budget_seconds[10-vs-1],MARGINAL::budget_seconds[30-vs-1],MARGINAL::budget_seconds[120-vs-1],MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY],MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:window_gates[16-vs-4],MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:window_gates[64-vs-4],MARGINAL::listing_model[WCL-vs-LBL]:window_gates[16-vs-4],MARGINAL::listing_model[WCL-vs-LBL]:window_gates[64-vs-4],MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:budget_seconds[10-vs-1],MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:budget_seconds[30-vs-1],MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:budget_seconds[120-vs-1],MARGINAL::listing_model[WCL-vs-LBL]:budget_seconds[10-vs-1],MARGINAL::listing_model[WCL-vs-LBL]:budget_seconds[30-vs-1],MARGINAL::listing_model[WCL-vs-LBL]:budget_seconds[120-vs-1],MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY]:window_gates[16-vs-4],MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY]:window_gates[64-vs-4],MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY]:budget_seconds[10-vs-1],MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY]:budget_seconds[30-vs-1],MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY]:budget_seconds[120-vs-1],MARGINAL::window_gates[16-vs-4]:budget_seconds[10-vs-1],MARGINAL::window_gates[16-vs-4]:budget_seconds[30-vs-1],MARGINAL::window_gates[16-vs-4]:budget_seconds[120-vs-1],MARGINAL::window_gates[64-vs-4]:budget_seconds[10-vs-1],MARGINAL::window_gates[64-vs-4]:budget_seconds[30-vs-1],MARGINAL::window_gates[64-vs-4]:budget_seconds[120-vs-1]
Adder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNOT,-6.744604874597826e-15,-6.744604874597826e-15,-9.43689570931383e-16,3.608224830031759e-16,3.608224830031759e-16,100.00000000000001,100.00000000000001,100.00000000000001,7.216449660063518e-16,0.0,0.0,0.0,0.0,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,-2.831068712794149e-15,-2.831068712794149e-15,3.3306690738754696e-15,3.3306690738754696e-15,3.3306690738754696e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15
GHZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grover,-0.18223617215135346,0.01629421725858898,0.015298020349718264,0.1530945665309796,0.829052605708125,8.475577960786632,8.523802428914745,8.523802428914745,-0.019282807985200226,0.4946270306101403,0.3735768980743693,0.01767166550860059,-0.01560549313358317,-0.2525280070788917,-0.23820834076326156,-0.23820834076326156,0.06517686903435524,-4.12888344950743e-16,-4.12888344950743e-16,0.023786279109912645,-0.00910320432792325,0.06119208139887346,5.2789632190114065e-17,5.2789632190114065e-17,0.17241104989475622,0.21998360811458118,0.21998360811458118,1.08228422519071,1.1169630988208947,1.1169630988208947
HaarRandom,-0.003639010189228309,0.0012130033964095435,-0.0016173378618793324,0.21227559437166224,0.32751091703056845,0.23774866569626338,0.24098334142002206,0.24098334142002206,7.546425881083384e-18,-0.01091703056768506,0.0,0.003639010189228492,0.0,-0.004852013585637785,-0.004852013585637785,-0.004852013585637785,0.004852013585638007,1.9089533447430357e-17,1.9089533447430357e-17,-0.004852013585637995,2.60587281980795e-18,-0.006469351447517329,-6.471250835856427e-18,-6.471250835856427e-18,0.2765647743813656,0.28626880155264156,0.28626880155264156,0.4366812227074246,0.4366812227074246,0.4366812227074246
HardwareEfficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IQP,1.997703492144498,4.731489998359931,1.800739280402617,21.32025395958927,21.64863043261355,33.47094205667766,33.47094205667766,33.47094205667766,-0.026755852842809232,-6.371065729576159,-6.182088103004829,-13.39831820257829,-13.79639409882904,2.6636046561926654,2.6636046561926654,2.6636046561926654,6.308653331146573,6.308653331146573,6.308653331146573,2.267091603722453,2.515438890147834,2.400985707203491,2.400985707203491,2.400985707203491,28.427005279452363,28.427005279452363,28.427005279452363,28.864840576818064,28.864840576818064,28.864840576818064
Oracle,8.619013087750824,9.34256517659103,32.17622094084352,21.517099972722352,22.189559516494036,52.315677956173175,52.31020846242056,52.41623099790269,-0.6727694599080901,-21.689408338336932,-24.112590316631806,-23.58713492016316,-25.807415224968125,11.396933902357532,11.380525421099696,11.69859302754607,12.45675356878804,12.45675356878804,12.45675356878804,24.708824088701018,23.062245875969108,42.82440619556885,42.854965288777386,43.025512279027865,28.604193135171222,28.860013620546944,28.604193135171222,29.28932525656267,29.87792842766226,29.59098438175121
QAOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QFT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
