coefficient,estimate_pp,cluster_robust_se_pp,ci95_low_pp,ci95_high_pp,p_value_model_based,interaction_order,inference_role,holm_adjusted_p_within_role,confirmatory_primary_contrast
C(listing_model)[T.RANDOM_TOPOLOGICAL],-1.6011399344917477e-13,,,,,1,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(listing_model)[T.WCL],-2.5334206515134776e-13,,,,,1,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES],-1.514107769775644e-13,,,,,1,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(window_gates)[T.16],-2.2705179780375162e-13,,,,,1,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(window_gates)[T.64],-2.694209128938796e-13,,,,,1,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(budget_seconds)[T.10],4.804587378251231,,,,,1,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(budget_seconds)[T.30],4.914787321528127,,,,,1,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(budget_seconds)[T.120],4.958321181196681,,,,,1,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES],1.3103163875786157e-13,,,,,2,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES],3.6279386711110926e-13,,,,,2,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16],1.7721272051750722e-13,,,,,2,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(listing_model)[T.WCL]:C(window_gates)[T.16],2.864234005696366e-13,,,,,2,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64],2.2424826129318777e-13,,,,,2,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(listing_model)[T.WCL]:C(window_gates)[T.64],3.0159350345578064e-13,,,,,2,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16],2.1712946765656894e-13,,,,,2,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64],1.9775068538063898e-13,,,,,2,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(budget_seconds)[T.10],6.451583281644161,,,,,2,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(listing_model)[T.WCL]:C(budget_seconds)[T.10],9.2840473799187,,,,,2,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(budget_seconds)[T.30],6.423419366389041,,,,,2,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC,,False
