listing_model,rule_set,window_gates,budget_seconds,wall_aggregation,memory_aggregation,n_scheduled,n_unique_inputs,quality_itt_mean,quality_itt_median,valid_rate,failure_rate,wall_seconds_median,wall_seconds_p95,peak_rss_mb_median,peak_rss_mb_p95,pareto_nondominated,dominates_n,dominated_by_n,pareto_dominance_rate,pareto_dominated_by_rate,selected_wall_seconds,selected_peak_rss_mb
LBL,COMMUTATION_ONLY,4,1,median,median,391,391,0.0,0.0,0.0,1.0,1.042472600005567,1.0577474499987147,98.78515625,106.20703125,False,10,1,0.14084507042253522,0.014084507042253521,1.042472600005567,98.78515625
LBL,COMMUTATION_ONLY,4,10,median,median,391,391,4.804587378251393,0.0,0.9462915601023018,0.05370843989769821,2.196008200000506,10.026057349998155,142.90234375,145.29296875,False,0,3,0.0,0.04225352112676056,2.196008200000506,142.90234375
LBL,COMMUTATION_ONLY,4,30,median,median,391,391,4.914787321528124,0.0,0.9667519181585678,0.03324808184143223,2.2170814000019163,20.26053284999921,142.94921875,146.36328125,False,0,9,0.0,0.1267605633802817,2.2170814000019163,142.94921875
LBL,COMMUTATION_ONLY,4,120,median,median,391,391,4.958321181196754,0.0,0.9744245524296675,0.02557544757033248,2.1990648999926634,26.464222849997896,142.91015625,146.892578125,False,1,2,0.014084507042253521,0.028169014084507043,2.1990648999926634,142.91015625
LBL,COMMUTATION_ONLY,16,1,median,median,391,391,0.0,0.0,0.0,1.0,1.0443205999999918,1.0580376500038255,98.55859375,106.37890625,True,1,0,0.014084507042253521,0.0,1.0443205999999918,98.55859375
LBL,COMMUTATION_ONLY,16,10,median,median,391,391,14.687358985271565,0.29112081513827937,0.9411764705882353,0.058823529411764705,2.2042082999978447,10.030052999998588,142.8359375,145.28125,True,0,0,0.0,0.0,2.2042082999978447,142.8359375
LBL,COMMUTATION_ONLY,16,30,median,median,391,391,14.778298707737303,0.29112081513827937,0.9616368286445013,0.03836317135549872,2.186120200000005,18.346437549998882,142.9296875,146.71875,True,2,0,0.028169014084507043,0.0,2.186120200000005,142.9296875
LBL,COMMUTATION_ONLY,16,120,median,median,391,391,14.850855140518354,3.7921348314606695,0.9744245524296675,0.02557544757033248,2.224381399995764,27.43162294999638,142.91796875,146.974609375,False,2,1,0.028169014084507043,0.014084507042253521,2.224381399995764,142.91796875
LBL,COMMUTATION_ONLY,64,1,median,median,391,391,0.0,0.0,0.0,1.0,1.0433947000001353,1.0581623999964904,98.64453125,106.236328125,True,6,0,0.08450704225352113,0.0,1.0433947000001353,98.64453125
LBL,COMMUTATION_ONLY,64,10,median,median,391,391,15.64967199652275,4.7752808988763995,0.948849104859335,0.05115089514066496,2.200717200001236,9.006424099999833,142.9765625,145.396484375,False,0,7,0.0,0.09859154929577464,2.200717200001236,142.9765625
LBL,COMMUTATION_ONLY,64,30,median,median,391,391,15.78444348545859,5.7046979865771785,0.969309462915601,0.030690537084398978,2.211296700000048,26.31738189999942,142.92578125,146.837890625,False,6,1,0.08450704225352113,0.014084507042253521,2.211296700000048,142.92578125
LBL,COMMUTATION_ONLY,64,120,median,median,391,391,15.81813635769255,5.72390572390572,0.9744245524296675,0.02557544757033248,2.2160965999937616,19.837278199999787,143.0,146.767578125,False,0,5,0.0,0.07042253521126761,2.2160965999937616,143.0
LBL,COMMUTATION_PLUS_TEMPLATES,4,1,median,median,391,391,0.0,0.0,0.0,1.0,1.0456272000010358,1.058211349999965,98.71875,106.314453125,False,0,5,0.0,0.07042253521126761,1.0456272000010358,98.71875
LBL,COMMUTATION_PLUS_TEMPLATES,4,10,median,median,391,391,7.725006249178906,0.0,0.948849104859335,0.05115089514066496,2.1887892999948235,9.315669799995703,142.90234375,145.369140625,False,1,1,0.014084507042253521,0.014084507042253521,2.1887892999948235,142.90234375
LBL,COMMUTATION_PLUS_TEMPLATES,4,30,median,median,391,391,7.82658525507238,0.0,0.9667519181585678,0.03324808184143223,2.1712297999911243,18.60584475000087,142.94140625,146.796875,False,1,1,0.014084507042253521,0.014084507042253521,2.1712297999911243,142.94140625
LBL,COMMUTATION_PLUS_TEMPLATES,4,120,median,median,391,391,7.87011911474101,0.0,0.9744245524296675,0.02557544757033248,2.169358299999999,18.069912500006012,142.91015625,146.83984375,True,3,0,0.04225352112676056,0.0,2.169358299999999,142.91015625
LBL,COMMUTATION_PLUS_TEMPLATES,16,1,median,median,391,391,0.0,0.0,0.0,1.0,1.0421168000029866,1.0568252500006565,98.69140625,105.435546875,True,13,0,0.18309859154929578,0.0,1.0421168000029866,98.69140625
LBL,COMMUTATION_PLUS_TEMPLATES,16,10,median,median,391,391,22.521090522750185,3.8028169014084456,0.9462915601023018,0.05370843989769821,2.2219009999971604,10.02530475000458,142.93359375,145.201171875,False,0,2,0.0,0.028169014084507043,2.2219009999971604,142.93359375
LBL,COMMUTATION_PLUS_TEMPLATES,16,30,median,median,391,391,22.66694794282671,4.040404040404044,0.9744245524296675,0.02557544757033248,2.197088300003088,21.822295950001717,142.9609375,146.642578125,True,9,0,0.1267605633802817,0.0,2.197088300003088,142.9609375
LBL,COMMUTATION_PLUS_TEMPLATES,16,120,median,median,391,391,22.66694794282671,4.040404040404044,0.9744245524296675,0.02557544757033248,2.2039884999976493,27.1090600000025,142.94921875,146.78515625,True,10,0,0.14084507042253522,0.0,2.2039884999976493,142.94921875
LBL,COMMUTATION_PLUS_TEMPLATES,64,1,median,median,391,391,0.0,0.0,0.0,1.0,1.0428452000051038,1.0571727000024111,98.6484375,108.55859375,True,10,0,0.14084507042253522,0.0,1.0428452000051038,98.6484375
LBL,COMMUTATION_PLUS_TEMPLATES,64,10,median,median,391,391,22.65737843540881,4.7752808988763995,0.9411764705882353,0.058823529411764705,2.210421199997654,10.028869800000393,142.921875,145.12890625,True,0,0,0.0,0.0,2.210421199997654,142.921875
LBL,COMMUTATION_PLUS_TEMPLATES,64,30,median,median,391,391,22.819714775707,5.7046979865771785,0.9667519181585678,0.03324808184143223,2.1767470999984653,21.554457650000586,142.953125,146.693359375,True,9,0,0.1267605633802817,0.0,2.1767470999984653,142.953125
LBL,COMMUTATION_PLUS_TEMPLATES,64,120,median,median,391,391,22.870254084057937,5.72390572390572,0.9744245524296675,0.02557544757033248,2.242429300000367,17.938444100005654,142.94140625,146.765625,True,0,0,0.0,0.0,2.242429300000367,142.94140625
RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,4,1,median,median,391,391,0.0,0.0,0.0,1.0,1.0439511000004131,1.0577203499997267,98.93359375,106.5,False,0,10,0.0,0.14084507042253522,1.0439511000004131,98.93359375
RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,4,10,median,median,391,391,11.25617065989542,0.0,0.948849104859335,0.05115089514066496,2.1867363999999725,9.395521300000382,142.9609375,145.31640625,False,0,3,0.0,0.04225352112676056,2.1867363999999725,142.9609375
RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,4,30,median,median,391,391,11.338206687917213,2.5352112676056304,0.9641943734015346,0.03580562659846547,2.2247015999964788,20.325281450001967,142.9375,146.9375,False,0,8,0.0,0.11267605633802817,2.2247015999964788,142.9375
RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,4,120,median,median,391,391,11.392109723611641,2.94943820224719,0.9744245524296675,0.02557544757033248,2.221567500004312,19.71964394999702,142.9296875,147.091796875,False,1,2,0.014084507042253521,0.028169014084507043,2.221567500004312,142.9296875
RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,1,median,median,391,391,0.0,0.0,0.0,1.0,1.043701400005375,1.057415500003117,98.6171875,105.712890625,True,3,0,0.04225352112676056,0.0,1.043701400005375,98.6171875
RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,10,median,median,391,391,15.450035110710253,3.3802816901408406,0.9437340153452686,0.056265984654731455,2.2074090000005526,10.027106349996757,142.9453125,145.1484375,False,0,4,0.0,0.056338028169014086,2.2074090000005526,142.9453125
RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,30,median,median,391,391,15.514526076977134,3.8787023977433055,0.9565217391304348,0.043478260869565216,2.2117983999996795,28.396786199999042,142.953125,146.541015625,False,0,7,0.0,0.09859154929577464,2.2117983999996795,142.953125
RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,120,median,median,391,391,15.626201560024795,4.194630872483218,0.9744245524296675,0.02557544757033248,2.214487299999746,19.13371794999739,142.953125,146.923828125,False,2,4,0.028169014084507043,0.056338028169014086,2.214487299999746,142.953125
RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,64,1,median,median,391,391,0.0,0.0,0.0,1.0,1.0422099999996135,1.0565887500015378,98.9765625,108.568359375,False,4,1,0.056338028169014086,0.014084507042253521,1.0422099999996135,98.9765625
RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,64,10,median,median,391,391,15.641410723940739,4.724964739069115,0.9462915601023018,0.05370843989769821,2.219677399999455,10.03039484999681,142.91796875,145.294921875,False,0,2,0.0,0.028169014084507043,2.219677399999455,142.91796875
RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,64,30,median,median,391,391,15.756830082567983,5.333333333333334,0.9641943734015346,0.03580562659846547,2.2172959000017727,23.36104925000336,142.94140625,146.6484375,False,0,5,0.0,0.07042253521126761,2.2172959000017727,142.94140625
RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,64,120,median,median,391,391,15.825605797012555,5.555555555555558,0.9744245524296675,0.02557544757033248,2.2262693000084255,21.23747290000574,142.89453125,147.041015625,False,2,1,0.028169014084507043,0.014084507042253521,2.2262693000084255,142.89453125
RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,4,1,median,median,391,391,0.0,0.0,0.0,1.0,1.0438315000064904,1.0563471000023128,99.42578125,108.330078125,False,0,14,0.0,0.19718309859154928,1.0438315000064904,99.42578125
RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,4,10,median,median,391,391,14.6409052983005,1.2422360248447228,0.948849104859335,0.05115089514066496,2.2029337999993004,9.666434699996898,142.94140625,145.2265625,False,0,5,0.0,0.07042253521126761,2.2029337999993004,142.94140625
