coefficient,estimate_pp,cluster_robust_se_pp,ci95_low_pp,ci95_high_pp,p_value_model_based,interaction_order,inference_role,holm_adjusted_p_within_role,confirmatory_primary_contrast,multiplicity_family_id,multiplicity_family_size
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL],1.7324504196053467,,,,,1,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::listing_model[WCL-vs-LBL],2.346134913908049,,,,,1,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY],4.279030316066132,,,,,1,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::window_gates[16-vs-4],5.5463226224569,,,,,1,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::window_gates[64-vs-4],5.76613617153694,,,,,1,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::budget_seconds[10-vs-1],16.48535098947671,,,,,1,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::budget_seconds[30-vs-1],16.598399846692935,,,,,1,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::budget_seconds[120-vs-1],16.666113754639387,,,,,1,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:rule_set[COMMUTATION_PLUS_TEMPLATES-vs-COMMUTATION_ONLY],-0.12753847220269696,,,,,2,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:window_gates[16-vs-4],-4.714737321393735,,,,,2,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:window_gates[64-vs-4],-5.018711240212849,,,,,2,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::listing_model[WCL-vs-LBL]:window_gates[16-vs-4],-6.423329589471408,,,,,2,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::listing_model[WCL-vs-LBL]:window_gates[64-vs-4],-6.745452483255981,,,,,2,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:budget_seconds[10-vs-1],2.298567385481031,,,,,2,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:budget_seconds[30-vs-1],2.2834457370946497,,,,,2,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::listing_model[RANDOM_TOPOLOGICAL-vs-LBL]:budget_seconds[120-vs-1],2.3477885558457072,,,,,2,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::listing_model[WCL-vs-LBL]:budget_seconds[10-vs-1],3.1349387992572915,,,,,2,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
MARGINAL::listing_model[WCL-vs-LBL]:budget_seconds[30-vs-1],3.1163650588191034,,,,,2,SUPPORTIVE_POSTHOC_OPERATIONALIZATION_OF_FROZEN_CLASS,,False,E31_POSTHOC_MARGINAL_30,30
