circuit_family,circuit_id,input_circuit_sha256,semantic_cell_id,n_qubits,original_h_rz_cx_gates,optimized_h_rz_cx_gates,recorded_common_basis_reduction_pct,proof_status,proof_decision,proof_wall_seconds,original_graph_vertices,optimized_graph_vertices,mutant_status,mutant_decision
Adder,adder_8,08824540c17b7e5551c4fed38e25fb7c445eb88bc2adf305e2ac828fad4d56a8,00777b7d38f915be7d13adefc195bb2b9835b9d6a11056f6d482e9c8103af230,10,150,150,0.0,PROVED_EQUAL,True,0.2598381000061636,230,230,ERROR,
Oracle,bv_8,0c385466b36d1cfb45b9905a2268a95cbec405473b691709845e71a0553c0b79,01895fbc16745e44e886dc1accffcefa406223ec521ea6d1715cee45461c6eaf,9,28,10,90.0,PROVED_EQUAL,True,0.008208700004615821,50,32,ERROR,
SurfaceCode,surface_code_8,15085463bb9acfc3d3c2fcc7416945689cf8dbdf38ee63960843c17c716d519e,040c973a17118e155b30ea31786329ac57369558a45b81348a5a0117539424f9,9,19,19,0.0,PROVED_EQUAL,True,0.008139900004607625,45,45,ERROR,
SurfaceCode,surface_code_8,1c82b236ba06c15d01c63ef7f002938983d64d0466097126e6dd69be4a8ec39b,212de8d56812c4ddd516c8ca920b562dbbb6248ad4bbfb91ec29f8f75c65aebf,9,10,10,0.0,PROVED_EQUAL,True,0.00390220000554109,36,36,,
Oracle,bv_8,1da141578648db952d0c0258f06e9ac1c658cc518f58ccc3eae0aa459e7dd61c,01c6877036f37c4478d10267be59921b890e97ec4a815c499da52e524c611bdf,9,29,11,88.52459016393442,PROVED_EQUAL,True,0.007009799999650568,52,34,,
Adder,adder_8,2164019ee5e79f18f2d1ccc22ecf54065aa0ae6d801bbde583c7eea6b58de838,25c565e875930b33bec9dbe55788efc525dcb172e7ec955e3366c7318ce0f098,10,150,150,0.0,PROVED_EQUAL,True,0.488323900004616,230,230,,
Oracle,bv_8,27c1cdf3eda94e12894f67e152b42d888e3e26b135a7921a2ff59c204f99788d,04faa9f310e93f9f42eabc8c6419ebe1de7857557cb6800d94bd14e5402e3bb7,9,27,9,91.52542372881356,PROVED_EQUAL,True,0.004688499997428153,48,30,,
Oracle,bv_8,34ac6807a367e4649c549bb7e5379b105efee316f5ac8c12566d937750d6a8fa,3a3de35047502a00ae6ea850b248bc9276c4c2517e3e18c1f97202bdf2c3a875,9,30,12,87.09677419354838,PROVED_EQUAL,True,0.006177999995998107,54,36,,
Adder,adder_8,437020e3b14d16381ddae29b4c8219401888281530fe7a429e0e50cdf87b176c,0a827ebd61e504b45c0af5631543e23c95d5d4b3c42b903ddb5d20168f76975a,10,147,147,0.0,PROVED_EQUAL,True,0.2013130999985151,227,227,,
Oracle,bv_8,4914698abc41ccf5c102d58cea869a0486728ed0832f0910ccf6c1306d1b49b0,07fc4129bf9556939d8e910d1af3339923f3e73e5b27ba3f38450a7724299680,9,27,9,91.52542372881356,PROVED_EQUAL,True,0.005537600001844112,48,30,,
Adder,adder_8,6a973daf65bd418bdd08beaf9461e58945e15cfd7d372f99f1bfabdf665daccf,020cfb82a25797473c8c34973d2515685d489f5252732feaeb698739b86b7b4d,10,150,150,0.0,PROVED_EQUAL,True,0.2910723999957554,230,230,,
Adder,adder_8,78372196a76be5b171c8c8652020a17fffda66c247774a77d4b49a122e356bf7,07ea15bfd986e81a71ecf75955ff5af31a92c9a49fb1b01f76940f212ce86f1a,10,153,153,0.0,PROVED_EQUAL,True,0.22066710000217427,233,233,,
Oracle,bv_8,826a81832c43fd3beaa5ea66f63d19579c7ae7c3f309c590d3c64709d2be3057,2560edeac0c3d1d0280ac0783e77acb54f001e1941b52f903ee65929a14adf44,9,29,11,88.52459016393442,PROVED_EQUAL,True,0.012059699998644646,52,34,,
Adder,adder_8,99bbb7d14c43822569de544c5e8a4b3ccfd00506bb1041b2da2a6c12d1b20f7f,0f558d7c9b0cfe1b810b49ae39badf64c2485900aa7c314137ad52c4f20aa850,10,150,150,0.0,PROVED_EQUAL,True,0.2751508000001195,230,230,,
SurfaceCode,surface_code_8,a1b0ba8e9683b6e8fb7f674fec300eb87f2d2387d58f482c81187c497cdc2175,1778e1bb67b094587323d5fe59b6a934f61290505f3af2aea660dede9e770d9e,9,13,13,0.0,PROVED_EQUAL,True,0.005817599994770717,39,39,,
SurfaceCode,surface_code_8,a25cdf698d5ca8a8af744fd0fd1ebd652891919421d5e150b2a7e5e42e0cf9e7,035319dd42269e34c356ba2c7e6428977f8ff1caae085fbd14628d0e9a04ae2e,9,19,19,0.0,PROVED_EQUAL,True,0.0052718999941134825,45,45,,
Oracle,bv_8,aba6140f6f41bb9a15bf0b99954920f2f59a73deff2d6fea22ba7c52a34ffc96,5eb212afc40a24ea1eb665c5851619198baafc84e7d159b5793715c95385acc7,9,27,9,91.52542372881356,PROVED_EQUAL,True,0.004921799998555798,48,30,,
SurfaceCode,surface_code_8,b5ac35a68d5e59c46c6564e09d414ba98d05d318ac2cd28aaf6914b943c91c9b,0708a364f1d35292d4f759eb2e1328f7f22422dca7486597074a7c31b3463352,9,19,19,0.0,PROVED_EQUAL,True,0.00600049999775365,45,45,,
SurfaceCode,surface_code_8,b866fb4b41003a7d731ad7258462101c103a99bb9ec5d149206b154bb5a479bf,0b2ffaa93873adb07a1d8cc80541fbf26f67e2964983204a7897ad57c884640b,9,13,13,0.0,PROVED_EQUAL,True,0.010991399998601992,39,39,,
Adder,adder_8,c3781847e3b476f0de097ecb06e247f54b9b45f604f5ccafeaab4169f506470a,036d928324bb048d1b56af739aa42c1f998a52b597a0c1a4f86fc2ddfba816eb,10,153,153,0.0,PROVED_EQUAL,True,0.35529540000425186,233,233,,
