profile_label,run_id,circuit_id,circuit_family,n_qubits,input_circuit_sha256,listing_model,rule_set,window_gates,budget_seconds,repeat_index,status,valid_equivalent_output,output_circuit_sha256,original_common_basis_gate_count,optimized_common_basis_gate_count,common_basis_gate_reduction_pct,process_wall_seconds,execute_wall_seconds,execute_cpu_seconds,import_initialization_wall_seconds,import_initialization_cpu_seconds,payload_parsing_wall_seconds,payload_parsing_cpu_seconds,qasm_parsing_wall_seconds,qasm_parsing_cpu_seconds,listing_wall_seconds,listing_cpu_seconds,engine_initialization_wall_seconds,engine_initialization_cpu_seconds,optimization_wall_seconds,optimization_cpu_seconds,verification_wall_seconds,verification_cpu_seconds,basis_conversion_wall_seconds,basis_conversion_cpu_seconds,serialization_probe_wall_seconds,serialization_probe_cpu_seconds,peak_rss_mb,phase_boundary_peak_rss_mb,process_disk_read_bytes,process_disk_write_bytes_before_result,final_profile_directory_bytes
main,d2c2082e16f697a2a31c74d1edd17a0a586ff11f7c591a896f8fa5e876ad4c9b,adder_3,Adder,4,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,LBL,COMMUTATION_PLUS_TEMPLATES,16,10,0,success,True,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,60,60,0.0,2.873103700003412,1.218777299996873,0.984375,1.2437620000055176,0.984375,0.0011101000054623,0.015625,0.000993699999526143,0.0,8.270000398624688e-05,0.0,0.00037230000452836975,0.0,0.0012497999996412545,0.0,0.0019346999979461543,0.0,1.2134357999966596,0.984375,2.9199996788520366e-05,0.0,144.76171875,137.13671875,10434501,260,2704
main,28415783dc39c64806c9bfaadbafcafe64d321f3c7f7a2937b50d647d69db5dd,adder_3,Adder,4,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,WCL,COMMUTATION_PLUS_TEMPLATES,16,10,0,success,True,376ceef4983731f7550ead348027cf64df326a3131ced4b5445918208feab683,60,60,0.0,2.762907299998915,1.1247787000029348,1.015625,1.2867398999951547,1.09375,0.003541100006259512,0.0,0.0006234999964362942,0.0,0.0003544999999576248,0.0,0.000505299998621922,0.0,0.001007200000458397,0.0,0.0018319000009796582,0.0,1.1197809000004781,1.015625,2.7400004910305142e-05,0.0,144.49609375,136.859375,10434502,260,2700
main,e5a25c71b34e627897af50a11fd98998f747f39e287add0324d5fcaebdc4df21,cnot_chain_4,CNOT,4,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,LBL,COMMUTATION_PLUS_TEMPLATES,16,10,0,success,True,80cb67051feabb1a835727fede3367602f1e692e3ec9d1d7247266c73803bd7d,24,0,100.0,2.9368989000067813,1.276332800000091,1.078125,1.289130600001954,1.046875,0.0015066000050865114,0.0,0.0010024000002886169,0.0,7.809999806340784e-05,0.0,0.0005089000042062253,0.0,0.005726100003812462,0.0,0.0026976000008289702,0.0,1.265832600001886,1.078125,3.270000161137432e-05,0.0,143.90234375,136.23046875,10434768,260,2708
main,f715917b76dc455b246735f41b9f4394811faf2dc927b6bdf8229135bad27633,cnot_chain_4,CNOT,4,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,WCL,COMMUTATION_PLUS_TEMPLATES,16,10,0,success,True,80cb67051feabb1a835727fede3367602f1e692e3ec9d1d7247266c73803bd7d,24,0,100.0,3.0115431000012904,1.2278349000043818,1.0625,1.3917449000000488,1.09375,0.0016845999998622574,0.0,0.0009649999992689118,0.0,0.0007202999986475334,0.0,0.00040779999835649505,0.0,0.006545899996126536,0.0,0.00301210000179708,0.015625,1.2157723999989685,1.046875,2.720000338740647e-05,0.0,144.53515625,136.86328125,10434769,260,2713
main,f1d4b99f7f350e67bb79bb24e6778ea79eab06977193e6417e594188e5f2ba53,ghz_4,GHZ,4,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,LBL,COMMUTATION_PLUS_TEMPLATES,16,10,0,success,True,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,6,6,0.0,3.3038001999957487,1.4447036999990814,1.125,1.4879368000038085,1.1875,0.0012610999983735383,0.0,0.0007379000016953796,0.0,5.3800002206116915e-05,0.0,0.0015452000006916933,0.0,0.0014127000031294301,0.0,0.0028221999964443967,0.0,1.4376024000011967,1.125,3.0199997127056122e-05,0.0,144.90234375,137.23828125,10434447,260,2721
main,bd5f476daa4eae51fe67ec7ace1bee972288133a2ad0af2a68878be3def7c7e6,ghz_4,GHZ,4,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,WCL,COMMUTATION_PLUS_TEMPLATES,16,10,0,success,True,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,6,6,0.0,3.595361399995454,1.5429498000012245,1.15625,1.5734019999945303,1.09375,0.0013183999981265515,0.0,0.0005897000010008924,0.0,0.0002457000009599142,0.0,0.0003060000017285347,0.015625,0.0008531999992555939,0.0,0.00310429999808548,0.0,1.5368001999959233,1.140625,5.129999772179872e-05,0.0,144.6796875,137.046875,10434447,260,2728
main,15d12874dd573bc4f9a81902b93ba84084587738977c09c7686dfa300425d513,grover_4,Grover,4,dd0bd9d601309ab2409129880f851b4a0aa922f7e24924a06c30ef6874a5a00b,LBL,COMMUTATION_PLUS_TEMPLATES,16,10,0,success,True,830a5f1c1893e54dc76e906be9df42853374dfb645079ff25f04240a2cbdb24a,128,104,18.75,4.046287899996969,1.8094577000010759,1.328125,1.7597313999940525,1.265625,0.001726900001813192,0.0,0.001185000000987202,0.0,6.420000136131421e-05,0.0,0.0003327000013086945,0.0,0.048153800002182834,0.046875,0.01686160000099335,0.0,1.74069359999703,1.28125,5.4899996030144393e-05,0.0,144.75390625,137.125,10435555,260,2736
main,ba479ee39318515be035fe449f6506467f34a410afa8d9152e3ef0fe2565d085,grover_4,Grover,4,dd0bd9d601309ab2409129880f851b4a0aa922f7e24924a06c30ef6874a5a00b,WCL,COMMUTATION_PLUS_TEMPLATES,16,10,0,success,True,830a5f1c1893e54dc76e906be9df42853374dfb645079ff25f04240a2cbdb24a,128,104,18.75,3.965085999996518,1.4260424000021885,1.234375,2.1568391999971936,1.390625,0.0014787000036449172,0.0,0.0008761000062804669,0.0,0.0011137000037706457,0.0,0.00025350000214530155,0.0,0.03319000000192318,0.03125,0.01748609999776818,0.03125,1.3720076000026893,1.171875,2.8299997211433947e-05,0.0,145.02734375,137.390625,10435555,260,2745
main,9ba0d93549e9c8c9bbe6d4b76de24e31329f4bbe0fada13902ec7752b7382204,haar_4,HaarRandom,4,95300c7f12f75049fd4f840f8155f54ae4f02dfc980112dcf6f32aa7fa26c259,LBL,COMMUTATION_PLUS_TEMPLATES,16,10,0,success,True,6884c56828019281903e9e42d984d3e3cc6ae7a7f33ca81048cb65dc218724de,687,685,0.29112081513827937,2.5329779000021517,1.1818140000032145,1.078125,1.0257956999994349,0.9375,0.0018660999994608574,0.0,0.0017567000031704083,0.0,6.520000169984996e-05,0.0,0.0002386999985901639,0.0,0.07850709999911487,0.078125,0.03567060000204947,0.046875,1.0610394999966957,0.9375,3.2199997804127634e-05,0.0,145.265625,137.59765625,10444234,260,2754
main,9d8edad139591c1fc2737894a370bcd71b63791283597032d6f0e1948aebd260,haar_4,HaarRandom,4,95300c7f12f75049fd4f840f8155f54ae4f02dfc980112dcf6f32aa7fa26c259,WCL,COMMUTATION_PLUS_TEMPLATES,16,10,0,success,True,6884c56828019281903e9e42d984d3e3cc6ae7a7f33ca81048cb65dc218724de,687,685,0.29112081513827937,2.667858900000283,1.2100800999978674,1.109375,1.1335169000012684,0.890625,0.0010914000013144687,0.0,0.0019548000054783188,0.015625,0.0038696999981766567,0.0,0.0002595999976620078,0.0,0.09245340000052238,0.09375,0.03450409999641124,0.03125,1.0689759999950184,0.953125,5.619999865302816e-05,0.0,145.21875,137.56640625,10444236,260,2762
