temporal_block,rows,run_order_min,run_order_max,quality_itt_raw_mean,quality_itt_adjusted_residual_mean,quality_itt_adjusted_residual_sem,valid_raw_mean,valid_adjusted_residual_mean,valid_adjusted_residual_sem,timeout_raw_mean,timeout_adjusted_residual_mean,timeout_adjusted_residual_sem,wall_seconds_raw_mean,wall_seconds_adjusted_residual_mean,wall_seconds_adjusted_residual_sem,wall_budget_fraction_raw_mean,wall_budget_fraction_adjusted_residual_mean,wall_budget_fraction_adjusted_residual_sem,peak_rss_mb_raw_mean,peak_rss_mb_adjusted_residual_mean,peak_rss_mb_adjusted_residual_sem
0,1408,0,1407,13.005538573057027,-0.05583345306990629,0.3680434428520044,0.7457386363636364,4.7782411713042135e-05,0.0027220577000964855,0.25426136363636365,-4.77824117130391e-05,0.002722057700096486,3.711762511931728,-0.11090991878876996,0.21019218381420376,0.35922050335049405,-0.0023119770432229914,0.002480222368482107,132.82518421519887,0.903526791994327,0.13775504660278237
1,1408,1408,2815,12.488717689677275,0.12268657090318685,0.3672849033484027,0.7201704545454546,0.0016287898970523686,0.0025035824346072216,0.27982954545454547,-0.0016287898970523658,0.0025035824346072216,3.4032424774147527,-0.06222995122566426,0.20568041101327486,0.3753719746578476,-0.007432189878456489,0.002323213516818297,132.27184503728694,1.6610000262673914,0.11846383256283174
2,1407,2816,4222,12.385664088703594,0.10966314219085017,0.36055586563294745,0.7313432835820896,0.0050645213020675895,0.0026842928555291835,0.26865671641791045,-0.005064521302067587,0.0026842928555291835,4.2318258884860205,0.11361487255668994,0.2676553430503324,0.3651637799608273,-0.009212927613323693,0.002609669202391408,132.77860141257995,1.6619774918155434,0.11293436189905172
3,1408,4223,5630,12.45477105964453,0.06413420976253638,0.3740334633102259,0.7180397727272727,0.0006525049084192346,0.00244121845718674,0.2819602272727273,-0.000652504908419232,0.00244121845718674,3.480357824289709,0.01340791880886298,0.21113803615632457,0.38213979526507863,-0.0070227443755085,0.0023376130771380404,132.05030961470172,1.5320307699526337,0.10968978751869805
4,1407,5631,7037,12.604785522134879,-0.29923928633360836,0.3694648589278049,0.7142857142857143,9.023004976740514e-05,0.002364016163170843,0.2857142857142857,-9.02300497674025e-05,0.002364016163170843,3.110559578535904,-0.27712412397544967,0.1839190831806964,0.3817961446783946,-0.006465410903109404,0.002260633371667457,131.7606054548685,1.5287452346702657,0.10867538317630962
5,1408,7038,8445,12.512907322253938,0.07104840842748304,0.3594659735919498,0.7350852272727273,0.006559889374886982,0.0025696745591288696,0.2649147727272727,-0.006559889374886978,0.0025696745591288696,2.789786816264211,-0.5733370963850496,0.15743146873843208,0.36525857142221857,-0.01188649854394357,0.0023841521278548704,132.54335992986506,1.7052097509276145,0.11110264234427471
6,1408,8446,9853,12.361562830654064,0.37542618243146486,0.36311658427469484,0.7137784090909091,0.0028104080688599593,0.0023814687680359476,0.2862215909090909,-0.002810408068859956,0.002381468768035948,3.0382117387074357,-0.2820175703926323,0.1743040272219736,0.38319794544276903,-0.008697963569698378,0.0023369526356809204,131.54059115323153,1.5021889776337078,0.11098319748941106
7,1407,9854,11260,12.349064460959044,0.011935546693954701,0.36458128468323486,0.7164179104477612,0.0070871487970774185,0.0026964396134676314,0.2835820895522388,-0.007087148797077415,0.0026964396134676314,3.1278629033402994,-0.23159744811042235,0.17115857436127724,0.3902570386034433,-0.006545516190216427,0.0025906755562522124,131.65091950959487,1.6778474218292208,0.11231204226324494
8,1408,11261,12668,12.716247567608047,0.1957667569106739,0.380338891358363,0.7279829545454546,0.0028046307867679397,0.003013812925715216,0.27201704545454547,-0.002804630786767936,0.003013812925715216,3.45440050127818,-0.19111547576956112,0.19966315052292588,0.38163152110084386,-0.0008933145630611181,0.002668385720617137,131.94017999822444,0.990286705996456,0.1312791416934548
9,1407,12669,14075,11.85918853988486,-0.3487202031906819,0.34631208179284606,0.7306325515280739,0.004281256810172339,0.0026497633507945022,0.26936744847192606,-0.004281256810172336,0.0026497633507945022,3.870036489268053,0.17375485705861723,0.23710003357141282,0.37327828484196035,-0.006376599529644163,0.0025390728994173412,132.11340618336888,1.1748198280428597,0.11413449975050566
10,1408,14076,15483,11.817526830978363,-0.584418292532933,0.3674112493352596,0.7130681818181818,-0.00025422564035495213,0.002739601683613049,0.2869318181818182,0.0002542256403549555,0.002739601683613049,3.344959699573771,-0.26577932579665037,0.19105149590397152,0.39001985105406867,-0.003296661291457019,0.002456779092890951,131.2547246759588,1.0116034662003779,0.12159008164519382
11,1408,15484,16891,13.28388759958985,0.5510313292421801,0.3819026894053865,0.7379261363636364,0.00506677730792581,0.0025810539620696638,0.26207386363636365,-0.005066777307925806,0.0025810539620696638,3.178506393465899,-0.46860198652971313,0.17026182572388854,0.36379079724196034,-0.007346596812461639,0.002427450469284272,133.07495672052556,1.9179851765836944,0.12920063649194566
12,1407,16892,18298,12.508510023856413,-3.3442936573383256e-05,0.36930031075730385,0.6993603411513859,-0.002256584369994299,0.0026842268867710824,0.3006396588486141,0.002256584369994301,0.0026842268867710824,3.769929610163594,0.3060236010833024,0.21388696020258519,0.4036252631959698,0.004268140080613717,0.0024885575007747543,128.50058024609098,-1.1074317743846944,0.20431887286983705
13,1408,18299,19706,11.932042845846185,0.04317302804378367,0.3680832201878848,0.703125,-0.009608175141762893,0.003327552499150391,0.296875,0.009608175141762897,0.0033275524991503913,4.02196921221589,0.40548820463131885,0.21168728555959537,0.404259614604628,0.015408314139465,0.0030925784778811074,127.44506558504972,-2.8287348970588027,0.2308267494718373
14,1407,19707,21113,12.644067570711389,-0.17519228640382037,0.37340295781698385,0.7235252309879175,-0.007781925229533729,0.0031587502133140913,0.27647476901208246,0.0077819252295337335,0.0031587502133140918,4.43091291158494,0.7080963631065981,0.2056002343038106,0.40925888080964484,0.035372140887721955,0.0033239192908384543,126.53600024431414,-4.524503085661319,0.2891938931179534
15,1408,21114,22521,12.75633995607614,0.45410817497321665,0.357925628274804,0.7038352272727273,-0.004839192758789942,0.0031324987315818156,0.2961647727272727,0.004839192758789945,0.0031324987315818156,4.357196977485769,0.5009135495241908,0.2267773231194016,0.4085856881563753,0.01764390349158728,0.00285961867998555,125.51978648792614,-4.642749376416984,0.25458197451693465
16,1408,22522,23929,12.130056157336037,-0.21013111384495523,0.3710348668902759,0.7464488636363636,-0.0017771575651011346,0.003062625546353322,0.25355113636363635,0.0017771575651011383,0.0030626255463533218,3.866669562642055,0.13122596114677967,0.22906214819925577,0.36111006332622575,0.004794371861015594,0.002879575418583374,130.48363980379972,-1.4076261330434385,0.19449927699836306
17,1407,23930,25336,13.28508780737139,0.27254735749669395,0.3910067936240667,0.7135749822316987,-0.0018075043125621402,0.002411185025769682,0.28642501776830137,0.0018075043125621425,0.002411185025769682,3.6649031298507335,0.10832507153031719,0.23169044054983828,0.37481519103884897,-0.009649822538979157,0.0023582019659822893,131.0509978011727,0.6941364227047346,0.13768441142782234
18,1408,25337,26744,12.30662972419205,-0.15024161066033853,0.3671620559619011,0.734375,-0.0030264885104239287,0.002755477813796733,0.265625,0.0030264885104239313,0.0027554778137967324,3.2314787385653214,-0.2889666925457319,0.15900459711212264,0.3655977820182286,-0.001192715165337059,0.0024969790152542374,130.15303178267047,-1.1592081501537612,0.16921781133574265
19,1407,26745,28151,11.34635959489283,-0.4483341525669901,0.3555116753508513,0.7029140014214641,-0.004742732769796934,0.003342822357145489,0.2970859985785359,0.004742732769796937,0.003342822357145489,4.140043669509635,0.29167632751668515,0.22080691946357864,0.4035595491471152,0.010852762704960963,0.003178901827697118,127.7354466506752,-2.291947230066864,0.24022118216881969
