left_out_family,leave_one_family_out_equal_family_mean_pp,delta_from_all_families_pp,sign_changed
Adder,-0.23028222596535078,-0.015352148397690057,False
CNOT,-0.23028222596535078,-0.015352148397690057,False
GHZ,-0.23028222596535078,-0.015352148397690057,False
Grover,-0.22795448064269522,-0.013024403075034496,False
HaarRandom,-0.23045551216483787,-0.015525434597177146,False
HardwareEfficient,-0.23028222596535078,-0.015352148397690057,False
IQP,-0.242857498685188,-0.027927421117527274,False
Oracle,-0.05710703359607001,0.15782304397159072,False
QAOA,-0.23028222596535078,-0.015352148397690057,False
QFT,-0.23028222596535078,-0.015352148397690057,False
QuantumWalk,-0.22812528861012457,-0.01319521104246385,False
RandomClifford,-0.16491131612783824,0.05001876143982248,False
SurfaceCode,-0.23028222596535078,-0.015352148397690057,False
UCCSD_inspired,-0.23028222596535078,-0.015352148397690057,False
VQE,-0.23028222596535078,-0.015352148397690057,False
