budget_spec,window_spec,weighting,estimate_pp,ci95_low_pp,ci95_high_pp,inference_role
all_1_10_30_120,all_4_16_64,fixed_input_weighted_descriptive,-0.37976652169697117,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
all_1_10_30_120,all_4_16_64,equal_family_supportive,-0.21493007756766072,-0.5791410462229931,0.1492808910876717,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
all_1_10_30_120,window_4,fixed_input_weighted_descriptive,-0.4803717503062185,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
all_1_10_30_120,window_4,equal_family_supportive,-0.2844062685424272,-0.7500744807758984,0.1812619436910441,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
all_1_10_30_120,window_16,fixed_input_weighted_descriptive,-0.6505835464435896,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
all_1_10_30_120,window_16,equal_family_supportive,-0.34772809333948146,-0.9848955352073205,0.2894393485283577,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
all_1_10_30_120,window_64,fixed_input_weighted_descriptive,-0.008344268341105455,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
all_1_10_30_120,window_64,equal_family_supportive,-0.012655870821073546,-0.05387743620321596,0.02856569456106887,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
executable_10_30_120,all_4_16_64,fixed_input_weighted_descriptive,-0.5063553622626282,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
executable_10_30_120,all_4_16_64,equal_family_supportive,-0.28657343675688096,-0.7721880616306576,0.19904118811689564,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
executable_10_30_120,window_4,fixed_input_weighted_descriptive,-0.6404956670749579,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
executable_10_30_120,window_4,equal_family_supportive,-0.3792083580565696,-1.000099307701198,0.24168259158805883,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
executable_10_30_120,window_16,fixed_input_weighted_descriptive,-0.8674447285914529,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
executable_10_30_120,window_16,equal_family_supportive,-0.4636374577859753,-1.313194046943094,0.3859191313711433,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
executable_10_30_120,window_64,fixed_input_weighted_descriptive,-0.011125691121473932,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
executable_10_30_120,window_64,equal_family_supportive,-0.016874494428098057,-0.07183658160428796,0.03808759274809184,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
long_30_120,all_4_16_64,fixed_input_weighted_descriptive,-0.5305524299655069,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
long_30_120,all_4_16_64,equal_family_supportive,-0.2984092239882481,-0.7869628113945168,0.1901443634180207,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
long_30_120,window_4,fixed_input_weighted_descriptive,-0.6490818526514559,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
long_30_120,window_4,equal_family_supportive,-0.3814127082395201,-1.0019801448410806,0.23915472836204044,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
long_30_120,window_16,fixed_input_weighted_descriptive,-0.9064363630310966,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
long_30_120,window_16,equal_family_supportive,-0.4860735439758314,-1.339815147247652,0.3676680592959893,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
long_30_120,window_64,fixed_input_weighted_descriptive,-0.03613907421396805,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
long_30_120,window_64,equal_family_supportive,-0.02774141974939272,-0.0794278688674994,0.02394502936871396,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
terminal_120,all_4_16_64,fixed_input_weighted_descriptive,-0.4846591181163888,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
terminal_120,all_4_16_64,equal_family_supportive,-0.2702600883883332,-0.750406631668351,0.20988645489168456,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
terminal_120,window_4,fixed_input_weighted_descriptive,-0.6345705660952455,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
terminal_120,window_4,equal_family_supportive,-0.37510836041343315,-0.99677963239253,0.24656291156566373,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
terminal_120,window_16,fixed_input_weighted_descriptive,-0.7916909320984425,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
terminal_120,window_16,equal_family_supportive,-0.4115899052920287,-1.2597078478499386,0.43652803726588124,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
terminal_120,window_64,fixed_input_weighted_descriptive,-0.027715856155478117,,,FIXED_PANEL_DESCRIPTIVE_NO_POPULATION_CI
terminal_120,window_64,equal_family_supportive,-0.02408199945953765,-0.07573275131877664,0.027568752399701343,SUPPORTIVE_T14_OVER_15_OBSERVED_FAMILY_MEANS
