budget_seconds,circuit_family,circuit_id,common_basis_gate_reduction_pct,design_manifest_sha256,exact_fidelity,input_circuit_sha256,listing_model,optimized_common_basis_gate_count,optimizer_runtime_seconds,original_common_basis_gate_count,output_circuit_sha256,peak_rss_mb,primary_pair_orientation,protocol_sha256,rule_set,run_id,run_order,status,template_enabled,trace,valid_equivalent_output,wall_seconds_end_to_end,window_gates
10,Oracle,bv_3,21.42857142857143,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,0.9999999999999979,8fe6a04fb57130ecbb92ca64358dee1b21d52ec1cfd3a2ce2f134a6345166151,LBL,22.0,0.0,28.0,093adf4a247736e2a9532a7959a40c9d8c10518762a720eed8b3f0db12c5310e,143.140625,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,d678e04d0fabcd95344a5b83a8c144a54612a9db98d0ba0e613c5f894f5d1bff,0,success,False,"[{'cz_conversions': 0, 'gate_count': 10, 'h_reorders': 15, 'hh_cancellations': 1, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 8, 'phase_merges': 0, 'template_rewrites': 0}, {'cz_conversions': 0, 'gate_count': 10, 'h_reorders': 4, 'hh_cancellations': 0, 'iteration': 1, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.087114099998871,64
120,IQP,iqp_4,58.82352941176471,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,0.9999999999999986,1bfe5860998e2d3ca1f048c0a396d2f3f0d4c199e4369ef422a20e44335b026d,LBL,28.0,0.00916910171508789,68.0,2f49081481dad446c800554f6555285880f837a646d0debdd36d58dd61a0f8ad,143.01171875,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,25b5362d66e795a241832fb634126f57304b8ac1713d4551623659b1afa135f6,1,success,True,"[{'cz_conversions': 0, 'gate_count': 12, 'h_reorders': 14, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 2, 'mcz_conversions': 0, 'pair_gathers': 39, 'phase_merges': 5, 'template_rewrites': 0}, {'cz_conversions': 0, 'gate_count': 10, 'h_reorders': 4, 'hh_cancellations': 1, 'iteration': 1, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 6, 'phase_merges': 0, 'template_rewrites': 0}, {'cz_conversions': 0, 'gate_count': 10, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 2, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.1278646999999182,64
1,IQP,iqp_6,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,1af7528f5f0b083d8fb217d2aaa8db5ea8fabaefadf375ad667c53198edfbaae,RANDOM_TOPOLOGICAL,,,,,101.27734375,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,027941b051e6945c0be91628109ac2efc722849276cd90346be6a0bab91f3467,2,timeout,,[],False,1.0582390999989002,64
1,Oracle,bv_4,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,e4d691f8c012af76095e7a10ad56544d75b24ab2672cd278233741ac8ea1250f,RANDOM_TOPOLOGICAL,,,,,95.96875,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,8397fba08516d8b7996321ce46dd74026f67779b6ca83e8b1544ee2ae4a4a91a,3,timeout,,[],False,1.0377491999970516,16
10,CNOT,cnot_chain_6,100.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,1.0,a9cbe813352eb8bbddbb6de7feecde853f066b5cf29e96a7a2f84a6cd354761a,RANDOM_TOPOLOGICAL,0.0,0.0,40.0,995ca4ef9eaba10dd58f1ab322947f30c40e0f095185660849ca98aed2848347,142.45703125,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,d50ebd30fa9c88d89fd4f3198aebed8b5d1824943d52b8298dba9ff9fe242cde,4,success,False,"[{'cz_conversions': 0, 'gate_count': 0, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 20, 'mcz_conversions': 0, 'pair_gathers': 10, 'phase_merges': 0, 'template_rewrites': 0}, {'cz_conversions': 0, 'gate_count': 0, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 1, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.2925752000010107,64
1,QuantumWalk,qwalk_7,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,,8a2dab910f6b0fb4138b6288249055697b4a82d54aeb40f1b365d52677ecd74e,LBL,,,,,100.08984375,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,b1c7f1d15022be0586df266991e6624068a4711d0b5332fa178563a50df8b02e,5,timeout,,[],False,1.0440285000004224,16
10,HardwareEfficient,hardware_eff_6,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,0.9999999999999998,5644fee5bd8328c655b27bf4202f33cb49d6ff723364d466a3a1421f12c14466,WCL,82.0,0.003966808319091797,82.0,4a50cb60c8b740a8473b658ee29317a0949eb66225dc2e199c483d2c13af287d,143.1875,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,363f8d27e9bc626cb81a2abba4cd706de64a1d4c9c844a5acfb49b5924cea276,6,success,True,"[{'cz_conversions': 0, 'gate_count': 34, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.240949399998499,4
10,QAOA,qaoa_line_6,0.0,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,1.0000000000000027,3113b971b548c7ee4e78af92d32b392c5bfcc30e701ff59f7420abc819314785,LBL,160.0,0.003047943115234375,160.0,3113b971b548c7ee4e78af92d32b392c5bfcc30e701ff59f7420abc819314785,143.05078125,1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,a518d2161d5259cb78918d7e8d94f31732e92985c18cb70d4abd771af83f422c,7,success,True,"[{'cz_conversions': 0, 'gate_count': 48, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.121848900002078,4
120,RandomClifford,clifford_6,14.60674157303371,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,0.9999999999999991,974adb34b1a2c479396dd1800d00c4417c08a4c562a7370805ba00b5d6610880,LBL,76.0,0.0,89.0,e6c381902b9e3a32ba67283933c771e62b9b0ab044ed955ebcd8e9bfe93edc34,142.93359375,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_ONLY,02bd2bbf0b94f365848b2e77ae31562377840ee56914cb00bda9b2d9fbd24961,8,success,False,"[{'cz_conversions': 0, 'gate_count': 40, 'h_reorders': 10, 'hh_cancellations': 1, 'iteration': 0, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 16, 'phase_merges': 7, 'template_rewrites': 0}, {'cz_conversions': 0, 'gate_count': 40, 'h_reorders': 0, 'hh_cancellations': 0, 'iteration': 1, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.0460072999994736,4
120,IQP,iqp_8,50.32258064516129,f290bdba0ec8bac68b2a817f8a9dd71e5246e2558288c6704e576946bc518a86,0.9999999999999996,f5800ccda7bc5fe6d0223d2c5024b1e92540cfdc9389dbbd217178e1660d20cb,LBL,77.0,0.009853124618530273,155.0,dbe15e5e3fc5123fd288f9ae9ce608032c0168547f4f128b5989288ec277f625,142.98046875,-1,2464d1d531032a71c2947e9e8abd2b6b84de9fc6f048239944ee9357097365e8,COMMUTATION_PLUS_TEMPLATES,fff9c6c8a45d44b2534693785134d42e13ae0b5786273a50a964804c0f4c06eb,9,success,True,"[{'cz_conversions': 0, 'gate_count': 27, 'h_reorders': 23, 'hh_cancellations': 0, 'iteration': 0, 'local_cancellations': 5, 'mcz_conversions': 0, 'pair_gathers': 129, 'phase_merges': 8, 'template_rewrites': 0}, {'cz_conversions': 0, 'gate_count': 27, 'h_reorders': 31, 'hh_cancellations': 0, 'iteration': 1, 'local_cancellations': 0, 'mcz_conversions': 0, 'pair_gathers': 0, 'phase_merges': 0, 'template_rewrites': 0}]",True,2.142203300001711,64
