semantic_cell_id,input_circuit_sha256,listing_model,rule_set,window_gates,successful_budget_count,formal_success_rows_bound,qpy_sha256,declared_qubits,ancilla_qubits,active_qubits_static,logical_gate_count,logical_depth,multi_qubit_gate_count,two_qubit_gate_count,measurement_count,reset_count,swap_count,toffoli_ccz_count,logical_t_tdg_count,two_qubit_depth,logical_t_tdg_layer_depth,interaction_graph_pair_edges,interaction_graph_density,contains_non_clifford_t_operations
00205b147a2ee498523a524e39c501fe6e7bf0b321375dc5b5d6d5bc28b87b8f,dd0bd9d601309ab2409129880f851b4a0aa922f7e24924a06c30ef6874a5a00b,LBL,COMMUTATION_PLUS_TEMPLATES,64,3,3,aec2fbe84bd6bc6e5003a68116fe2b3584e419fdbf2996eff44e909e2d4857a5,4,0,4,80,57,28,28,0,0,0,0,0,28,0,6,1.0,True
0047f74fd89f955e70d8dcd9a6a09524e73948b4c115174b68482b42b34e9f69,d75b107d6610e55aacfddff9d177a41d58656d6851d4b751fc8b7a09d03890a5,WCL,COMMUTATION_ONLY,16,3,3,32b2081b6192f4d2dfa62cc49d1543b2214e9323472b79ddada0214822b2dbb4,8,0,8,68,28,36,36,0,0,0,0,0,17,0,18,0.6428571428571429,True
00485f2d8483f4d7dbeda4d87fe69063fb568e719cb01b0cef3f1cf67a73d0fa,adb7f9987b9b0c05e801b5fd0511f99788c5efa1cba7a076de804d89d6620b85,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,4,3,3,d7a2b61e47b037eaf0b20d79d65d5586510efca0d843ae080995de4d27c5ed25,4,0,4,226,179,96,90,0,0,0,6,0,90,0,6,1.0,True
004c39c30539efaae345f3cdafaa13c90e43b38658422144d0a691f3cf0b4ecc,a9cbe813352eb8bbddbb6de7feecde853f066b5cf29e96a7a2f84a6cd354761a,WCL,COMMUTATION_PLUS_TEMPLATES,4,3,3,d3bd9958a135c525d514ebf5f4026d83bce2217034e0940b13ae27908648f9c5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False
00523c2c843d3c14896d214e3fa906e12f1d6c87a53ae36beb8c15cb17c562d4,5eaf1f2b9f33724492a3e71d4e8ceaefbf99cfd60c760cd93842c60ec7375ec3,LBL,COMMUTATION_ONLY,16,3,3,ef4e7f253633f035363c0febf03fcbc9d568f21035ae5f70667c44c49ea57d44,6,0,6,46,13,10,10,0,0,0,0,0,7,0,5,0.3333333333333333,True
005dd9191985e8ad9e1cc2ec928fd6b7d43973c60ca3e2ec6041507dc1de5911,dc8ceaecb8e2ef6b2a8168d75f511498a0bb1c550f459c37996e52c89e84ba85,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,4,2,2,302d799014833d5f05be85cdc161b63470bffad355807bb998048a0fcdba3ccf,8,0,8,6976,4863,2904,2898,0,0,0,6,1458,2270,949,25,0.8928571428571429,True
005e317517876cdd9208db22511acb6e259fb362ee9f97d95f8fa35603067179,f82545ab8dd2e124bb20b12a2943a1f6d29666837c03c9275f4c803dc1929c72,WCL,COMMUTATION_ONLY,4,3,3,2f794daef96108052ccda8991e1cb4c6c197225fd72d60ebabc56843c20001cd,5,0,3,10,6,2,2,0,0,0,0,0,2,0,2,0.2,False
00641ddb4441176b40c8c84c916af3a902fea4fd2bcc4aa5d120a6757694f804,fbbb1f6cb302de75c9077919dccba48d46bf95447cc57a644a2377416daa7c26,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,64,3,3,cf18c7b36cbf882304da62884a92233056aeb74e7d56da19bea421ea185dca2f,4,0,4,22,8,6,6,0,0,0,0,0,4,0,3,0.5,True
00777b7d38f915be7d13adefc195bb2b9835b9d6a11056f6d482e9c8103af230,08824540c17b7e5551c4fed38e25fb7c445eb88bc2adf305e2ac828fad4d56a8,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,4,3,3,07c7c52c63743b6dd662b6d2c029b9e67624513ca63b282c02ed0af01908b7f8,10,0,10,18,9,15,6,0,0,0,9,0,2,0,18,0.4,True
007a934b51ddacb2eb868b0644c6b2b447858fc5ef4c526fa15ab78a9465b430,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,LBL,COMMUTATION_ONLY,16,3,3,4df562769ac79b98c9c415dbdab568dff3fa835e9aeaafd2aff869a05d1025db,8,0,8,8,8,7,7,0,0,0,0,0,7,0,7,0.25,False
007f56dc0d5bf9a15693648f6a791f40a7c249081af048ec56282da09a7378f9,893f6526bf6a6d3aeec9c02876eace88e08e93caa6ed56c50764daeba95b4560,LBL,COMMUTATION_ONLY,64,3,3,c5bde19673ce8a73c5aaac8e16878040e97f0cbd8cd2095e56473bc06dcc0ff4,4,0,4,272,189,95,95,0,0,0,0,0,94,0,6,1.0,True
0087cf8e02ba8bc18ddc6a9bff963a2745d0962878b965f66cf106e576c9bf0f,ecfd2572e51eb6ffed7dc27ff03ff03e0340732f1c1277c844b7427722591d79,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,64,3,3,234d829072bccbb68aea98ec9bfa54b7ee84bad675b39c47b1626a798a4e9b6e,8,0,8,46,8,14,14,0,0,0,0,0,4,0,7,0.25,True
008cd74033ae0c4798fefa17a4b20019b005c9f41395260930b5b0e9eae333d3,c91f83f84726fdd86c22a20ea08453d780f2bdd292a5b3b056d983430ea40d06,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,64,3,3,a9561952cffa7c64ac4e60783a6e88d2e2529eb48a1516b71d58e70ffed28bb9,4,0,4,82,59,28,28,0,0,0,0,0,28,0,6,1.0,True
