input_circuit_sha256,circuit_id,circuit_family,successful_rows,unique_output_circuits
0080a63f816f580541538093d5448ae336ed333ac6933bc71da115de0011b707,qaoa_line_8,QAOA,54,2
014e8da4cad4f97582e18a894f34fc8c3a41b14e6c31d3b3736404a1cf5b8e78,vqe_twolocal_8,VQE,54,2
01a23834d951decd141adabe1307f2ad87488faaf5ff243ee1ed65f08cf396e8,haar_4,HaarRandom,54,6
02163c542c157c61ed7195186ff2f5485f3042166bff997c922c173ac06103d0,bv_3,Oracle,54,4
03b7ba6584cd57903d9049d3d8d9d802e36a1d22303218b80bcdf8645fad3484,qaoa_line_4,QAOA,54,2
03eaab10a83e1dfeb034fd7582bcf4a2ea7fa5b71a897818b9064ad6fb621c5a,uccsd_6,UCCSD_inspired,54,4
061145114cca873e3d8fcf98f0fa0a719cdf86dc6144864cc899a7493711240b,iqp_6,IQP,54,6
0639b3b3f7a5228332fd6ea0cb7de6e464b224d886d779e81c774cab81bfce25,adder_6,Adder,54,3
06a9d110c02d1aaba25d743baf96461b3dd1bb878757e9b6610aa31e5bd58915,haar_4,HaarRandom,54,6
06c44d32c85d1c06864d6f9775908c5d875e7b32ddcad6ee5dfed8d86c27ca6f,surface_code_5,SurfaceCode,54,2
082489d14e2c84f851b9515f5e16cffad519cec34fbf1349a6ba883153cfe252,clifford_6,RandomClifford,54,11
08654d0b844c66f30029c8c41a7a668b9899dc14c7c9d5a5445fa5df75b6a5f4,surface_code_5,SurfaceCode,54,2
08824540c17b7e5551c4fed38e25fb7c445eb88bc2adf305e2ac828fad4d56a8,adder_8,Adder,54,3
08d1f72d01ec4aea7a1db3a931475f5b6dec3dbcbae9f261b9ca622d0598111e,qwalk_4,QuantumWalk,54,6
0a54b71bfd47499f18a2421cd6bf97c15dc3f348b2d97f00df878dc6173f5324,grover_8,Grover,52,8
0a81cc4d0a797c511cc7757f221f526b65d937b82fd056476c0518a352f5005b,iqp_4,IQP,54,3
0a90fc5e637b6da47ad2addab3dcc441b7340b4c926ab8292227e140ae48b338,grover_4,Grover,54,4
0b12314b8f546448b63ec916582bdcd18c8f92e57f6756737f55de986300e4e8,qwalk_7,QuantumWalk,28,9
0b2df1631cec49dcdf94ae6c89b987525505936cb61ce3a67e0759c3b5437914,vqe_twolocal_4,VQE,54,2
0beefbe297b32dc9ec283501ebd271f6102e615e89859d51183e5d935cb94f45,qwalk_3,QuantumWalk,54,5
0c385466b36d1cfb45b9905a2268a95cbec405473b691709845e71a0553c0b79,bv_8,Oracle,54,7
0cdd5a16e73c23ba58925f4d39695d1266fd02932361888693ce1d5d922fd6ce,adder_3,Adder,54,1
0ea94971bc42ea5f21350b8ee791f5ddd3a86cabd0502a4f2ecd331789793740,iqp_8,IQP,54,8
