run_id,run_order,circuit_family,input_circuit_sha256,n_qubits,listing_model,rule_set,window_gates,budget_seconds,status,valid_equivalent_output,time_to_first_valid_seconds,time_to_best_seconds,first_valid_event_index,best_event_index,event_count,input_gate_count,best_valid_gate_count,best_valid_reduction_pct_itt,cell_receipt_sha256
e32-e77900346adfb6bf62a561dc,0,Adder,0639b3b3f7a5228332fd6ea0cb7de6e464b224d886d779e81c774cab81bfce25,7,LBL,COMMUTATION_ONLY,16,60.0,success,True,1.1778159,1.1778159,4,4,6,10,10,0.0,0b0c8c7ea9189f49baa24a652a5d640c30c29bed3a5be814c8bd339f8f06735c
e32-a464f3e992a153cb29da1cc2,1,Adder,0639b3b3f7a5228332fd6ea0cb7de6e464b224d886d779e81c774cab81bfce25,7,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.2038727,1.2038727,4,4,6,10,10,0.0,e9c1920f35b2810e39caf144f6fe4dc01178c49f51d80623189f1bba614f8406
e32-63815766f543b0c5da300f6c,2,Adder,0639b3b3f7a5228332fd6ea0cb7de6e464b224d886d779e81c774cab81bfce25,7,WCL,COMMUTATION_ONLY,16,60.0,success,True,1.2621901,1.2621901,4,4,6,10,10,0.0,1c21da4cdce61f146b06d3857dcb9501aa0733dad620a0005f61e3fb962ecf92
e32-e8d5b296391d394dc65ddc4d,3,Adder,0639b3b3f7a5228332fd6ea0cb7de6e464b224d886d779e81c774cab81bfce25,7,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.1950249,1.1950249,4,4,6,10,10,0.0,7cb9e1b6e8f9e91a50364736e53b187588e003f745699da9b88bcccda63416ba
e32-c4dbf5524198036f53e4dded,4,Adder,0639b3b3f7a5228332fd6ea0cb7de6e464b224d886d779e81c774cab81bfce25,7,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,60.0,success,True,1.172535,1.172535,4,4,6,10,10,0.0,afe61ac826d32134396993a8f03d75ddb602718b35f2cf425125ad9189799709
e32-aa587a00a992087ce322b325,5,Adder,0639b3b3f7a5228332fd6ea0cb7de6e464b224d886d779e81c774cab81bfce25,7,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.1718748,1.1718748,4,4,6,10,10,0.0,3694b1b695618d178737c4e8a5921c822d36531acb055ec692019a9058ae1a9b
e32-9c6baf37f33c0b2934352035,6,CNOT,d3e8b51351e86caa6d8939fe0a903f48a089e7d220d46a14b52d6c94e6e43394,8,LBL,COMMUTATION_ONLY,16,60.0,success,True,1.3884869,1.3884869,4,4,7,56,0,100.0,e73cd4d537d7e8817f87186bbafc2ba22153dedcb5f6efc62268417e4e66bf27
e32-c742d11e8c8320d63c426fc2,7,CNOT,d3e8b51351e86caa6d8939fe0a903f48a089e7d220d46a14b52d6c94e6e43394,8,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.3217705,1.3217705,4,4,7,56,0,100.0,7e699bf44ca5e4d38a5e615d514af6c41db28989c2c31c04f7e63566d22833eb
e32-f22dbc163efdda7431e666c2,8,CNOT,d3e8b51351e86caa6d8939fe0a903f48a089e7d220d46a14b52d6c94e6e43394,8,WCL,COMMUTATION_ONLY,16,60.0,success,True,1.2563313,1.2563313,4,4,7,56,0,100.0,52e5e3dbe59a342d4d11d1a1010bd66eaf3bbf6c654ba5fef3f69ab78a41c2fa
e32-9deca008323669684e24d8ab,9,CNOT,d3e8b51351e86caa6d8939fe0a903f48a089e7d220d46a14b52d6c94e6e43394,8,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.2568937,1.2568937,4,4,7,56,0,100.0,6543649638201bda453ffac25d465cad325ac272b906f72d83cd37a23e7b1e4e
e32-31bf525719146d1178d5d3a5,10,CNOT,d3e8b51351e86caa6d8939fe0a903f48a089e7d220d46a14b52d6c94e6e43394,8,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,60.0,success,True,1.3052059,1.3052059,4,4,7,56,0,100.0,17f49aef6dfc16d18739c9b88fec5aaf59cb5210d2d6a599446c8d1bbf505efd
e32-0fc390fad000630f5e18ce91,11,CNOT,d3e8b51351e86caa6d8939fe0a903f48a089e7d220d46a14b52d6c94e6e43394,8,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.1967269,1.1967269,4,4,7,56,0,100.0,3e149c7e94be8f576fdbef247ffb362712d50d7065a26b12eb5491f50efbe7aa
e32-3ed85309fb070c00fb89abde,12,GHZ,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,LBL,COMMUTATION_ONLY,16,60.0,success,True,1.1094054,1.1094054,4,4,6,8,8,0.0,e27db4bf7e2e80c73d060b8b3842d5327263669d42e4832e55ff6285f8188009
e32-f44bf55813b684a08c864021,13,GHZ,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.1729104,1.1729104,4,4,6,8,8,0.0,594a323d459148081ac8dcd2bd19c21a1f7fd9c46a37cc018eecd754ee9c0774
e32-5812e998cb8fd8e4b7d01f0e,14,GHZ,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,WCL,COMMUTATION_ONLY,16,60.0,success,True,1.1024664,1.1024664,4,4,6,8,8,0.0,a255ac7112b75d4d641df8bed002f405d26d3dbecf27f64e9eb3ef82f549ca60
e32-829050fa06aa3aedc215a719,15,GHZ,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.1680051,1.1680051,4,4,6,8,8,0.0,2c58ae624bc3dc34b11abbee5f673f66bb01e9aba756c52294ca6b1c3aeab432
e32-06b07ca4666cbfcb780f3c4b,16,GHZ,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,60.0,success,True,1.102925,1.102925,4,4,6,8,8,0.0,7797b7ff9e74fc8647941dca1c3818d3e3bd67b72c6ff9bd04d05c938223eb02
e32-693f4e1d4a68334b1437ac99,17,GHZ,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.0867515,1.0867515,4,4,6,8,8,0.0,f957e82d730d3935efff369ea67777685ad7c1c84571814819125073b05ed847
e32-805cf7aa1b4d5294d895c2b2,18,Grover,0a54b71bfd47499f18a2421cd6bf97c15dc3f348b2d97f00df878dc6173f5324,8,LBL,COMMUTATION_ONLY,16,60.0,success,True,5.3991505,5.3991505,4,4,7,1130,1114,1.415929203539823,92e1c51704851dafd8c44712d35854206628451de8ef640222d2de9c73ca0b0b
e32-f67a12cec7bbe23193cf0f0d,19,Grover,0a54b71bfd47499f18a2421cd6bf97c15dc3f348b2d97f00df878dc6173f5324,8,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,5.5891125,5.5891125,4,4,7,1130,1114,1.415929203539823,e7f3bd0d2f74f52f70a4170c4d8eba05eb8befb687ba7482d7ccf80a2a7d96cb
e32-123b409cbb489770de8dbb52,20,Grover,0a54b71bfd47499f18a2421cd6bf97c15dc3f348b2d97f00df878dc6173f5324,8,WCL,COMMUTATION_ONLY,16,60.0,success,True,5.2666095,5.2666095,4,4,7,1130,1114,1.415929203539823,38dfdc6303d0a05c42d8b32af74311eec7f529e82a4c6d7e25d768b281f9ad49
e32-fcfbb5269f6588c054f9ce90,21,Grover,0a54b71bfd47499f18a2421cd6bf97c15dc3f348b2d97f00df878dc6173f5324,8,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,5.1852932,5.1852932,4,4,7,1130,1114,1.415929203539823,5b52b60b4aafd707bfd2bb453ec109a52f0ece53572dd746f5a44b0e7858169e
