run_id,run_order,benchmark_id,benchmark_class,n_qubits,listing_model,status,proof_decision,mutant_proof_decision,input_gate_count,optimized_gate_count,reduction_pct_itt,wall_seconds,qasm_file_sha256
e33-d2b4f8503df7adb0277a0369,0,mod_red_21,modular_arithmetic,11,LBL,success,True,,338,304,10.059171597633132,3.744936700008111,ce78ec83d0f23f63aced95247fa2d961b7ae094c419140fbf84f4879863d5887
e33-af0dca8bfd6ccc4ded13b8ce,1,mod_red_21,modular_arithmetic,11,WCL,success,True,,338,303,10.355029585798814,4.21753809999791,ce78ec83d0f23f63aced95247fa2d961b7ae094c419140fbf84f4879863d5887
e33-6b655578283a4ecfe07d677b,2,gf2^4_mult,finite_field_arithmetic,12,LBL,success,True,,253,236,6.719367588932801,2.6592090999765787,b641474944eb09f1df711859d5d9f988e3619084c84bdb8d23a38a19b86ab993
e33-38e39c9ea822135be66913c0,3,gf2^4_mult,finite_field_arithmetic,12,WCL,success,True,,253,236,6.719367588932801,2.461617599998135,b641474944eb09f1df711859d5d9f988e3619084c84bdb8d23a38a19b86ab993
e33-a7fce4ac8c04f4787e93abab,4,qaoa_n14_p4,qaoa,14,LBL,success,True,,1022,571,44.12915851272016,5.007893000001786,8f573315ffa672edb33a13bf28e87137e89b2c26564a0c7288a38fc89f697d5b
e33-dcdfbf48f3e8ca4cc40c7667,5,qaoa_n14_p4,qaoa,14,WCL,success,True,,1022,574,43.83561643835616,5.807108800014248,8f573315ffa672edb33a13bf28e87137e89b2c26564a0c7288a38fc89f697d5b
e33-333b415f360e83ae3a0d25af,6,csla_mux_3,adder_mux,15,LBL,success,True,,210,193,8.0952380952381,2.0216093999915756,f495b948354824175d1b9429a9824fa7d20fa52008409df6141b9238bb4147ea
e33-43d9bef607706badaadfcbf9,7,csla_mux_3,adder_mux,15,WCL,success,True,,210,193,8.0952380952381,1.8941952000022866,f495b948354824175d1b9429a9824fa7d20fa52008409df6141b9238bb4147ea
e33-ea4beb090c22f9714aa7105d,8,qft_16,qft,16,LBL,error,,,576,,,1.5794247000012547,4173415b20f4b4fd18af7037bce395a2b03307a4e54a6b837b9a120d6e31ee67
e33-307b3b419e7b252ec74aeb75,9,qft_16,qft,16,WCL,error,,,576,,,1.4535747000190895,4173415b20f4b4fd18af7037bce395a2b03307a4e54a6b837b9a120d6e31ee67
e33-c4a22c401cc98ec73bdfbf6c,10,barenco_tof_10,reversible_toffoli,19,LBL,success,True,,518,479,7.528957528957525,6.9309121999831405,3cde65017f9fea2607245097f2df927a1d2edcaa874ae87d120d2d6397f8d88a
e33-c5ab13bac6909690a5b8ffd4,11,barenco_tof_10,reversible_toffoli,19,WCL,success,True,,518,479,7.528957528957525,7.348461199988378,3cde65017f9fea2607245097f2df927a1d2edcaa874ae87d120d2d6397f8d88a
e33-dadd3506e422bade741f5304,12,qaoa_n20_p4,qaoa,20,LBL,success,True,,1460,818,43.97260273972603,8.413562700006878,7ebbd01cc2d04d862cff812c537b46f74d2f4759a9ccaffaafb8c99ea92cb956
e33-e1e4a903abc3a9a225c13aca,13,qaoa_n20_p4,qaoa,20,WCL,success,True,,1460,820,43.83561643835616,8.230427100002998,7ebbd01cc2d04d862cff812c537b46f74d2f4759a9ccaffaafb8c99ea92cb956
e33-dc0864dab290c89148ae4f73,14,gf2^7_mult,finite_field_arithmetic,21,LBL,success,True,,721,688,4.576976421636614,11.61309070000425,32e2dd07a831be370ca6810cf9b63c4eebc4b8415ca8d1667eef3a5ca103ca14
e33-27954d1327c995ab4303c8ce,15,gf2^7_mult,finite_field_arithmetic,21,WCL,success,True,,721,683,5.270457697642161,10.18079289997695,32e2dd07a831be370ca6810cf9b63c4eebc4b8415ca8d1667eef3a5ca103ca14
e33-d724f3c4b5c11bc2797bc786,16,adder_8,adder,24,LBL,success,True,,999,883,11.611611611611616,13.145452500000829,afec57b2387853c83bd26782efb1999473def7e01f69a086b242d669d3821db9
e33-690966d3ebfdfc67f10d1583,17,adder_8,adder,24,WCL,success,True,,999,881,11.811811811811811,14.371375700022327,afec57b2387853c83bd26782efb1999473def7e01f69a086b242d669d3821db9
e33-84ac297a2af8413d7b52edbf,18,csum_mux_9,adder_mux,30,LBL,success,True,,476,460,3.361344537815125,2.863855200004764,9aca0ecb6dd4cfa95bceced05537c11c5beb4ca6c80bf11cd3e38b0390427637
e33-0af1e077f34abbdfb6d7a9b6,19,csum_mux_9,adder_mux,30,WCL,success,True,,476,462,2.941176470588236,3.1401337000133935,9aca0ecb6dd4cfa95bceced05537c11c5beb4ca6c80bf11cd3e38b0390427637
e33-1ee119eb97c513b9b6538a49,20,qcla_adder_10,adder,36,LBL,success,True,,563,554,1.5985790408525768,6.3084265000070445,705d5aa577c199c1aa302472147ae5fa7adf45e3fe58fac824ab4606a09ae176
e33-a9afcb9cadbc20beb770b94b,21,qcla_adder_10,adder,36,WCL,success,True,,563,543,3.5523978685612745,5.778026299987687,705d5aa577c199c1aa302472147ae5fa7adf45e3fe58fac824ab4606a09ae176
