config_id,beam_width,candidate_cap,status,certificate_status,certificate_ub,certificate_lb,certificate_candidate_count,certificate_discarded_candidate_count,certificate_fallback_reason,certificate_seconds,greedy_seconds,cgl_total_seconds,input_gate_count,output_gate_count,reduction,equivalence_evidence,input_circuit_sha256,circuit_id,circuit_family,n_qubits,wcl_output_gate_count,wcl_reduction,wcl_total_seconds,effect_pp,opportunity_positive
b1_c64,1,64,success,exact,2,2,5,0,,0.0008887000003596768,0.000201000000743079,0.0010897000011027558,12,10,0.16666666666666663,not_run_in_development_grid,8fe6a04fb57130ecbb92ca64358dee1b21d52ec1cfd3a2ce2f134a6345166151,bv_3,Oracle,4,10,0.16666666666666663,0.0005748999992647441,0.0,1
b8_c64,8,64,success,exact,2,2,5,0,,0.0019773999993049074,0.00031510000007983763,0.002292499999384745,12,10,0.16666666666666663,not_run_in_development_grid,8fe6a04fb57130ecbb92ca64358dee1b21d52ec1cfd3a2ce2f134a6345166151,bv_3,Oracle,4,10,0.16666666666666663,0.0005748999992647441,0.0,1
b32_c64,32,64,success,exact,2,2,5,0,,0.0012057999992975965,0.0001733999997668434,0.00137919999906444,12,10,0.16666666666666663,not_run_in_development_grid,8fe6a04fb57130ecbb92ca64358dee1b21d52ec1cfd3a2ce2f134a6345166151,bv_3,Oracle,4,10,0.16666666666666663,0.0005748999992647441,0.0,1
b1_c256,1,256,success,exact,2,2,5,0,,0.0007499999992433004,0.00016139999934239313,0.0009113999985856935,12,10,0.16666666666666663,not_run_in_development_grid,8fe6a04fb57130ecbb92ca64358dee1b21d52ec1cfd3a2ce2f134a6345166151,bv_3,Oracle,4,10,0.16666666666666663,0.0005748999992647441,0.0,1
b8_c256,8,256,success,exact,2,2,5,0,,0.0006787000002077548,0.00015449999955308158,0.0008331999997608364,12,10,0.16666666666666663,not_run_in_development_grid,8fe6a04fb57130ecbb92ca64358dee1b21d52ec1cfd3a2ce2f134a6345166151,bv_3,Oracle,4,10,0.16666666666666663,0.0005748999992647441,0.0,1
b32_c256,32,256,success,exact,2,2,5,0,,0.0006458999996539205,0.00015829999938432593,0.0008041999990382465,12,10,0.16666666666666663,not_run_in_development_grid,8fe6a04fb57130ecbb92ca64358dee1b21d52ec1cfd3a2ce2f134a6345166151,bv_3,Oracle,4,10,0.16666666666666663,0.0005748999992647441,0.0,1
b1_c64,1,64,success,exact,7,7,12,0,,0.0015280000006896444,0.0005808999994769692,0.0021089000001666136,22,15,0.31818181818181823,not_run_in_development_grid,1bfe5860998e2d3ca1f048c0a396d2f3f0d4c199e4369ef422a20e44335b026d,iqp_4,IQP,4,20,0.09090909090909094,0.0009583999999449588,22.72727272727273,1
b8_c64,8,64,success,exact,7,7,12,0,,0.0009497000010014744,0.0007796999998390675,0.001729400000840542,22,15,0.31818181818181823,not_run_in_development_grid,1bfe5860998e2d3ca1f048c0a396d2f3f0d4c199e4369ef422a20e44335b026d,iqp_4,IQP,4,20,0.09090909090909094,0.0009583999999449588,22.72727272727273,1
b32_c64,32,64,success,exact,7,7,12,0,,0.0010099999999511056,0.0005576999992626952,0.0015676999992138008,22,15,0.31818181818181823,not_run_in_development_grid,1bfe5860998e2d3ca1f048c0a396d2f3f0d4c199e4369ef422a20e44335b026d,iqp_4,IQP,4,20,0.09090909090909094,0.0009583999999449588,22.72727272727273,1
b1_c256,1,256,success,exact,7,7,12,0,,0.0009396000004926464,0.0005590999990090495,0.0014986999995016959,22,15,0.31818181818181823,not_run_in_development_grid,1bfe5860998e2d3ca1f048c0a396d2f3f0d4c199e4369ef422a20e44335b026d,iqp_4,IQP,4,20,0.09090909090909094,0.0009583999999449588,22.72727272727273,1
b8_c256,8,256,success,exact,7,7,12,0,,0.0008409000001847744,0.0009499999996478437,0.001790899999832618,22,15,0.31818181818181823,not_run_in_development_grid,1bfe5860998e2d3ca1f048c0a396d2f3f0d4c199e4369ef422a20e44335b026d,iqp_4,IQP,4,20,0.09090909090909094,0.0009583999999449588,22.72727272727273,1
b32_c256,32,256,success,exact,7,7,12,0,,0.0014685999994981103,0.0005626000001939246,0.002031199999692035,22,15,0.31818181818181823,not_run_in_development_grid,1bfe5860998e2d3ca1f048c0a396d2f3f0d4c199e4369ef422a20e44335b026d,iqp_4,IQP,4,20,0.09090909090909094,0.0009583999999449588,22.72727272727273,1
b1_c64,1,64,success,exact,9,9,14,0,,0.0017506000003777444,0.0008398000009037787,0.002590400001281523,29,20,0.31034482758620685,not_run_in_development_grid,1af7528f5f0b083d8fb217d2aaa8db5ea8fabaefadf375ad667c53198edfbaae,iqp_6,IQP,6,24,0.1724137931034483,0.0012406000005285023,13.793103448275856,1
b8_c64,8,64,success,exact,9,9,14,0,,0.001237599999512895,0.0011259000002610264,0.0023634999997739214,29,20,0.31034482758620685,not_run_in_development_grid,1af7528f5f0b083d8fb217d2aaa8db5ea8fabaefadf375ad667c53198edfbaae,iqp_6,IQP,6,24,0.1724137931034483,0.0012406000005285023,13.793103448275856,1
b32_c64,32,64,success,exact,9,9,14,0,,0.0016637000007904135,0.0007077999998728046,0.002371500000663218,29,20,0.31034482758620685,not_run_in_development_grid,1af7528f5f0b083d8fb217d2aaa8db5ea8fabaefadf375ad667c53198edfbaae,iqp_6,IQP,6,24,0.1724137931034483,0.0012406000005285023,13.793103448275856,1
b1_c256,1,256,success,exact,9,9,14,0,,0.012980299999981071,0.0007236000001284992,0.01370390000010957,29,20,0.31034482758620685,not_run_in_development_grid,1af7528f5f0b083d8fb217d2aaa8db5ea8fabaefadf375ad667c53198edfbaae,iqp_6,IQP,6,24,0.1724137931034483,0.0012406000005285023,13.793103448275856,1
