config_id,beam_width,candidate_cap,left_out_family,left_out_input_count,loo_mean_effect_pp,complete_mean_effect_pp,median_cgl_total_seconds
b1_c64,1,64,Adder,370,1.3615256779923315,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,CNOT,388,1.298362115611244,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,GHZ,388,1.298362115611244,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,Grover,364,1.3839684089482491,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,HaarRandom,381,1.2935837531445453,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,HardwareEfficient,361,1.3954695314602843,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,IQP,361,0.11924110584441075,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,Oracle,340,1.4816602966387138,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,QAOA,361,1.3954695314602843,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,QFT,388,1.298362115611244,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,QuantumWalk,331,1.5219471324989808,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,RandomClifford,361,1.306447514006707,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,SurfaceCode,358,1.4071634102155381,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,UCCSD_inspired,361,1.3954695314602843,1.2884002579467075,0.0021402000002126442
b1_c64,1,64,VQE,361,1.3954695314602843,1.2884002579467075,0.0021402000002126442
b8_c64,8,64,Adder,370,1.3615256779923315,1.2884002579467075,0.001977600000827806
b8_c64,8,64,CNOT,388,1.298362115611244,1.2884002579467075,0.001977600000827806
b8_c64,8,64,GHZ,388,1.298362115611244,1.2884002579467075,0.001977600000827806
b8_c64,8,64,Grover,364,1.3839684089482491,1.2884002579467075,0.001977600000827806
b8_c64,8,64,HaarRandom,381,1.2935837531445453,1.2884002579467075,0.001977600000827806
b8_c64,8,64,HardwareEfficient,361,1.3954695314602843,1.2884002579467075,0.001977600000827806
b8_c64,8,64,IQP,361,0.11924110584441075,1.2884002579467075,0.001977600000827806
b8_c64,8,64,Oracle,340,1.4816602966387138,1.2884002579467075,0.001977600000827806
b8_c64,8,64,QAOA,361,1.3954695314602843,1.2884002579467075,0.001977600000827806
b8_c64,8,64,QFT,388,1.298362115611244,1.2884002579467075,0.001977600000827806
b8_c64,8,64,QuantumWalk,331,1.5219471324989808,1.2884002579467075,0.001977600000827806
b8_c64,8,64,RandomClifford,361,1.306447514006707,1.2884002579467075,0.001977600000827806
b8_c64,8,64,SurfaceCode,358,1.4071634102155381,1.2884002579467075,0.001977600000827806
b8_c64,8,64,UCCSD_inspired,361,1.3954695314602843,1.2884002579467075,0.001977600000827806
b8_c64,8,64,VQE,361,1.3954695314602843,1.2884002579467075,0.001977600000827806
b32_c64,32,64,Adder,370,1.3615256779923315,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,CNOT,388,1.298362115611244,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,GHZ,388,1.298362115611244,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,Grover,364,1.3839684089482491,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,HaarRandom,381,1.2935837531445453,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,HardwareEfficient,361,1.3954695314602843,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,IQP,361,0.11924110584441075,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,Oracle,340,1.4816602966387138,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,QAOA,361,1.3954695314602843,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,QFT,388,1.298362115611244,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,QuantumWalk,331,1.5219471324989808,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,RandomClifford,361,1.306447514006707,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,SurfaceCode,358,1.4071634102155381,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,UCCSD_inspired,361,1.3954695314602843,1.2884002579467075,0.0019475000008242205
b32_c64,32,64,VQE,361,1.3954695314602843,1.2884002579467075,0.0019475000008242205
b1_c256,1,256,Adder,370,1.3615256779923315,1.2884002579467075,0.001942599999892991
b1_c256,1,256,CNOT,388,1.298362115611244,1.2884002579467075,0.001942599999892991
b1_c256,1,256,GHZ,388,1.298362115611244,1.2884002579467075,0.001942599999892991
b1_c256,1,256,Grover,364,1.3839684089482491,1.2884002579467075,0.001942599999892991
b1_c256,1,256,HaarRandom,381,1.2935837531445453,1.2884002579467075,0.001942599999892991
b1_c256,1,256,HardwareEfficient,361,1.3954695314602843,1.2884002579467075,0.001942599999892991
b1_c256,1,256,IQP,361,0.11924110584441075,1.2884002579467075,0.001942599999892991
