benchmark,panel_status,classification,opportunity_positive,robust_zero_control
ae,no_eligible_input,unavailable,0,0
bmw_quark_cardinality,no_eligible_input,unavailable,0,0
bmw_quark_copula,no_eligible_input,unavailable,0,0
cdkm_ripple_carry_adder,no_eligible_input,unavailable,0,0
dj,no_eligible_input,unavailable,0,0
draper_qft_adder,no_eligible_input,unavailable,0,0
full_adder,no_eligible_input,unavailable,0,0
graphstate,no_eligible_input,unavailable,0,0
half_adder,no_eligible_input,unavailable,0,0
hhl,no_eligible_input,unavailable,0,0
hrs_cumulative_multiplier,no_eligible_input,unavailable,0,0
iqpe,no_eligible_input,unavailable,0,0
modular_adder,no_eligible_input,unavailable,0,0
multiplier,no_eligible_input,unavailable,0,0
qftentangled,no_eligible_input,unavailable,0,0
qnn,no_eligible_input,unavailable,0,0
qpeexact,no_eligible_input,unavailable,0,0
qpeinexact,no_eligible_input,unavailable,0,0
rg_qft_multiplier,no_eligible_input,unavailable,0,0
seven_qubit_steane_code,no_eligible_input,unavailable,0,0
shor,no_eligible_input,unavailable,0,0
shors_nine_qubit_code,no_eligible_input,unavailable,0,0
vbe_ripple_carry_adder,no_eligible_input,unavailable,0,0
wstate,no_eligible_input,unavailable,0,0
