benchmark,declared_size,status,actual_qubits,gate_count,classical_bits,parameter_count,dynamic_control,gate_alphabet,qasm2_export,eligibility_reason,error
ae,4,generated,4,12,4,0,False,"['barrier', 'c-unitary', 'h', 'measure', 'qft_dg', 'ry']",False,gate_count_outside_20_2000,
ae,5,generated,5,15,5,0,False,"['barrier', 'c-unitary', 'h', 'measure', 'qft_dg', 'ry']",False,gate_count_outside_20_2000,
ae,6,generated,6,18,6,0,False,"['barrier', 'c-unitary', 'h', 'measure', 'qft_dg', 'ry']",False,gate_count_outside_20_2000,
ae,7,generated,7,21,7,0,False,"['barrier', 'c-unitary', 'h', 'measure', 'qft_dg', 'ry']",False,classical_bits_present,
ae,8,generated,8,24,8,0,False,"['barrier', 'c-unitary', 'h', 'measure', 'qft_dg', 'ry']",False,classical_bits_present,
ae,9,generated,9,27,9,0,False,"['barrier', 'c-unitary', 'h', 'measure', 'qft_dg', 'ry']",False,classical_bits_present,
ae,10,generated,10,30,10,0,False,"['barrier', 'c-unitary', 'h', 'measure', 'qft_dg', 'ry']",False,classical_bits_present,
bmw_quark_cardinality,4,generated,4,41,4,37,False,"['barrier', 'measure', 'rx', 'rxx', 'rz']",False,classical_bits_present,
bmw_quark_cardinality,5,generated,5,52,5,47,False,"['barrier', 'measure', 'rx', 'rxx', 'rz']",False,classical_bits_present,
bmw_quark_cardinality,6,generated,6,63,6,57,False,"['barrier', 'measure', 'rx', 'rxx', 'rz']",False,classical_bits_present,
bmw_quark_cardinality,7,generated,7,74,7,67,False,"['barrier', 'measure', 'rx', 'rxx', 'rz']",False,classical_bits_present,
bmw_quark_cardinality,8,generated,8,85,8,77,False,"['barrier', 'measure', 'rx', 'rxx', 'rz']",False,classical_bits_present,
bmw_quark_cardinality,9,generated,9,96,9,87,False,"['barrier', 'measure', 'rx', 'rxx', 'rz']",False,classical_bits_present,
bmw_quark_cardinality,10,generated,10,107,10,97,False,"['barrier', 'measure', 'rx', 'rxx', 'rz']",False,classical_bits_present,
bmw_quark_copula,4,generated,4,36,4,28,False,"['barrier', 'cx', 'h', 'measure', 'rx', 'rxx', 'rz']",False,classical_bits_present,
bmw_quark_copula,5,generation_error,,,,,,,,,ValueError:Number of qubits must be divisible by 2.
bmw_quark_copula,6,generated,6,60,6,48,False,"['barrier', 'cx', 'h', 'measure', 'rx', 'rxx', 'rz']",False,classical_bits_present,
bmw_quark_copula,7,generation_error,,,,,,,,,ValueError:Number of qubits must be divisible by 2.
bmw_quark_copula,8,generated,8,88,8,72,False,"['barrier', 'cx', 'h', 'measure', 'rx', 'rxx', 'rz']",False,classical_bits_present,
bmw_quark_copula,9,generation_error,,,,,,,,,ValueError:Number of qubits must be divisible by 2.
bmw_quark_copula,10,generated,10,120,10,100,False,"['barrier', 'cx', 'h', 'measure', 'rx', 'rxx', 'rz']",False,classical_bits_present,
cdkm_ripple_carry_adder,4,generated,4,7,4,0,False,"['MAJ', 'UMA', 'barrier', 'cx', 'measure']",False,gate_count_outside_20_2000,
cdkm_ripple_carry_adder,5,generation_error,,,,,,,,,ValueError:num_qubits must be an even integer ≥ 4.
