case_id,panel,n_qubits,input_gate_count,certificate_status,certificate_ub,certificate_lb,arm,status,equivalence_status,equivalence_fidelity,reduction,output_gate_count,output_depth,runtime_seconds,error
mod_red_21,E33,11,338,exact,34,34,WCL_Greedy,success,equivalence_unavailable,,0.0,307,196,0.05926760000147624,
mod_red_21,E33,11,338,exact,34,34,CGL_Greedy,success,equivalence_unavailable,,0.0,304,195,0.06201100000180304,
mod_red_21,E33,11,338,exact,34,34,LBL_Phase2b,success,equivalence_unavailable,,0.0,304,194,0.14991409999856842,
mod_red_21,E33,11,338,exact,34,34,CGL_Phase2b,success,equivalence_unavailable,,0.0,301,193,0.16190129999813507,
gf2^4_mult,E33,12,253,exact,16,16,WCL_Greedy,success,equivalence_unavailable,,0.0,246,117,0.021200999999564374,
gf2^4_mult,E33,12,253,exact,16,16,CGL_Greedy,success,equivalence_unavailable,,0.0,237,117,0.03362639999977546,
gf2^4_mult,E33,12,253,exact,16,16,LBL_Phase2b,success,equivalence_unavailable,,0.0,236,115,0.07948060000126134,
gf2^4_mult,E33,12,253,exact,16,16,CGL_Phase2b,success,equivalence_unavailable,,0.0,236,116,0.08440239999981713,
qaoa_n14_p4,E33,14,1022,truncated,1226,308,WCL_Greedy,success,equivalence_unavailable,,0.0,574,95,0.03387989999828278,
qaoa_n14_p4,E33,14,1022,truncated,1226,308,CGL_Greedy,success,equivalence_unavailable,,0.0,714,98,0.030741200000193203,
qaoa_n14_p4,E33,14,1022,truncated,1226,308,LBL_Phase2b,success,equivalence_unavailable,,0.0,571,95,0.48925120000058087,
qaoa_n14_p4,E33,14,1022,truncated,1226,308,CGL_Phase2b,success,equivalence_unavailable,,0.0,571,95,0.5141258999974525,
csla_mux_3,E33,15,210,exact,16,16,WCL_Greedy,success,equivalence_unavailable,,0.0,200,80,0.020924500000546686,
csla_mux_3,E33,15,210,exact,16,16,CGL_Greedy,success,equivalence_unavailable,,0.0,194,77,0.02592250000088825,
csla_mux_3,E33,15,210,exact,16,16,LBL_Phase2b,success,equivalence_unavailable,,0.0,193,77,0.06926490000114427,
csla_mux_3,E33,15,210,exact,16,16,CGL_Phase2b,success,equivalence_unavailable,,0.0,193,77,0.07426649999979418,
qft_16,E33,16,576,truncated,3202,482,WCL_Greedy,success,equivalence_unavailable,,0.0,560,109,0.09324940000078641,
qft_16,E33,16,576,truncated,3202,482,CGL_Greedy,success,equivalence_unavailable,,0.0,94,6,0.016327699999237666,
qft_16,E33,16,576,truncated,3202,482,LBL_Phase2b,success,equivalence_unavailable,,0.0,80,5,0.2478914999992412,
qft_16,E33,16,576,truncated,3202,482,CGL_Phase2b,success,equivalence_unavailable,,0.0,80,5,0.21064539999861154,
barenco_tof_10,E33,19,518,exact,49,49,WCL_Greedy,success,equivalence_unavailable,,0.0,485,372,0.14055409999855328,
barenco_tof_10,E33,19,518,exact,49,49,CGL_Greedy,success,equivalence_unavailable,,0.0,469,372,0.18143079999936162,
barenco_tof_10,E33,19,518,exact,49,49,LBL_Phase2b,success,equivalence_unavailable,,0.0,479,372,0.2413553000005777,
barenco_tof_10,E33,19,518,exact,49,49,CGL_Phase2b,success,equivalence_unavailable,,0.0,469,372,0.16222099999868078,
qaoa_n20_p4,E33,20,1460,truncated,1838,258,WCL_Greedy,success,equivalence_unavailable,,0.0,820,104,0.048354499998822575,
qaoa_n20_p4,E33,20,1460,truncated,1838,258,CGL_Greedy,success,equivalence_unavailable,,0.0,1202,122,0.04915199999959441,
qaoa_n20_p4,E33,20,1460,truncated,1838,258,LBL_Phase2b,success,equivalence_unavailable,,0.0,818,104,0.7495493000023998,
qaoa_n20_p4,E33,20,1460,truncated,1838,258,CGL_Phase2b,success,equivalence_unavailable,,0.0,818,104,0.610981300000276,
gf2^7_mult,E33,21,721,exact,35,35,WCL_Greedy,success,equivalence_unavailable,,0.0,708,225,0.1035769000009168,
gf2^7_mult,E33,21,721,exact,35,35,CGL_Greedy,success,equivalence_unavailable,,0.0,686,223,0.1910822999998345,
gf2^7_mult,E33,21,721,exact,35,35,LBL_Phase2b,success,equivalence_unavailable,,0.0,688,223,0.3834979999992356,
gf2^7_mult,E33,21,721,exact,35,35,CGL_Phase2b,success,equivalence_unavailable,,0.0,682,222,0.2865728999968269,
adder_8,E33,24,999,exact,115,115,WCL_Greedy,success,equivalence_unavailable,,0.0,949,249,0.35993150000285823,
adder_8,E33,24,999,exact,115,115,CGL_Greedy,success,equivalence_unavailable,,0.0,944,254,0.30189270000118995,
adder_8,E33,24,999,exact,115,115,LBL_Phase2b,success,equivalence_unavailable,,0.0,883,238,0.44180169999890495,
adder_8,E33,24,999,exact,115,115,CGL_Phase2b,success,equivalence_unavailable,,0.0,872,238,0.35753180000028806,
csum_mux_9,E33,30,476,exact,17,17,WCL_Greedy,success,equivalence_unavailable,,0.0,462,68,0.06150379999962752,
csum_mux_9,E33,30,476,exact,17,17,CGL_Greedy,success,equivalence_unavailable,,0.0,459,68,0.0749141000014788,
csum_mux_9,E33,30,476,exact,17,17,LBL_Phase2b,success,equivalence_unavailable,,0.0,460,68,0.23105280000163475,
csum_mux_9,E33,30,476,exact,17,17,CGL_Phase2b,success,equivalence_unavailable,,0.0,459,68,0.2812844000000041,
qcla_adder_10,E33,36,563,exact,16,16,WCL_Greedy,success,equivalence_unavailable,,0.0,561,84,0.01881639999919571,
qcla_adder_10,E33,36,563,exact,16,16,CGL_Greedy,success,equivalence_unavailable,,0.0,547,82,0.04275650000272435,
qcla_adder_10,E33,36,563,exact,16,16,LBL_Phase2b,success,equivalence_unavailable,,0.0,554,83,0.3193204999988666,
qcla_adder_10,E33,36,563,exact,16,16,CGL_Phase2b,success,equivalence_unavailable,,0.0,545,82,0.33995779999895603,
qft_n320,E35,320,255840,unavailable,0,0,WCL_Greedy,success,equivalence_unavailable,,0.0,255840,2550,10.083252600001288,
qft_n320,E35,320,255840,unavailable,0,0,CGL_Greedy,unavailable,equivalence_unavailable,,0.0,255840,,0.387503400001151,unsupported_dynamic_or_nonunitary_instruction:255521:measure
qft_n320,E35,320,255840,unavailable,0,0,LBL_Phase2b,success,equivalence_unavailable,,0.0,255840,2550,63.29533939999965,
qft_n320,E35,320,255840,unavailable,0,0,CGL_Phase2b,unavailable,equivalence_unavailable,,0.0,255840,,0.4344149999997171,unsupported_dynamic_or_nonunitary_instruction:255521:measure
