experiment,n_qubits,depth,trial,seed,optimizer,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
4,5,15,0,42,greedy,75,1.5470149121860555,0.8840085212491745,75,75,0.0,0.9999999999999944,False,0.0030264854431152344,3.0.0
4,5,15,0,42,rls,75,1.5470149121860555,0.8840085212491745,75,75,0.0,0.9999999999999944,False,8.24005913734436,3.0.0
4,5,15,0,42,sa,75,1.5470149121860555,0.8840085212491745,75,77,-0.026666666666666616,0.9999999999999947,False,2.8892104625701904,3.0.0
4,5,15,0,42,ga,75,1.5470149121860555,0.8840085212491745,75,75,0.0,0.9999999999999944,False,9.043010473251343,3.0.0
4,5,15,1,43,greedy,75,1.0947803352325343,0.6255887629900195,75,75,0.0,0.9999999999999936,False,0.0025115013122558594,3.0.0
4,5,15,1,43,rls,75,1.0947803352325343,0.6255887629900195,75,75,0.0,0.9999999999999938,False,8.549646854400635,3.0.0
4,5,15,1,43,sa,75,1.0947803352325343,0.6255887629900195,75,75,0.0,0.9999999999999936,False,3.36903977394104,3.0.0
4,5,15,1,43,ga,75,1.0947803352325343,0.6255887629900195,75,75,0.0,0.9999999999999938,False,8.94503927230835,3.0.0
4,5,15,2,44,greedy,75,0.8808309746696269,0.5033319855255011,75,75,0.0,0.9999999999999938,False,0.0038900375366210938,3.0.0
4,5,15,2,44,rls,75,0.8808309746696269,0.5033319855255011,75,75,0.0,0.999999999999994,False,11.484366416931152,3.0.0
4,5,15,2,44,sa,75,0.8808309746696269,0.5033319855255011,75,81,-0.08000000000000007,0.9999999999999944,False,3.236670732498169,3.0.0
4,5,15,2,44,ga,75,0.8808309746696269,0.5033319855255011,75,75,0.0,0.999999999999994,False,9.73349905014038,3.0.0
4,5,15,3,45,greedy,75,1.2366509879463274,0.7066577073979013,75,75,0.0,0.9999999999999948,False,0.0037696361541748047,3.0.0
4,5,15,3,45,rls,75,1.2366509879463274,0.7066577073979013,75,75,0.0,0.999999999999995,False,8.848720073699951,3.0.0
4,5,15,3,45,sa,75,1.2366509879463274,0.7066577073979013,75,75,0.0,0.9999999999999948,False,2.981757164001465,3.0.0
4,5,15,3,45,ga,75,1.2366509879463274,0.7066577073979013,75,75,0.0,0.9999999999999948,False,19.71845293045044,3.0.0
4,5,15,4,46,greedy,75,1.674178958638939,0.9566736906508223,75,75,0.0,0.9999999999999948,False,0.0030095577239990234,3.0.0
4,5,15,4,46,rls,75,1.674178958638939,0.9566736906508223,75,75,0.0,0.9999999999999948,False,9.260833501815796,3.0.0
4,5,15,4,46,sa,75,1.674178958638939,0.9566736906508223,75,75,0.0,0.9999999999999948,False,2.946382761001587,3.0.0
4,5,15,4,46,ga,75,1.674178958638939,0.9566736906508223,75,75,0.0,0.9999999999999948,False,9.602308511734009,3.0.0
4,5,15,5,47,greedy,75,1.5137284490894145,0.8649876851939512,75,75,0.0,0.9999999999999952,False,0.0026886463165283203,3.0.0
4,5,15,5,47,rls,75,1.5137284490894145,0.8649876851939512,75,75,0.0,0.9999999999999952,False,7.5378077030181885,3.0.0
4,5,15,5,47,sa,75,1.5137284490894145,0.8649876851939512,75,75,0.0,0.9999999999999952,False,3.236079454421997,3.0.0
4,5,15,5,47,ga,75,1.5137284490894145,0.8649876851939512,75,75,0.0,0.9999999999999952,False,12.00901985168457,3.0.0
4,5,15,6,48,greedy,75,1.638101745759434,0.9360581404339623,75,75,0.0,0.9999999999999961,False,0.0019998550415039062,3.0.0
4,5,15,6,48,rls,75,1.638101745759434,0.9360581404339623,75,75,0.0,0.9999999999999966,False,10.867762804031372,3.0.0
4,5,15,6,48,sa,75,1.638101745759434,0.9360581404339623,75,79,-0.05333333333333323,0.9999999999999966,False,4.323157548904419,3.0.0
4,5,15,6,48,ga,75,1.638101745759434,0.9360581404339623,75,75,0.0,0.9999999999999966,False,9.554558515548706,3.0.0
4,5,15,7,49,greedy,75,0.937657643469487,0.5358043676968497,75,75,0.0,0.9999999999999959,False,0.0029976367950439453,3.0.0
4,5,15,7,49,rls,75,0.937657643469487,0.5358043676968497,75,75,0.0,0.9999999999999961,False,9.479260206222534,3.0.0
4,5,15,7,49,sa,75,0.937657643469487,0.5358043676968497,75,77,-0.026666666666666616,0.9999999999999961,False,4.237817049026489,3.0.0
4,5,15,7,49,ga,75,0.937657643469487,0.5358043676968497,75,75,0.0,0.9999999999999961,False,10.42149019241333,3.0.0
4,5,15,8,50,greedy,75,1.5933364667074073,0.9104779809756612,75,75,0.0,0.9999999999999944,False,0.0029973983764648438,3.0.0
