schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,circuit_type,benchmark_suite,n_qubits,depth,gate_count_total,gate_count_1q,gate_count_2q,gate_count_multiq,gate_counts_json,compiled_depth,compiled_gate_counts_json,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,fidelity,success,runtime_seconds,optimizer,optimizer_version,optimizer_config_json,compiler,compiler_version,compiler_optimization_level,compiler_config_id,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,env_id,notes
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:18.932636+00:00,qft_3,QFT,qft,extended_v5_smoke,3,5,6,3,3,0,"{""cp"":3,""h"":3}",5,"{""cp"":3,""h"":3}",6,6,0.0,0.0,0.9999999999999992,True,0.005573272705078125,none,none,{},qiskit_transpile,2.4.1,0,qiskit_heavy_hex,42,0,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,f88fa5383f7aef6b6e03ff6283299c2b99e82f80c30a5bc6d21ebb59d6bfb64a,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:18.941678+00:00,qft_3,QFT,qft,extended_v5_smoke,3,5,6,3,3,0,"{""cp"":3,""h"":3}",5,"{""cp"":3,""h"":3}",6,6,0.0,0.0,0.9999999999999992,True,0.00800943374633789,none,none,{},qiskit_transpile,2.4.1,1,qiskit_heavy_hex,42,0,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,f88fa5383f7aef6b6e03ff6283299c2b99e82f80c30a5bc6d21ebb59d6bfb64a,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:18.956240+00:00,qft_3,QFT,qft,extended_v5_smoke,3,5,6,3,3,0,"{""cp"":3,""h"":3}",5,"{""cp"":3,""h"":3}",6,6,0.0,0.0,0.9999999999999992,True,0.01153111457824707,none,none,{},qiskit_transpile,2.4.1,2,qiskit_heavy_hex,42,0,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,f88fa5383f7aef6b6e03ff6283299c2b99e82f80c30a5bc6d21ebb59d6bfb64a,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:18.968240+00:00,qft_3,QFT,qft,extended_v5_smoke,3,5,6,3,3,0,"{""cp"":3,""h"":3}",5,"{""cp"":3,""h"":3}",6,6,0.0,0.0,0.9999999999999992,True,0.009911298751831055,none,none,{},qiskit_transpile,2.4.1,3,qiskit_heavy_hex,42,0,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,0ac4b0a0e813ec474432f4044e46798bce4668210034b65414d4d5303e67f710,f88fa5383f7aef6b6e03ff6283299c2b99e82f80c30a5bc6d21ebb59d6bfb64a,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:18.972240+00:00,ghz_3,GHZ,ghz,extended_v5_smoke,3,3,3,1,2,0,"{""cx"":2,""h"":1}",3,"{""cx"":2,""h"":1}",3,3,0.0,0.0,0.9999999999999996,True,0.002996206283569336,none,none,{},qiskit_transpile,2.4.1,0,qiskit_heavy_hex,42,1,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:18.979238+00:00,ghz_3,GHZ,ghz,extended_v5_smoke,3,3,3,1,2,0,"{""cx"":2,""h"":1}",3,"{""cx"":2,""h"":1}",3,3,0.0,0.0,0.9999999999999996,True,0.006001472473144531,none,none,{},qiskit_transpile,2.4.1,1,qiskit_heavy_hex,42,1,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:18.986327+00:00,ghz_3,GHZ,ghz,extended_v5_smoke,3,3,3,1,2,0,"{""cx"":2,""h"":1}",3,"{""cx"":2,""h"":1}",3,3,0.0,0.0,0.9999999999999996,True,0.006090641021728516,none,none,{},qiskit_transpile,2.4.1,2,qiskit_heavy_hex,42,1,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:18.995877+00:00,ghz_3,GHZ,ghz,extended_v5_smoke,3,3,3,1,2,0,"{""cx"":2,""h"":1}",3,"{""cx"":2,""h"":1}",3,3,0.0,0.0,0.9999999999999996,True,0.00799250602722168,none,none,{},qiskit_transpile,2.4.1,3,qiskit_heavy_hex,42,1,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.000975+00:00,cnot_chain_3,CNOT,cnot_chain,extended_v5_smoke,3,16,16,0,16,0,"{""cx"":16}",16,"{""cx"":16}",16,16,0.0,0.0,1.0,True,0.003106355667114258,none,none,{},qiskit_transpile,2.4.1,0,qiskit_heavy_hex,42,2,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e12_smoke_20260622_034413_nocoupling,
1.0.0,E12,e12_smoke_20260622_034413_nocoupling,2026-06-22T03:44:19.006884+00:00,cnot_chain_3,CNOT,cnot_chain,extended_v5_smoke,3,16,16,0,16,0,"{""cx"":16}",0,{},16,0,1.0,100.0,1.0,True,0.004911184310913086,none,none,{},qiskit_transpile,2.4.1,1,qiskit_heavy_hex,42,2,experiments/e12_compiler_baseline/run.py,629188a07b88d23ddd5f7d88d88377dbd06b6fd6e02388925728dd72e47f1b48,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,e12_smoke_20260622_034413_nocoupling,
