experiment,part,circuit_family,circuit_type,n_qubits,depth,trial,seed,optimizer,gate_count,original_size,optimized_size,reduction,fidelity,success,runtime_seconds
10,random,Universal,random,5,20,0,42,greedy_phase1,100,100,100,0.0,0.9999999999999918,False,0.0030088424682617188
10,random,Universal,random,5,20,0,42,commutation_phase2,100,100,92,0.07999999999999996,0.9999999999999931,False,0.02707958221435547
10,random,Universal,random,5,20,0,42,hybrid_phase1_2,100,100,92,0.07999999999999996,0.9999999999999931,False,0.13529539108276367
10,random,Universal,random,5,20,1,43,greedy_phase1,100,100,100,0.0,0.9999999999999901,False,0.0020935535430908203
10,random,Universal,random,5,20,1,43,commutation_phase2,100,100,94,0.06000000000000005,0.9999999999999913,False,0.024231433868408203
10,random,Universal,random,5,20,1,43,hybrid_phase1_2,100,100,94,0.06000000000000005,0.9999999999999913,False,0.1183919906616211
10,random,Universal,random,5,20,2,44,greedy_phase1,100,100,100,0.0,0.9999999999999908,False,0.0020186901092529297
10,random,Universal,random,5,20,2,44,commutation_phase2,100,100,94,0.06000000000000005,0.9999999999999918,False,0.024580955505371094
10,random,Universal,random,5,20,2,44,hybrid_phase1_2,100,100,94,0.06000000000000005,0.9999999999999918,False,0.11781120300292969
10,random,Universal,random,5,20,3,45,greedy_phase1,100,100,100,0.0,0.9999999999999918,False,0.0030014514923095703
10,random,Universal,random,5,20,3,45,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999922,False,0.017759323120117188
10,random,Universal,random,5,20,3,45,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999922,False,0.1161801815032959
10,random,Universal,random,5,20,4,46,greedy_phase1,100,100,100,0.0,0.9999999999999927,False,0.0026547908782958984
10,random,Universal,random,5,20,4,46,commutation_phase2,100,100,100,0.0,0.9999999999999927,False,0.010541200637817383
10,random,Universal,random,5,20,4,46,hybrid_phase1_2,100,100,100,0.0,0.9999999999999927,False,0.11260986328125
10,random,Universal,random,5,20,5,47,greedy_phase1,100,100,100,0.0,0.9999999999999929,False,0.004998445510864258
10,random,Universal,random,5,20,5,47,commutation_phase2,100,100,100,0.0,0.9999999999999929,False,0.009511232376098633
10,random,Universal,random,5,20,5,47,hybrid_phase1_2,100,100,100,0.0,0.9999999999999929,False,0.11423873901367188
10,random,Universal,random,5,20,6,48,greedy_phase1,100,100,100,0.0,0.999999999999994,False,0.0035228729248046875
10,random,Universal,random,5,20,6,48,commutation_phase2,100,100,96,0.040000000000000036,0.9999999999999948,False,0.018114566802978516
10,random,Universal,random,5,20,6,48,hybrid_phase1_2,100,100,96,0.040000000000000036,0.9999999999999948,False,0.11523199081420898
10,random,Universal,random,5,20,7,49,greedy_phase1,100,100,100,0.0,0.9999999999999948,False,0.0039670467376708984
10,random,Universal,random,5,20,7,49,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999952,False,0.014044523239135742
10,random,Universal,random,5,20,7,49,hybrid_phase1_2,100,100,98,0.020000000000000018,0.9999999999999952,False,0.10243558883666992
10,random,Universal,random,5,20,8,50,greedy_phase1,100,100,100,0.0,0.9999999999999913,False,0.0035114288330078125
10,random,Universal,random,5,20,8,50,commutation_phase2,100,100,94,0.06000000000000005,0.9999999999999927,False,0.02308177947998047
10,random,Universal,random,5,20,8,50,hybrid_phase1_2,100,100,94,0.06000000000000005,0.9999999999999927,False,0.10344982147216797
10,random,Universal,random,5,20,9,51,greedy_phase1,100,100,100,0.0,0.9999999999999918,False,0.003012418746948242
10,random,Universal,random,5,20,9,51,commutation_phase2,100,100,98,0.020000000000000018,0.9999999999999918,False,0.009019136428833008
