schema_version,experiment_id,run_id,circuit_id,circuit_family,n_qubits,optimizer,status,timestamp_utc,circuit_type,gate_set,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,t_count_reduction,baseline_t_count,optimized_t_count,fidelity,success,runtime_seconds,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes,mechanism,failed,correction_method,imputed_draw,imputation_source
2.0.0,E18,e18_full_20260610_052140,qft_3,QFT,3,none,"decompose_error: ""Unable to translate the operations in the circuit: ['h', 'cp'] to the backend's (or manually specified) target basis: ['if_else', 'while_loop', 'delay', 's', 'store', 'for_loop', 'x', 'h', 'sdg', 'cx', 'measure', 'snapshot', 'y', 't', 'switch_case', 'z', 'reset', 'barrier', 'tdg']. This likely means the target basis is not universal or there are additional equivalence rules needed in the EquivalenceLibrary being used. For more details on this error see: https://docs.quantum.ibm.com/api/qiskit/qiskit.transpiler.passes.BasisTranslator#translation-errors""",,,,,,,,,,,,,,,,,,,,,,,,decompose_error,True,gate_type_itt_zero,,
2.0.0,E18,e18_full_20260610_052140,ghz_3,GHZ,3,greedy_phase1,ok,2026-06-10T05:21:43.014341+00:00,ghz,clifford_t,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,False,0.0010006427764892,42.0,1.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,ghz_3,GHZ,3,commutation_phase2,ok,2026-06-10T05:21:43.016973+00:00,ghz,clifford_t,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,False,0.0010488033294677,42.0,1.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,ghz_3,GHZ,3,hybrid_phase1_2,ok,2026-06-10T05:21:43.024743+00:00,ghz,clifford_t,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,False,0.0061595439910888,42.0,1.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,c69d250a367e14af30448dc6336a129d4b1d3025bf8f24a8e752571bfc1813ba,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,cnot_chain_3,CNOT,3,greedy_phase1,ok,2026-06-10T05:21:43.031962+00:00,cnot_chain,clifford_t,16.0,0.0,1.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,True,0.0022196769714355,42.0,2.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,cnot_chain_3,CNOT,3,commutation_phase2,ok,2026-06-10T05:21:43.037474+00:00,cnot_chain,clifford_t,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0040006637573242,42.0,2.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,cnot_chain_3,CNOT,3,hybrid_phase1_2,ok,2026-06-10T05:21:43.049641+00:00,cnot_chain,clifford_t,16.0,0.0,1.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,True,0.0101683139801025,42.0,2.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,f3e1cc1549652f162539e9c0634f98494d1781a08f998296495d4a11a19ae4e8,e05a2d3a8b49e581ac31c9c8e6fd401977ac89b309189aacc2b8074ecefad676,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,bv_3,Oracle,4,greedy_phase1,ok,2026-06-10T05:21:43.058642+00:00,bernstein_vazirani,clifford_t,12.0,10.0,0.1666666666666666,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999998,True,0.0039994716644287,45.0,3.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,0206731818e4f86ff942f8d2ef89eaebd104569c0850cb9a923dd3bdd885c8a2,5941010b9ed8c2ea75e132a06f7b720f097313b833dbb8fbbb4ba7913f8aaa46,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,bv_3,Oracle,4,commutation_phase2,ok,2026-06-10T05:21:43.065369+00:00,bernstein_vazirani,clifford_t,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999974,False,0.0044243335723876,45.0,3.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,0206731818e4f86ff942f8d2ef89eaebd104569c0850cb9a923dd3bdd885c8a2,0206731818e4f86ff942f8d2ef89eaebd104569c0850cb9a923dd3bdd885c8a2,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,bv_3,Oracle,4,hybrid_phase1_2,ok,2026-06-10T05:21:43.134490+00:00,bernstein_vazirani,clifford_t,12.0,10.0,0.1666666666666666,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999998,True,0.0681192874908447,45.0,3.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,0206731818e4f86ff942f8d2ef89eaebd104569c0850cb9a923dd3bdd885c8a2,5941010b9ed8c2ea75e132a06f7b720f097313b833dbb8fbbb4ba7913f8aaa46,,valid,False,observed,,
