row_index,draw,family,optimizer,imputed_reduction
214,0,CNOT,greedy_phase1,1.0
215,0,CNOT,commutation_phase2,0.0
216,0,CNOT,hybrid_phase1_2,1.0
217,0,Oracle,greedy_phase1,0.5678391096249144
218,0,Oracle,commutation_phase2,0.0
219,0,Oracle,hybrid_phase1_2,0.28479682834442693
223,0,RandomClifford,greedy_phase1,0.11888476104457614
224,0,RandomClifford,commutation_phase2,0.012645587456471446
225,0,RandomClifford,hybrid_phase1_2,0.4587252978978521
226,0,SurfaceCode,greedy_phase1,0.0
227,0,SurfaceCode,commutation_phase2,0.0
228,0,SurfaceCode,hybrid_phase1_2,0.0
230,0,GHZ,greedy_phase1,0.0
231,0,GHZ,commutation_phase2,0.0
232,0,GHZ,hybrid_phase1_2,0.0
233,0,CNOT,greedy_phase1,1.0
234,0,CNOT,commutation_phase2,0.0
235,0,CNOT,hybrid_phase1_2,1.0
236,0,Oracle,greedy_phase1,0.3973083223851636
237,0,Oracle,commutation_phase2,0.0
238,0,Oracle,hybrid_phase1_2,0.25965843365822233
242,0,RandomClifford,greedy_phase1,0.0694568459609177
243,0,RandomClifford,commutation_phase2,0.04335610262608944
244,0,RandomClifford,hybrid_phase1_2,0.41301494959262797
245,0,SurfaceCode,greedy_phase1,0.0
246,0,SurfaceCode,commutation_phase2,0.0
247,0,SurfaceCode,hybrid_phase1_2,0.0
249,0,GHZ,greedy_phase1,0.0
250,0,GHZ,commutation_phase2,0.0
251,0,GHZ,hybrid_phase1_2,0.0
252,0,CNOT,greedy_phase1,1.0
253,0,CNOT,commutation_phase2,0.0
254,0,CNOT,hybrid_phase1_2,1.0
255,0,Oracle,greedy_phase1,0.3091248289117218
256,0,Oracle,commutation_phase2,0.0
257,0,Oracle,hybrid_phase1_2,0.3395455503953789
261,0,RandomClifford,greedy_phase1,0.21563502624644518
262,0,RandomClifford,commutation_phase2,0.044148449617264406
263,0,RandomClifford,hybrid_phase1_2,0.273900903529647
264,0,SurfaceCode,greedy_phase1,0.0
265,0,SurfaceCode,commutation_phase2,0.0
266,0,SurfaceCode,hybrid_phase1_2,0.0
214,1,CNOT,greedy_phase1,1.0
215,1,CNOT,commutation_phase2,0.0
216,1,CNOT,hybrid_phase1_2,1.0
217,1,Oracle,greedy_phase1,0.4222662246390453
218,1,Oracle,commutation_phase2,0.0
219,1,Oracle,hybrid_phase1_2,0.3825787183274905
223,1,RandomClifford,greedy_phase1,0.3956647347073764
224,1,RandomClifford,commutation_phase2,0.06309795650574114
225,1,RandomClifford,hybrid_phase1_2,0.15791060968992024
226,1,SurfaceCode,greedy_phase1,0.0
227,1,SurfaceCode,commutation_phase2,0.0
228,1,SurfaceCode,hybrid_phase1_2,0.0
230,1,GHZ,greedy_phase1,0.0
231,1,GHZ,commutation_phase2,0.0
232,1,GHZ,hybrid_phase1_2,0.0
233,1,CNOT,greedy_phase1,1.0
234,1,CNOT,commutation_phase2,0.0
235,1,CNOT,hybrid_phase1_2,1.0
236,1,Oracle,greedy_phase1,0.4080331381309978
237,1,Oracle,commutation_phase2,0.0
238,1,Oracle,hybrid_phase1_2,0.3425993196989968
242,1,RandomClifford,greedy_phase1,0.1427282547226514
243,1,RandomClifford,commutation_phase2,0.11495888356295234
244,1,RandomClifford,hybrid_phase1_2,0.2614259188750661
245,1,SurfaceCode,greedy_phase1,0.0
246,1,SurfaceCode,commutation_phase2,0.0
247,1,SurfaceCode,hybrid_phase1_2,0.0
249,1,GHZ,greedy_phase1,0.0
250,1,GHZ,commutation_phase2,0.0
251,1,GHZ,hybrid_phase1_2,0.0
252,1,CNOT,greedy_phase1,1.0
253,1,CNOT,commutation_phase2,0.0
254,1,CNOT,hybrid_phase1_2,1.0
255,1,Oracle,greedy_phase1,0.1926933640871256
256,1,Oracle,commutation_phase2,0.0
257,1,Oracle,hybrid_phase1_2,0.3023728071086557
261,1,RandomClifford,greedy_phase1,0.20745163398679273
262,1,RandomClifford,commutation_phase2,0.029170663346098233
263,1,RandomClifford,hybrid_phase1_2,0.07550226351388688
264,1,SurfaceCode,greedy_phase1,0.0
265,1,SurfaceCode,commutation_phase2,0.0
266,1,SurfaceCode,hybrid_phase1_2,0.0
214,2,CNOT,greedy_phase1,1.0
215,2,CNOT,commutation_phase2,0.0
216,2,CNOT,hybrid_phase1_2,1.0
217,2,Oracle,greedy_phase1,0.2685792487541092
218,2,Oracle,commutation_phase2,0.0
219,2,Oracle,hybrid_phase1_2,0.47414132215950683
223,2,RandomClifford,greedy_phase1,0.185865542964509
224,2,RandomClifford,commutation_phase2,0.016350194681144008
225,2,RandomClifford,hybrid_phase1_2,0.09767017045724923
226,2,SurfaceCode,greedy_phase1,0.0
227,2,SurfaceCode,commutation_phase2,0.0
228,2,SurfaceCode,hybrid_phase1_2,0.0
230,2,GHZ,greedy_phase1,0.0
231,2,GHZ,commutation_phase2,0.0
232,2,GHZ,hybrid_phase1_2,0.0
233,2,CNOT,greedy_phase1,1.0
234,2,CNOT,commutation_phase2,0.0
235,2,CNOT,hybrid_phase1_2,1.0
236,2,Oracle,greedy_phase1,0.38568687054451944
237,2,Oracle,commutation_phase2,0.0
238,2,Oracle,hybrid_phase1_2,0.3394022376510578
242,2,RandomClifford,greedy_phase1,0.33818745911100356
243,2,RandomClifford,commutation_phase2,0.13465894026266678
244,2,RandomClifford,hybrid_phase1_2,0.4884824171955523
245,2,SurfaceCode,greedy_phase1,0.0
246,2,SurfaceCode,commutation_phase2,0.0
247,2,SurfaceCode,hybrid_phase1_2,0.0
249,2,GHZ,greedy_phase1,0.0
250,2,GHZ,commutation_phase2,0.0
251,2,GHZ,hybrid_phase1_2,0.0
252,2,CNOT,greedy_phase1,1.0
253,2,CNOT,commutation_phase2,0.0
254,2,CNOT,hybrid_phase1_2,1.0
255,2,Oracle,greedy_phase1,0.3022059792441983
256,2,Oracle,commutation_phase2,0.0
257,2,Oracle,hybrid_phase1_2,0.26896403646416883
261,2,RandomClifford,greedy_phase1,0.059555325271676146
262,2,RandomClifford,commutation_phase2,0.04374735076660701
263,2,RandomClifford,hybrid_phase1_2,0.16061167108895041
264,2,SurfaceCode,greedy_phase1,0.0
265,2,SurfaceCode,commutation_phase2,0.0
266,2,SurfaceCode,hybrid_phase1_2,0.0
214,3,CNOT,greedy_phase1,1.0
215,3,CNOT,commutation_phase2,0.0
216,3,CNOT,hybrid_phase1_2,1.0
217,3,Oracle,greedy_phase1,0.321068046620466
218,3,Oracle,commutation_phase2,0.0
219,3,Oracle,hybrid_phase1_2,0.39767032680577785
223,3,RandomClifford,greedy_phase1,0.18583483948287777
224,3,RandomClifford,commutation_phase2,0.0659686456982024
225,3,RandomClifford,hybrid_phase1_2,0.23417711215347467
226,3,SurfaceCode,greedy_phase1,0.0
227,3,SurfaceCode,commutation_phase2,0.0
228,3,SurfaceCode,hybrid_phase1_2,0.0
230,3,GHZ,greedy_phase1,0.0
231,3,GHZ,commutation_phase2,0.0
232,3,GHZ,hybrid_phase1_2,0.0
233,3,CNOT,greedy_phase1,1.0
234,3,CNOT,commutation_phase2,0.0
235,3,CNOT,hybrid_phase1_2,1.0
236,3,Oracle,greedy_phase1,0.18211271183142086
237,3,Oracle,commutation_phase2,0.0
238,3,Oracle,hybrid_phase1_2,0.1577305077067835
242,3,RandomClifford,greedy_phase1,0.48663730451717735
243,3,RandomClifford,commutation_phase2,0.038710567958800624
244,3,RandomClifford,hybrid_phase1_2,0.1314640112154958
245,3,SurfaceCode,greedy_phase1,0.0
246,3,SurfaceCode,commutation_phase2,0.0
247,3,SurfaceCode,hybrid_phase1_2,0.0
249,3,GHZ,greedy_phase1,0.0
250,3,GHZ,commutation_phase2,0.0
251,3,GHZ,hybrid_phase1_2,0.0
252,3,CNOT,greedy_phase1,1.0
253,3,CNOT,commutation_phase2,0.0
254,3,CNOT,hybrid_phase1_2,1.0
255,3,Oracle,greedy_phase1,0.307562219104012
256,3,Oracle,commutation_phase2,0.0
257,3,Oracle,hybrid_phase1_2,0.4412967522579897
261,3,RandomClifford,greedy_phase1,0.17571318766586766
262,3,RandomClifford,commutation_phase2,0.05572982440836293
263,3,RandomClifford,hybrid_phase1_2,0.27307543413082463
264,3,SurfaceCode,greedy_phase1,0.0
265,3,SurfaceCode,commutation_phase2,0.0
266,3,SurfaceCode,hybrid_phase1_2,0.0
214,4,CNOT,greedy_phase1,1.0
215,4,CNOT,commutation_phase2,0.0
216,4,CNOT,hybrid_phase1_2,1.0
217,4,Oracle,greedy_phase1,0.28018635240809114
218,4,Oracle,commutation_phase2,0.0
219,4,Oracle,hybrid_phase1_2,0.1977031225922355
223,4,RandomClifford,greedy_phase1,0.02329365875627664
224,4,RandomClifford,commutation_phase2,0.02498812377609008
225,4,RandomClifford,hybrid_phase1_2,0.20498122224458665
226,4,SurfaceCode,greedy_phase1,0.0
227,4,SurfaceCode,commutation_phase2,0.0
228,4,SurfaceCode,hybrid_phase1_2,0.0
230,4,GHZ,greedy_phase1,0.0
231,4,GHZ,commutation_phase2,0.0
232,4,GHZ,hybrid_phase1_2,0.0
233,4,CNOT,greedy_phase1,1.0
234,4,CNOT,commutation_phase2,0.0
235,4,CNOT,hybrid_phase1_2,1.0
236,4,Oracle,greedy_phase1,0.4032683637023369
237,4,Oracle,commutation_phase2,0.0
238,4,Oracle,hybrid_phase1_2,0.3290730759650341
242,4,RandomClifford,greedy_phase1,0.22766857644798316
243,4,RandomClifford,commutation_phase2,0.058990325457299625
244,4,RandomClifford,hybrid_phase1_2,0.1527809152151011
245,4,SurfaceCode,greedy_phase1,0.0
246,4,SurfaceCode,commutation_phase2,0.0
247,4,SurfaceCode,hybrid_phase1_2,0.0
249,4,GHZ,greedy_phase1,0.0
250,4,GHZ,commutation_phase2,0.0
251,4,GHZ,hybrid_phase1_2,0.0
252,4,CNOT,greedy_phase1,1.0
253,4,CNOT,commutation_phase2,0.0
254,4,CNOT,hybrid_phase1_2,1.0
255,4,Oracle,greedy_phase1,0.21666607168673882
256,4,Oracle,commutation_phase2,0.0
257,4,Oracle,hybrid_phase1_2,0.30574925509469997
261,4,RandomClifford,greedy_phase1,0.27970023702898034
262,4,RandomClifford,commutation_phase2,0.011264177428012672
263,4,RandomClifford,hybrid_phase1_2,0.26496597244622067
264,4,SurfaceCode,greedy_phase1,0.0
265,4,SurfaceCode,commutation_phase2,0.0
266,4,SurfaceCode,hybrid_phase1_2,0.0
214,5,CNOT,greedy_phase1,1.0
215,5,CNOT,commutation_phase2,0.0
216,5,CNOT,hybrid_phase1_2,1.0
217,5,Oracle,greedy_phase1,0.2579606703344493
218,5,Oracle,commutation_phase2,0.0
219,5,Oracle,hybrid_phase1_2,0.25488119069697684
223,5,RandomClifford,greedy_phase1,0.10740977273152305
224,5,RandomClifford,commutation_phase2,0.06182736730342119
225,5,RandomClifford,hybrid_phase1_2,0.16370282108092732
226,5,SurfaceCode,greedy_phase1,0.0
227,5,SurfaceCode,commutation_phase2,0.0
228,5,SurfaceCode,hybrid_phase1_2,0.0
230,5,GHZ,greedy_phase1,0.0
231,5,GHZ,commutation_phase2,0.0
232,5,GHZ,hybrid_phase1_2,0.0
233,5,CNOT,greedy_phase1,1.0
234,5,CNOT,commutation_phase2,0.0
235,5,CNOT,hybrid_phase1_2,1.0
236,5,Oracle,greedy_phase1,0.5389551271678604
237,5,Oracle,commutation_phase2,0.0
238,5,Oracle,hybrid_phase1_2,0.3796790936574923
242,5,RandomClifford,greedy_phase1,0.40058524997595596
243,5,RandomClifford,commutation_phase2,0.026953150972587332
244,5,RandomClifford,hybrid_phase1_2,0.28909942822408896
245,5,SurfaceCode,greedy_phase1,0.0
246,5,SurfaceCode,commutation_phase2,0.0
247,5,SurfaceCode,hybrid_phase1_2,0.0
249,5,GHZ,greedy_phase1,0.0
250,5,GHZ,commutation_phase2,0.0
251,5,GHZ,hybrid_phase1_2,0.0
252,5,CNOT,greedy_phase1,1.0
253,5,CNOT,commutation_phase2,0.0
254,5,CNOT,hybrid_phase1_2,1.0
255,5,Oracle,greedy_phase1,0.50354994734599
256,5,Oracle,commutation_phase2,0.0
257,5,Oracle,hybrid_phase1_2,0.24752944476184693
261,5,RandomClifford,greedy_phase1,0.22355944187313492
262,5,RandomClifford,commutation_phase2,0.09663875198258035
263,5,RandomClifford,hybrid_phase1_2,0.2022210739450438
264,5,SurfaceCode,greedy_phase1,0.0
265,5,SurfaceCode,commutation_phase2,0.0
266,5,SurfaceCode,hybrid_phase1_2,0.0
214,6,CNOT,greedy_phase1,1.0
215,6,CNOT,commutation_phase2,0.0
216,6,CNOT,hybrid_phase1_2,1.0
217,6,Oracle,greedy_phase1,0.40300649967795793
218,6,Oracle,commutation_phase2,0.0
219,6,Oracle,hybrid_phase1_2,0.5712295468180384
223,6,RandomClifford,greedy_phase1,0.06609435728768034
224,6,RandomClifford,commutation_phase2,0.06782173755320287
225,6,RandomClifford,hybrid_phase1_2,0.12295126142443961
226,6,SurfaceCode,greedy_phase1,0.0
227,6,SurfaceCode,commutation_phase2,0.0
228,6,SurfaceCode,hybrid_phase1_2,0.0
230,6,GHZ,greedy_phase1,0.0
231,6,GHZ,commutation_phase2,0.0
232,6,GHZ,hybrid_phase1_2,0.0
233,6,CNOT,greedy_phase1,1.0
234,6,CNOT,commutation_phase2,0.0
235,6,CNOT,hybrid_phase1_2,1.0
236,6,Oracle,greedy_phase1,0.2747068769400996
237,6,Oracle,commutation_phase2,0.0
238,6,Oracle,hybrid_phase1_2,0.33183748590775186
242,6,RandomClifford,greedy_phase1,0.19239914139412995
243,6,RandomClifford,commutation_phase2,0.03246648595167451
244,6,RandomClifford,hybrid_phase1_2,0.07941179807068588
245,6,SurfaceCode,greedy_phase1,0.0
246,6,SurfaceCode,commutation_phase2,0.0
247,6,SurfaceCode,hybrid_phase1_2,0.0
249,6,GHZ,greedy_phase1,0.0
250,6,GHZ,commutation_phase2,0.0
251,6,GHZ,hybrid_phase1_2,0.0
252,6,CNOT,greedy_phase1,1.0
253,6,CNOT,commutation_phase2,0.0
254,6,CNOT,hybrid_phase1_2,1.0
255,6,Oracle,greedy_phase1,0.2059295810423635
256,6,Oracle,commutation_phase2,0.0
257,6,Oracle,hybrid_phase1_2,0.30440578609047625
261,6,RandomClifford,greedy_phase1,0.04003418830449598
262,6,RandomClifford,commutation_phase2,0.043100556104853936
263,6,RandomClifford,hybrid_phase1_2,0.45357364026884617
264,6,SurfaceCode,greedy_phase1,0.0
265,6,SurfaceCode,commutation_phase2,0.0
266,6,SurfaceCode,hybrid_phase1_2,0.0
214,7,CNOT,greedy_phase1,1.0
215,7,CNOT,commutation_phase2,0.0
216,7,CNOT,hybrid_phase1_2,1.0
217,7,Oracle,greedy_phase1,0.20109064572557397
218,7,Oracle,commutation_phase2,0.0
219,7,Oracle,hybrid_phase1_2,0.2578241914121832
223,7,RandomClifford,greedy_phase1,0.22175767427427254
224,7,RandomClifford,commutation_phase2,0.02506691477310283
225,7,RandomClifford,hybrid_phase1_2,0.06526019641904919
226,7,SurfaceCode,greedy_phase1,0.0
227,7,SurfaceCode,commutation_phase2,0.0
228,7,SurfaceCode,hybrid_phase1_2,0.0
230,7,GHZ,greedy_phase1,0.0
231,7,GHZ,commutation_phase2,0.0
232,7,GHZ,hybrid_phase1_2,0.0
233,7,CNOT,greedy_phase1,1.0
234,7,CNOT,commutation_phase2,0.0
235,7,CNOT,hybrid_phase1_2,1.0
236,7,Oracle,greedy_phase1,0.3226766311715176
237,7,Oracle,commutation_phase2,0.0
238,7,Oracle,hybrid_phase1_2,0.5071436007178866
242,7,RandomClifford,greedy_phase1,0.2220791542106709
243,7,RandomClifford,commutation_phase2,0.03497204958624896
244,7,RandomClifford,hybrid_phase1_2,0.3080320011518482
245,7,SurfaceCode,greedy_phase1,0.0
246,7,SurfaceCode,commutation_phase2,0.0
247,7,SurfaceCode,hybrid_phase1_2,0.0
249,7,GHZ,greedy_phase1,0.0
250,7,GHZ,commutation_phase2,0.0
251,7,GHZ,hybrid_phase1_2,0.0
252,7,CNOT,greedy_phase1,1.0
253,7,CNOT,commutation_phase2,0.0
254,7,CNOT,hybrid_phase1_2,1.0
255,7,Oracle,greedy_phase1,0.24639798399777185
256,7,Oracle,commutation_phase2,0.0
257,7,Oracle,hybrid_phase1_2,0.544688440812931
261,7,RandomClifford,greedy_phase1,0.2597525967889498
262,7,RandomClifford,commutation_phase2,0.08282448019975179
263,7,RandomClifford,hybrid_phase1_2,0.2723612742181089
264,7,SurfaceCode,greedy_phase1,0.0
265,7,SurfaceCode,commutation_phase2,0.0
266,7,SurfaceCode,hybrid_phase1_2,0.0
214,8,CNOT,greedy_phase1,1.0
215,8,CNOT,commutation_phase2,0.0
216,8,CNOT,hybrid_phase1_2,1.0
217,8,Oracle,greedy_phase1,0.4000850754974013
218,8,Oracle,commutation_phase2,0.0
219,8,Oracle,hybrid_phase1_2,0.19543785960209759
223,8,RandomClifford,greedy_phase1,0.21967266326700863
224,8,RandomClifford,commutation_phase2,0.0398948091264468
225,8,RandomClifford,hybrid_phase1_2,0.07263168345470038
226,8,SurfaceCode,greedy_phase1,0.0
227,8,SurfaceCode,commutation_phase2,0.0
228,8,SurfaceCode,hybrid_phase1_2,0.0
230,8,GHZ,greedy_phase1,0.0
231,8,GHZ,commutation_phase2,0.0
232,8,GHZ,hybrid_phase1_2,0.0
233,8,CNOT,greedy_phase1,1.0
234,8,CNOT,commutation_phase2,0.0
235,8,CNOT,hybrid_phase1_2,1.0
236,8,Oracle,greedy_phase1,0.22788188247458185
237,8,Oracle,commutation_phase2,0.0
238,8,Oracle,hybrid_phase1_2,0.2286690868987494
242,8,RandomClifford,greedy_phase1,0.11105778389138223
243,8,RandomClifford,commutation_phase2,0.09163007119310156
244,8,RandomClifford,hybrid_phase1_2,0.6092140921353467
245,8,SurfaceCode,greedy_phase1,0.0
246,8,SurfaceCode,commutation_phase2,0.0
247,8,SurfaceCode,hybrid_phase1_2,0.0
249,8,GHZ,greedy_phase1,0.0
250,8,GHZ,commutation_phase2,0.0
251,8,GHZ,hybrid_phase1_2,0.0
252,8,CNOT,greedy_phase1,1.0
253,8,CNOT,commutation_phase2,0.0
254,8,CNOT,hybrid_phase1_2,1.0
255,8,Oracle,greedy_phase1,0.34907759622221335
256,8,Oracle,commutation_phase2,0.0
257,8,Oracle,hybrid_phase1_2,0.4395230082299785
261,8,RandomClifford,greedy_phase1,0.2764833631486761
262,8,RandomClifford,commutation_phase2,0.03409087750474872
