circuit_family,n_qubits,original_gate_count,compiler,pass_name,optimized_gate_count,reduction,fidelity,runtime_seconds,original_depth,original_2q,original_cnot
CNOT_chain,3,16,custom,greedy_phase1,0,1.0,1.0,0.0030014514923095703,16,16,16
CNOT_chain,3,16,custom,commutation_phase2,16,0.0,1.0,0.00406193733215332,16,16,16
CNOT_chain,3,16,qiskit,CommutativeCancellation,0,1.0,,0.0009968280792236328,16,16,16
CNOT_chain,3,16,qiskit,Optimize1qGates,16,0.0,,0.003997087478637695,16,16,16
CNOT_chain,4,24,custom,greedy_phase1,0,1.0,1.0,0.0030007362365722656,18,24,24
CNOT_chain,4,24,custom,commutation_phase2,24,0.0,1.0,0.006857872009277344,18,24,24
CNOT_chain,4,24,qiskit,CommutativeCancellation,0,1.0,,0.0,18,24,24
CNOT_chain,4,24,qiskit,Optimize1qGates,24,0.0,,0.0,18,24,24
CNOT_chain,5,32,custom,greedy_phase1,0,1.0,1.0,0.004143953323364258,20,32,32
CNOT_chain,5,32,custom,commutation_phase2,32,0.0,1.0,0.012509584426879883,20,32,32
CNOT_chain,5,32,qiskit,CommutativeCancellation,0,1.0,,0.0010023117065429688,20,32,32
CNOT_chain,5,32,qiskit,Optimize1qGates,32,0.0,,0.0010001659393310547,20,32,32
CNOT_chain,6,40,custom,greedy_phase1,0,1.0,1.0,0.0244598388671875,22,40,40
CNOT_chain,6,40,custom,commutation_phase2,40,0.0,1.0,0.018712520599365234,22,40,40
CNOT_chain,6,40,qiskit,CommutativeCancellation,0,1.0,,0.0,22,40,40
CNOT_chain,6,40,qiskit,Optimize1qGates,40,0.0,,0.0,22,40,40
CNOT_chain,7,48,custom,greedy_phase1,0,1.0,1.0,0.02999258041381836,24,48,48
CNOT_chain,7,48,custom,commutation_phase2,48,0.0,1.0,0.06681680679321289,24,48,48
CNOT_chain,7,48,qiskit,CommutativeCancellation,0,1.0,,0.0,24,48,48
CNOT_chain,7,48,qiskit,Optimize1qGates,48,0.0,,0.0,24,48,48
QFT,3,6,custom,greedy_phase1,6,0.0,0.9999999999999992,0.002007722854614258,5,3,0
QFT,3,6,custom,commutation_phase2,6,0.0,0.9999999999999992,0.0029997825622558594,5,3,0
QFT,3,6,qiskit,CommutativeCancellation,6,0.0,,0.0,5,3,0
QFT,3,6,qiskit,Optimize1qGates,6,0.0,,0.001562356948852539,5,3,0
QFT,4,10,custom,greedy_phase1,10,0.0,0.9999999999999988,0.004151582717895508,7,6,0
QFT,4,10,custom,commutation_phase2,10,0.0,0.9999999999999988,0.007082223892211914,7,6,0
QFT,4,10,qiskit,CommutativeCancellation,10,0.0,,0.001001119613647461,7,6,0
QFT,4,10,qiskit,Optimize1qGates,10,0.0,,0.0,7,6,0
QFT,5,15,custom,greedy_phase1,15,0.0,0.9999999999999987,0.009641408920288086,9,10,0
QFT,5,15,custom,commutation_phase2,15,0.0,0.9999999999999987,0.013569831848144531,9,10,0
QFT,5,15,qiskit,CommutativeCancellation,15,0.0,,0.0010020732879638672,9,10,0
QFT,5,15,qiskit,Optimize1qGates,15,0.0,,0.0009982585906982422,9,10,0
QFT,6,21,custom,greedy_phase1,21,0.0,0.9999999999999996,0.021796464920043945,11,15,0
QFT,6,21,custom,commutation_phase2,21,0.0,0.9999999999999996,0.02347254753112793,11,15,0
QFT,6,21,qiskit,CommutativeCancellation,21,0.0,,0.0,11,15,0
QFT,6,21,qiskit,Optimize1qGates,21,0.0,,0.0,11,15,0
QFT,7,28,custom,greedy_phase1,28,0.0,0.9999999999999969,0.05089068412780762,13,21,0
QFT,7,28,custom,commutation_phase2,28,0.0,0.9999999999999969,0.05045366287231445,13,21,0
QFT,7,28,qiskit,CommutativeCancellation,28,0.0,,0.001337289810180664,13,21,0
QFT,7,28,qiskit,Optimize1qGates,28,0.0,,0.0005199909210205078,13,21,0
Oracle,3,12,custom,greedy_phase1,12,0.0,0.9999999999999974,0.0033299922943115234,6,2,2
Oracle,3,12,custom,commutation_phase2,10,0.16666666666666663,0.9999999999999979,0.007515668869018555,6,2,2
Oracle,3,12,qiskit,CommutativeCancellation,10,0.16666666666666663,,0.0010068416595458984,6,2,2
Oracle,3,12,qiskit,Optimize1qGates,12,0.0,,0.0009999275207519531,6,2,2
Oracle,4,14,custom,greedy_phase1,14,0.0,0.9999999999999968,0.003997087478637695,6,2,2
Oracle,4,14,custom,commutation_phase2,10,0.2857142857142857,0.9999999999999979,0.0066945552825927734,6,2,2
Oracle,4,14,qiskit,CommutativeCancellation,10,0.2857142857142857,,0.00500178337097168,6,2,2
Oracle,4,14,qiskit,Optimize1qGates,14,0.0,,0.0,6,2,2
Oracle,5,16,custom,greedy_phase1,16,0.0,0.9999999999999963,0.012258529663085938,6,2,2
Oracle,5,16,custom,commutation_phase2,10,0.375,0.9999999999999967,0.018173694610595703,6,2,2
Oracle,5,16,qiskit,CommutativeCancellation,10,0.375,,0.0005269050598144531,6,2,2
Oracle,5,16,qiskit,Optimize1qGates,16,0.0,,0.0,6,2,2
Oracle,6,19,custom,greedy_phase1,19,0.0,0.9999999999999962,0.022976398468017578,7,3,3
Oracle,6,19,custom,commutation_phase2,13,0.3157894736842105,0.9999999999999964,0.022698640823364258,7,3,3
Oracle,6,19,qiskit,CommutativeCancellation,13,0.3157894736842105,,0.0,7,3,3
Oracle,6,19,qiskit,Optimize1qGates,19,0.0,,0.00099945068359375,7,3,3
Oracle,7,20,custom,greedy_phase1,20,0.0,0.9999999999999956,0.08559465408325195,6,2,2
Oracle,7,20,custom,commutation_phase2,10,0.5,0.9999999999999967,0.08519482612609863,6,2,2
Oracle,7,20,qiskit,CommutativeCancellation,10,0.5,,0.0010006427764892578,6,2,2
Oracle,7,20,qiskit,Optimize1qGates,20,0.0,,0.0,6,2,2
RandomClifford,3,26,custom,greedy_phase1,26,0.0,0.9999999999999964,0.006817817687988281,12,5,5
