fold_family,n_train,n_test,mae,pearson_r,pearson_p,pearson_status,spearman_r,spearman_p,cls_accuracy,cls_precision,cls_recall,cls_f1,mean_pred,std_pred,mean_actual,std_actual,n_reducible_train,n_reducible_test
Adder,795,40,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
CNOT,780,55,1.0,,,undefined_actual_zero_var_pred_zero_var,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92,55
GHZ,780,55,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
Grover,795,40,0.1459053123959068,0.6256056153066423,1.584465744464569e-05,valid,0.5049728723889598,0.0008900444072361137,0.55,0.5714285714285714,0.8695652173913043,0.6896551724137931,0.19219441165331846,0.11119444754782344,0.05306876027436084,0.058052449722511265,124,23
HaarRandom,820,15,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
HardwareEfficient,780,55,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
IQP,780,55,0.08272981283820255,0.21572320843205658,0.11369819339140295,valid,0.12458123835406668,0.364811348715983,0.6,0.12,1.0,0.21428571428571427,0.08576011586850558,0.09497584960721882,0.0030303030303030273,0.012616157572522005,144,3
Ising,810,25,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
Oracle,780,55,0.1397719005234984,,,undefined_pred_zero_var,,,0.5636363636363636,0.0,0.0,0.0,0.0,0.0,0.1397719005234984,0.1718330159011793,123,24
QAOA,780,55,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
QAOA_mixer,810,25,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
QFT,780,55,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
QML,810,25,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
QPE,810,25,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
QuantumWalk,795,40,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
RandomClifford,780,55,0.12240099087361042,0.2691042288429151,0.04695495845402122,valid,0.3028766682073727,0.024596463008685406,0.6,0.7666666666666667,0.6052631578947368,0.6764705882352942,0.042714028810004585,0.04864863080978741,0.13703938102125787,0.12715906165333546,109,38
Shor,810,25,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
SurfaceCode,780,55,0.0,,,undefined_actual_zero_var_pred_zero_var,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0
UCCSD,795,40,0.0041666666666666605,,,undefined_pred_zero_var,,,0.9,0.0,0.0,0.0,0.0,0.0,0.0041666666666666605,0.01249999999999998,143,4
VQE,795,40,0.04988092381043909,,,undefined_actual_zero_var,,,0.75,0.0,0.0,0.0,0.04988092381043909,0.09499264365444185,0.0,0.0,147,0
