row_idx,family,n_qubits,trial_seed,input_circuit_sha256,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
0,QFT,4,1608637542,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,10,2.3978952727983707,2.5,7,1.75,0.6,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.8,1.25,2,0.4
1,QFT,4,1273642419,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,10,2.3978952727983707,2.5,7,1.75,0.6,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.8,1.25,2,0.4
2,QFT,4,1935803228,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,10,2.3978952727983707,2.5,7,1.75,0.6,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.8,1.25,2,0.4
3,QFT,4,787846414,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,10,2.3978952727983707,2.5,7,1.75,0.6,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.8,1.25,2,0.4
4,QFT,4,996406378,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,10,2.3978952727983707,2.5,7,1.75,0.6,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.8,1.25,2,0.4
5,QFT,4,1201263687,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,10,2.3978952727983707,2.5,7,1.75,0.6,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.8,1.25,2,0.4
6,QFT,4,423734972,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,10,2.3978952727983707,2.5,7,1.75,0.6,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.8,1.25,2,0.4
7,QFT,4,415968276,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,10,2.3978952727983707,2.5,7,1.75,0.6,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.8,1.25,2,0.4
8,QFT,4,670094950,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,10,2.3978952727983707,2.5,7,1.75,0.6,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.8,1.25,2,0.4
9,QFT,4,1914837113,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,10,2.3978952727983707,2.5,7,1.75,0.6,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.8,1.25,2,0.4
10,QFT,6,669991378,e761adf8efeac5c21762208c08429dd4686d16eb4cbc1582e6d4ebc809852f66,21,3.091042453358316,3.5,11,1.8333333333333333,0.7142857142857143,2,0.0,0,0.0,0,0.0,0,0.0,0.0,17,0.8095238095238095,1.2352941176470589,2,0.2857142857142857
11,QFT,6,429389014,e761adf8efeac5c21762208c08429dd4686d16eb4cbc1582e6d4ebc809852f66,21,3.091042453358316,3.5,11,1.8333333333333333,0.7142857142857143,2,0.0,0,0.0,0,0.0,0,0.0,0.0,17,0.8095238095238095,1.2352941176470589,2,0.2857142857142857
12,QFT,6,249467210,e761adf8efeac5c21762208c08429dd4686d16eb4cbc1582e6d4ebc809852f66,21,3.091042453358316,3.5,11,1.8333333333333333,0.7142857142857143,2,0.0,0,0.0,0,0.0,0,0.0,0.0,17,0.8095238095238095,1.2352941176470589,2,0.2857142857142857
13,QFT,6,1972458954,e761adf8efeac5c21762208c08429dd4686d16eb4cbc1582e6d4ebc809852f66,21,3.091042453358316,3.5,11,1.8333333333333333,0.7142857142857143,2,0.0,0,0.0,0,0.0,0,0.0,0.0,17,0.8095238095238095,1.2352941176470589,2,0.2857142857142857
14,QFT,6,1572714583,e761adf8efeac5c21762208c08429dd4686d16eb4cbc1582e6d4ebc809852f66,21,3.091042453358316,3.5,11,1.8333333333333333,0.7142857142857143,2,0.0,0,0.0,0,0.0,0,0.0,0.0,17,0.8095238095238095,1.2352941176470589,2,0.2857142857142857
15,QFT,6,1433267572,e761adf8efeac5c21762208c08429dd4686d16eb4cbc1582e6d4ebc809852f66,21,3.091042453358316,3.5,11,1.8333333333333333,0.7142857142857143,2,0.0,0,0.0,0,0.0,0,0.0,0.0,17,0.8095238095238095,1.2352941176470589,2,0.2857142857142857
16,QFT,6,434285667,e761adf8efeac5c21762208c08429dd4686d16eb4cbc1582e6d4ebc809852f66,21,3.091042453358316,3.5,11,1.8333333333333333,0.7142857142857143,2,0.0,0,0.0,0,0.0,0,0.0,0.0,17,0.8095238095238095,1.2352941176470589,2,0.2857142857142857
17,QFT,6,613608295,e761adf8efeac5c21762208c08429dd4686d16eb4cbc1582e6d4ebc809852f66,21,3.091042453358316,3.5,11,1.8333333333333333,0.7142857142857143,2,0.0,0,0.0,0,0.0,0,0.0,0.0,17,0.8095238095238095,1.2352941176470589,2,0.2857142857142857
18,QFT,6,893664919,e761adf8efeac5c21762208c08429dd4686d16eb4cbc1582e6d4ebc809852f66,21,3.091042453358316,3.5,11,1.8333333333333333,0.7142857142857143,2,0.0,0,0.0,0,0.0,0,0.0,0.0,17,0.8095238095238095,1.2352941176470589,2,0.2857142857142857
19,QFT,6,648061058,e761adf8efeac5c21762208c08429dd4686d16eb4cbc1582e6d4ebc809852f66,21,3.091042453358316,3.5,11,1.8333333333333333,0.7142857142857143,2,0.0,0,0.0,0,0.0,0,0.0,0.0,17,0.8095238095238095,1.2352941176470589,2,0.2857142857142857
20,QFT,8,88409749,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,36,3.6109179126442243,4.5,15,1.875,0.7777777777777778,2,0.0,0,0.0,0,0.0,0,0.0,0.0,30,0.8333333333333334,1.2,2,0.2222222222222222
