held_out_family,n_test,mae,pearson_r,actual_mean,predicted_mean
Adder,40,0.024825258194073014,,0.0,0.024825258194073014
CNOT,40,0.5041322314049588,,1.0,0.4958677685950413
GHZ,40,0.024825258194073014,,0.0,0.024825258194073014
Grover,40,0.02408834308841904,,0.019384806546351163,0.023517682710339376
HaarRandom,10,0.02362982039981588,,0.0,0.02362982039981588
HardwareEfficient,40,0.024825258194073014,,0.0,0.024825258194073014
IQP,40,0.024825258194073014,,0.0,0.024825258194073014
Oracle,40,0.16129585938174437,,0.1584744856107085,0.014106868855179363
QAOA,40,0.024825258194073014,,0.0,0.024825258194073014
QFT,40,0.024825258194073014,,0.0,0.024825258194073014
QPE,15,0.02382100017651343,,0.0,0.02382100017651343
QuantumVolume,45,0.02503635732837635,,0.0,0.02503635732837635
QuantumWalk,40,0.024825258194073014,,0.0,0.024825258194073014
RandomClifford,40,0.1794239224057066,0.306494382444198,0.1935843603262552,0.014160437920548627
RepetitionCode,12,0.15222963641044884,1.0,0.48622497711473517,0.638454613525184
SurfaceCode,40,0.024825258194073014,,0.0,0.024825258194073014
TrotterHamiltonian,45,0.04192863648339757,0.9952213273078367,0.009006172839506155,0.050934809322903736
UCCSD,40,0.024519914340018607,,0.001,0.024757804568440636
VQE,40,0.024825258194073014,,0.0,0.024825258194073014
WState,5,0.0234416848870785,,0.0,0.0234416848870785
