family,n_qubits,param_n,depth,seed,circuit_sha256,gate_reduction,phase1_only_reduction,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
QPE,3,3,10,1,bd2218726a37d0a0a3bae47c11a10e850445af7316f9fc9ebfc2a829313dbe26,0.0,0.0,7,2.0794415416798357,2.3333333333333335,5,1.6666666666666667,0.5714285714285714,4,0.0,0,0.0,0,0.0,0,0.0,0.0,4,0.5714285714285714,1.75,4,0.42857142857142855
QPE,3,3,10,2,c108fd19ad4c934b0c679b89ee57314c517c9f682a282238180d273a79cc8490,0.0,0.0,7,2.0794415416798357,2.3333333333333335,5,1.6666666666666667,0.5714285714285714,4,0.0,0,0.0,0,0.0,0,0.0,0.0,4,0.5714285714285714,1.75,4,0.42857142857142855
QPE,3,3,10,3,674bce8b2f285ba403bc03a9cbbb2c05805a4e57ab13ef9fa16ebee72226fba1,0.0,0.0,7,2.0794415416798357,2.3333333333333335,5,1.6666666666666667,0.5714285714285714,4,0.0,0,0.0,0,0.0,0,0.0,0.0,4,0.5714285714285714,1.75,4,0.42857142857142855
QPE,4,4,10,1,9f7e4499135a35c0fd784473f1e1d2674689722f1cf2bb08a94441a99b3d1b46,0.0,0.0,12,2.5649493574615367,3.0,9,2.25,0.6666666666666666,4,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.6666666666666666,1.5,5,0.3333333333333333
QPE,4,4,10,2,ade595599d8638bdbb0723af03f44e8b79e3f9eff73f0172303d1487621654c0,0.0,0.0,12,2.5649493574615367,3.0,9,2.25,0.6666666666666666,4,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.6666666666666666,1.5,5,0.3333333333333333
QPE,4,4,10,3,48d79c2351c2c32302fbf62c359466b0589a7ac0dfeaf148131ca0ad35c2f3cd,0.0,0.0,12,2.5649493574615367,3.0,9,2.25,0.6666666666666666,4,0.0,0,0.0,0,0.0,0,0.0,0.0,8,0.6666666666666666,1.5,5,0.3333333333333333
QPE,5,5,10,1,f6b2c0e206f1783267386a9805d541d828925134305eb136e9c01a8d90ef546d,0.0,0.0,21,3.091042453358316,4.2,17,3.4,0.7619047619047619,4,0.0,0,0.0,0,0.0,0,0.0,0.0,16,0.7619047619047619,1.3125,6,0.23809523809523808
QPE,5,5,10,2,257b98a775f26d0950b355e1e78cf0fa15f0e744b84f62ee91d50b02825b0dee,0.0,0.0,21,3.091042453358316,4.2,17,3.4,0.7619047619047619,4,0.0,0,0.0,0,0.0,0,0.0,0.0,16,0.7619047619047619,1.3125,6,0.23809523809523808
QPE,5,5,10,3,0f75850b8f156524d6fc78744de5f5e5eb2e8b21105644cb899f63af3313dab9,0.0,0.0,21,3.091042453358316,4.2,17,3.4,0.7619047619047619,4,0.0,0,0.0,0,0.0,0,0.0,0.0,16,0.7619047619047619,1.3125,6,0.23809523809523808
QPE,6,6,10,1,1507c28087e580dd34a6e92747655aea313ce52d033b5b7217154b220e2621cb,0.0,0.0,38,3.6635616461296463,6.333333333333333,33,5.5,0.8421052631578947,4,0.0,0,0.0,0,0.0,0,0.0,0.0,32,0.8421052631578947,1.1875,7,0.15789473684210525
QPE,6,6,10,2,82a9c84bec7231258549312cf4d18d475989d27b4f2ba12717c6e1a95d317a71,0.0,0.0,38,3.6635616461296463,6.333333333333333,33,5.5,0.8421052631578947,4,0.0,0,0.0,0,0.0,0,0.0,0.0,32,0.8421052631578947,1.1875,7,0.15789473684210525
