config,held_out_family,n_test,mean_actual,std_actual,mae,pearson_r,spearman_r
v4_rule_gate_phase1_15fam_repro,Adder,40,0.0,0.0,0.0,,
v4_rule_gate_phase1_15fam_repro,CNOT,40,1.0,0.0,0.0,,
v4_rule_gate_phase1_15fam_repro,GHZ,40,0.0,0.0,0.0,,
v4_rule_gate_phase1_15fam_repro,Grover,40,0.019384806546351163,0.029090427025052545,0.011082120337971724,0.8749544512128905,0.9588747963321529
v4_rule_gate_phase1_15fam_repro,HaarRandom,10,0.0,0.0,0.0,,
v4_rule_gate_phase1_15fam_repro,HardwareEfficient,40,0.0,0.0,0.0,,
v4_rule_gate_phase1_15fam_repro,IQP,40,0.0,0.0,0.04423610549381588,,
v4_rule_gate_phase1_15fam_repro,Oracle,40,0.1584744856107085,0.23009693920599478,0.04427086317807209,0.9451673106691736,0.9999999999999998
v4_rule_gate_phase1_15fam_repro,QAOA,40,0.0,0.0,0.0,,
v4_rule_gate_phase1_15fam_repro,QFT,40,0.0,0.0,0.0,,
v4_rule_gate_phase1_15fam_repro,QuantumWalk,40,0.0,0.0,0.0,,
v4_rule_gate_phase1_15fam_repro,RandomClifford,40,0.1935843603262552,0.07901710413959118,0.14553140283147942,0.808014445650851,0.8448082343916387
v4_rule_gate_phase1_15fam_repro,SurfaceCode,40,0.0,0.0,0.0,,
v4_rule_gate_phase1_15fam_repro,UCCSD,40,0.001,0.006244997998398397,0.000550180152137384,1.0,0.9999999999999999
v4_rule_gate_phase1_15fam_repro,VQE,40,0.0,0.0,0.0,,
v0_baseline_mech_rf_20fam,Adder,40,0.0,0.0,2.0661157024793266e-07,,
v0_baseline_mech_rf_20fam,CNOT,40,1.0,0.0,0.40879454334936227,,
v0_baseline_mech_rf_20fam,GHZ,40,0.0,0.0,6.802721088435305e-08,,
v0_baseline_mech_rf_20fam,Grover,40,0.019384806546351163,0.029090427025052545,0.012892663820866465,0.8135049401388869,0.8430467835416772
v0_baseline_mech_rf_20fam,HaarRandom,10,0.0,0.0,2.136752136752115e-08,,
v0_baseline_mech_rf_20fam,HardwareEfficient,40,0.0,0.0,9.833492862905669e-05,,
v0_baseline_mech_rf_20fam,IQP,40,0.0,0.0,0.0437786065072432,,
v0_baseline_mech_rf_20fam,Oracle,40,0.1584744856107085,0.23009693920599478,0.041967265387131275,0.9127731520827992,0.898973283818966
v0_baseline_mech_rf_20fam,QAOA,40,0.0,0.0,0.0,,
v0_baseline_mech_rf_20fam,QFT,40,0.0,0.0,6.802721088435305e-08,,
v0_baseline_mech_rf_20fam,QPE,15,0.0,0.0,7.0018365472910525e-06,,
v0_baseline_mech_rf_20fam,QuantumVolume,45,0.0,0.0,7.13802908393476e-06,,
v0_baseline_mech_rf_20fam,QuantumWalk,40,0.0,0.0,0.00026722513773888524,,
v0_baseline_mech_rf_20fam,RandomClifford,40,0.1935843603262552,0.07901710413959118,0.12781812868725279,0.8057512190357007,0.8293587586241152
v0_baseline_mech_rf_20fam,RepetitionCode,12,0.48622497711473517,0.008422614618854646,0.3034091509955916,-0.8264904165319726,-0.9373214115613857
v0_baseline_mech_rf_20fam,SurfaceCode,40,0.0,0.0,0.0,,
v0_baseline_mech_rf_20fam,TrotterHamiltonian,45,0.00900617283950617,0.014288698254551447,0.005861044389619324,0.8354129672407407,0.6508812826600677
v0_baseline_mech_rf_20fam,UCCSD,40,0.001,0.006244997998398397,8.249371477875977e-05,0.9999999999999998,0.9999999999999999
v0_baseline_mech_rf_20fam,VQE,40,0.0,0.0,0.0,,
v0_baseline_mech_rf_20fam,WState,5,0.0,0.0,0.0,,
v4_rule_gate_phase1_20fam,Adder,40,0.0,0.0,2.0661157024793266e-07,,
v4_rule_gate_phase1_20fam,CNOT,40,1.0,0.0,0.0,,
