config,held_out_family,n_test,mean_actual,std_actual,mae,pearson_r,spearman_r
v0_baseline_mech_rf,Adder,40,0.0,0.0,0.0,,
v0_baseline_mech_rf,CNOT,40,1.0,0.0,0.7453165896031297,,
v0_baseline_mech_rf,GHZ,40,0.0,0.0,0.0,,
v0_baseline_mech_rf,Grover,40,0.019384806546351163,0.029090427025052545,0.011082120337971724,0.8749544512128905,0.9588747963321529
v0_baseline_mech_rf,HaarRandom,10,0.0,0.0,0.0,,
v0_baseline_mech_rf,HardwareEfficient,40,0.0,0.0,0.0,,
v0_baseline_mech_rf,IQP,40,0.0,0.0,0.04423610549381588,,
v0_baseline_mech_rf,Oracle,40,0.1584744856107085,0.23009693920599478,0.04427086317807209,0.9451673106691736,0.9999999999999998
v0_baseline_mech_rf,QAOA,40,0.0,0.0,0.0,,
v0_baseline_mech_rf,QFT,40,0.0,0.0,0.0,,
v0_baseline_mech_rf,QuantumWalk,40,0.0,0.0,0.0,,
v0_baseline_mech_rf,RandomClifford,40,0.1935843603262552,0.07901710413959118,0.14553140283147942,0.808014445650851,0.8448082343916387
v0_baseline_mech_rf,SurfaceCode,40,0.0,0.0,0.0,,
v0_baseline_mech_rf,UCCSD,40,0.001,0.006244997998398397,0.000550180152137384,1.0,0.9999999999999999
v0_baseline_mech_rf,VQE,40,0.0,0.0,0.0,,
v1_indicator_features,Adder,40,0.0,0.0,0.0,,
v1_indicator_features,CNOT,40,1.0,0.0,0.7125238238445466,,
v1_indicator_features,GHZ,40,0.0,0.0,0.0,,
v1_indicator_features,Grover,40,0.019384806546351163,0.029090427025052545,0.011505966539260615,0.8639386938278169,0.9521872247170043
v1_indicator_features,HaarRandom,10,0.0,0.0,0.0,,
v1_indicator_features,HardwareEfficient,40,0.0,0.0,0.0,,
v1_indicator_features,IQP,40,0.0,0.0,0.04367758789600042,,
v1_indicator_features,Oracle,40,0.1584744856107085,0.23009693920599478,0.04621164571149385,0.9280993175848125,0.9999999999999998
v1_indicator_features,QAOA,40,0.0,0.0,0.0,,
v1_indicator_features,QFT,40,0.0,0.0,0.0,,
v1_indicator_features,QuantumWalk,40,0.0,0.0,0.0,,
v1_indicator_features,RandomClifford,40,0.1935843603262552,0.07901710413959118,0.14537450160863732,0.8081182100757328,0.8452123677468464
