config,held_out_family,n_test,mean_actual,std_actual,mae,pearson_r,spearman_r,r2
generic+two_stage_rf,Adder,40,0.0,0.0,0.0,,,
generic+two_stage_rf,CNOT,40,1.0,0.0,1.0,,,
generic+two_stage_rf,GHZ,40,0.0,0.0,0.0,,,
generic+two_stage_rf,Grover,40,0.019384806546351163,0.029090427025052545,0.18514692763728935,0.17571863511788371,-0.12770460449695087,-40.546800016603726
generic+two_stage_rf,HaarRandom,10,0.0,0.0,0.0,,,
generic+two_stage_rf,HardwareEfficient,40,0.0,0.0,0.0,,,
generic+two_stage_rf,IQP,40,0.0,0.0,0.0,,,
generic+two_stage_rf,Oracle,40,0.1584744856107085,0.23009693920599478,0.1584744856107085,,,-0.4743479393616712
generic+two_stage_rf,QAOA,40,0.0,0.0,0.0,,,
generic+two_stage_rf,QFT,40,0.0,0.0,0.0,,,
generic+two_stage_rf,QuantumWalk,40,0.0,0.0,0.0,,,
generic+two_stage_rf,RandomClifford,40,0.1935843603262552,0.07901710413959118,0.1606546496141162,0.07931945622920553,0.12713035398455866,-5.385797267935549
generic+two_stage_rf,SurfaceCode,40,0.0,0.0,0.0,,,
generic+two_stage_rf,UCCSD,40,0.001,0.006244997998398397,0.001,,,-0.025641025641025772
generic+two_stage_rf,VQE,40,0.0,0.0,0.17884537653697313,,,
generic+single_stage_rf,Adder,40,0.0,0.0,0.021008605411925528,,,
generic+single_stage_rf,CNOT,40,1.0,0.0,0.9975666132259551,,,
generic+single_stage_rf,GHZ,40,0.0,0.0,2.370173126340645e-05,,,
generic+single_stage_rf,Grover,40,0.019384806546351163,0.029090427025052545,0.19061622445549586,-0.06311253740583586,-0.12154700720956556,-43.49110903397969
generic+single_stage_rf,HaarRandom,10,0.0,0.0,0.0007168386981755228,,,
generic+single_stage_rf,HardwareEfficient,40,0.0,0.0,0.00042778049459626444,,,
generic+single_stage_rf,IQP,40,0.0,0.0,0.022538946965574437,,,
generic+single_stage_rf,Oracle,40,0.1584744856107085,0.23009693920599478,0.14901482735013327,0.5466051362814899,0.4288431543312646,0.03508808878773528
generic+single_stage_rf,QAOA,40,0.0,0.0,5e-05,,,
generic+single_stage_rf,QFT,40,0.0,0.0,2.370173126340645e-05,,,
generic+single_stage_rf,QuantumWalk,40,0.0,0.0,0.011989884754882486,,,
generic+single_stage_rf,RandomClifford,40,0.1935843603262552,0.07901710413959118,0.16787508092729464,0.23914759165888164,0.11790926050548349,-4.555128411587369
generic+single_stage_rf,SurfaceCode,40,0.0,0.0,3.014048531289911e-06,,,
generic+single_stage_rf,UCCSD,40,0.001,0.006244997998398397,0.007854364854789303,-0.32092535323619764,-0.27564392969839907,-1.5302301298548269
generic+single_stage_rf,VQE,40,0.0,0.0,0.09017828342356109,,,
mechanism+two_stage_rf,Adder,40,0.0,0.0,0.0,,,
mechanism+two_stage_rf,CNOT,40,1.0,0.0,1.0,,,
mechanism+two_stage_rf,GHZ,40,0.0,0.0,0.0,,,
mechanism+two_stage_rf,Grover,40,0.019384806546351163,0.029090427025052545,0.017296598884689613,0.6796530433334945,0.3054893806099816,0.05487199354305439
mechanism+two_stage_rf,HaarRandom,10,0.0,0.0,0.0,,,
mechanism+two_stage_rf,HardwareEfficient,40,0.0,0.0,0.0,,,
mechanism+two_stage_rf,IQP,40,0.0,0.0,0.04291125139114957,,,
mechanism+two_stage_rf,Oracle,40,0.1584744856107085,0.23009693920599478,0.0657787364745984,0.8826565129461379,0.9999999999999998,0.7262682698024941
mechanism+two_stage_rf,QAOA,40,0.0,0.0,0.0,,,
mechanism+two_stage_rf,QFT,40,0.0,0.0,0.0,,,
mechanism+two_stage_rf,QuantumWalk,40,0.0,0.0,0.0,,,
mechanism+two_stage_rf,RandomClifford,40,0.1935843603262552,0.07901710413959118,0.1935843603262552,,,-6.0020321408302655
mechanism+two_stage_rf,SurfaceCode,40,0.0,0.0,0.0,,,
mechanism+two_stage_rf,UCCSD,40,0.001,0.006244997998398397,0.001,,,-0.025641025641025772
mechanism+two_stage_rf,VQE,40,0.0,0.0,0.0,,,
mechanism+single_stage_rf,Adder,40,0.0,0.0,0.0,,,
mechanism+single_stage_rf,CNOT,40,1.0,0.0,0.7453165896031297,,,
mechanism+single_stage_rf,GHZ,40,0.0,0.0,0.0,,,
mechanism+single_stage_rf,Grover,40,0.019384806546351163,0.029090427025052545,0.011082120337971724,0.8749544512128905,0.9588747963321529,0.5916378773733699
mechanism+single_stage_rf,HaarRandom,10,0.0,0.0,0.0,,,
mechanism+single_stage_rf,HardwareEfficient,40,0.0,0.0,0.0,,,
mechanism+single_stage_rf,IQP,40,0.0,0.0,0.04423610549381588,,,
mechanism+single_stage_rf,Oracle,40,0.1584744856107085,0.23009693920599478,0.04427086317807209,0.9451673106691736,0.9999999999999998,0.7581958731340066
mechanism+single_stage_rf,QAOA,40,0.0,0.0,0.0,,,
mechanism+single_stage_rf,QFT,40,0.0,0.0,0.0,,,
mechanism+single_stage_rf,QuantumWalk,40,0.0,0.0,0.0,,,
mechanism+single_stage_rf,RandomClifford,40,0.1935843603262552,0.07901710413959118,0.14553140283147942,0.808014445650851,0.8448082343916387,-3.612465146084526
mechanism+single_stage_rf,SurfaceCode,40,0.0,0.0,0.0,,,
mechanism+single_stage_rf,UCCSD,40,0.001,0.006244997998398397,0.000550180152137384,1.0,0.9999999999999999,0.6895403078913691
mechanism+single_stage_rf,VQE,40,0.0,0.0,0.0,,,
combined+two_stage_rf,Adder,40,0.0,0.0,0.0,,,
combined+two_stage_rf,CNOT,40,1.0,0.0,1.0,,,
combined+two_stage_rf,GHZ,40,0.0,0.0,0.0,,,
combined+two_stage_rf,Grover,40,0.019384806546351163,0.029090427025052545,0.01950446465462762,0.7349767456089963,0.515725431549182,-0.3478936919252571
combined+two_stage_rf,HaarRandom,10,0.0,0.0,0.0,,,
combined+two_stage_rf,HardwareEfficient,40,0.0,0.0,0.0,,,
combined+two_stage_rf,IQP,40,0.0,0.0,0.04270340646993412,,,
combined+two_stage_rf,Oracle,40,0.1584744856107085,0.23009693920599478,0.1584744856107085,,,-0.4743479393616712
combined+two_stage_rf,QAOA,40,0.0,0.0,0.0,,,
