optimizer,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,experiment,circuit_family,n_qubits,depth,param_n,seed_index,seed,gate_count
greedy_phase1,6,6,0.0,0.9999999999999992,True,0.0,E10_real_variance,QFT,3,5,3,0,42,6
commutation_phase2,6,6,0.0,0.9999999999999992,True,0.0,E10_real_variance,QFT,3,5,3,0,42,6
hybrid_phase1_2,6,6,0.0,0.9999999999999992,True,0.004999876022338867,E10_real_variance,QFT,3,5,3,0,42,6
template_phase2b,6,6,0.0,0.9999999999999992,True,0.0,E10_real_variance,QFT,3,5,3,0,42,6
greedy_phase1,6,6,0.0,0.9999999999999992,True,0.0,E10_real_variance,QFT,3,5,3,1,142,6
commutation_phase2,6,6,0.0,0.9999999999999992,True,0.0,E10_real_variance,QFT,3,5,3,1,142,6
hybrid_phase1_2,6,6,0.0,0.9999999999999992,True,0.006000041961669922,E10_real_variance,QFT,3,5,3,1,142,6
template_phase2b,6,6,0.0,0.9999999999999992,True,0.0009999275207519531,E10_real_variance,QFT,3,5,3,1,142,6
greedy_phase1,6,6,0.0,0.9999999999999992,True,0.001001596450805664,E10_real_variance,QFT,3,5,3,2,242,6
commutation_phase2,6,6,0.0,0.9999999999999992,True,0.0,E10_real_variance,QFT,3,5,3,2,242,6
hybrid_phase1_2,6,6,0.0,0.9999999999999992,True,0.004999876022338867,E10_real_variance,QFT,3,5,3,2,242,6
template_phase2b,6,6,0.0,0.9999999999999992,True,0.0,E10_real_variance,QFT,3,5,3,2,242,6
greedy_phase1,6,6,0.0,0.9999999999999992,True,0.0,E10_real_variance,QFT,3,5,3,3,342,6
commutation_phase2,6,6,0.0,0.9999999999999992,True,0.0009996891021728516,E10_real_variance,QFT,3,5,3,3,342,6
hybrid_phase1_2,6,6,0.0,0.9999999999999992,True,0.0050008296966552734,E10_real_variance,QFT,3,5,3,3,342,6
template_phase2b,6,6,0.0,0.9999999999999992,True,0.0010004043579101562,E10_real_variance,QFT,3,5,3,3,342,6
greedy_phase1,6,6,0.0,0.9999999999999992,True,0.0,E10_real_variance,QFT,3,5,3,4,442,6
commutation_phase2,6,6,0.0,0.9999999999999992,True,0.0,E10_real_variance,QFT,3,5,3,4,442,6
hybrid_phase1_2,6,6,0.0,0.9999999999999992,True,0.003999948501586914,E10_real_variance,QFT,3,5,3,4,442,6
template_phase2b,6,6,0.0,0.9999999999999992,True,0.0009999275207519531,E10_real_variance,QFT,3,5,3,4,442,6
greedy_phase1,10,10,0.0,0.9999999999999988,True,0.0,E10_real_variance,QFT,4,7,4,0,42,10
commutation_phase2,10,10,0.0,0.9999999999999988,True,0.0010006427764892578,E10_real_variance,QFT,4,7,4,0,42,10
hybrid_phase1_2,10,10,0.0,0.9999999999999988,True,0.008013248443603516,E10_real_variance,QFT,4,7,4,0,42,10
template_phase2b,10,10,0.0,0.9999999999999988,True,0.0,E10_real_variance,QFT,4,7,4,0,42,10
greedy_phase1,10,10,0.0,0.9999999999999988,True,0.0,E10_real_variance,QFT,4,7,4,1,142,10
commutation_phase2,10,10,0.0,0.9999999999999988,True,0.0009999275207519531,E10_real_variance,QFT,4,7,4,1,142,10
hybrid_phase1_2,10,10,0.0,0.9999999999999988,True,0.008985757827758789,E10_real_variance,QFT,4,7,4,1,142,10
template_phase2b,10,10,0.0,0.9999999999999988,True,0.0009984970092773438,E10_real_variance,QFT,4,7,4,1,142,10
greedy_phase1,10,10,0.0,0.9999999999999988,True,0.0,E10_real_variance,QFT,4,7,4,2,242,10
commutation_phase2,10,10,0.0,0.9999999999999988,True,0.0009996891021728516,E10_real_variance,QFT,4,7,4,2,242,10
hybrid_phase1_2,10,10,0.0,0.9999999999999988,True,0.010998249053955078,E10_real_variance,QFT,4,7,4,2,242,10
template_phase2b,10,10,0.0,0.9999999999999988,True,0.0009996891021728516,E10_real_variance,QFT,4,7,4,2,242,10
greedy_phase1,10,10,0.0,0.9999999999999988,True,0.0009999275207519531,E10_real_variance,QFT,4,7,4,3,342,10
commutation_phase2,10,10,0.0,0.9999999999999988,True,0.0009992122650146484,E10_real_variance,QFT,4,7,4,3,342,10
hybrid_phase1_2,10,10,0.0,0.9999999999999988,True,0.00800013542175293,E10_real_variance,QFT,4,7,4,3,342,10
template_phase2b,10,10,0.0,0.9999999999999988,True,0.0009999275207519531,E10_real_variance,QFT,4,7,4,3,342,10
greedy_phase1,10,10,0.0,0.9999999999999988,True,0.0,E10_real_variance,QFT,4,7,4,4,442,10
commutation_phase2,10,10,0.0,0.9999999999999988,True,0.0009999275207519531,E10_real_variance,QFT,4,7,4,4,442,10
hybrid_phase1_2,10,10,0.0,0.9999999999999988,True,0.007999897003173828,E10_real_variance,QFT,4,7,4,4,442,10
template_phase2b,10,10,0.0,0.9999999999999988,True,0.0009992122650146484,E10_real_variance,QFT,4,7,4,4,442,10
greedy_phase1,15,15,0.0,0.9999999999999987,True,0.0009996891021728516,E10_real_variance,QFT,5,9,5,0,42,15
commutation_phase2,15,15,0.0,0.9999999999999987,True,0.0019998550415039062,E10_real_variance,QFT,5,9,5,0,42,15
hybrid_phase1_2,15,15,0.0,0.9999999999999987,True,0.01299905776977539,E10_real_variance,QFT,5,9,5,0,42,15
template_phase2b,15,15,0.0,0.9999999999999987,True,0.0009999275207519531,E10_real_variance,QFT,5,9,5,0,42,15
greedy_phase1,15,15,0.0,0.9999999999999987,True,0.0009996891021728516,E10_real_variance,QFT,5,9,5,1,142,15
commutation_phase2,15,15,0.0,0.9999999999999987,True,0.0009999275207519531,E10_real_variance,QFT,5,9,5,1,142,15
hybrid_phase1_2,15,15,0.0,0.9999999999999987,True,0.013084888458251953,E10_real_variance,QFT,5,9,5,1,142,15
template_phase2b,15,15,0.0,0.9999999999999987,True,0.0009806156158447266,E10_real_variance,QFT,5,9,5,1,142,15
greedy_phase1,15,15,0.0,0.9999999999999987,True,0.0010151863098144531,E10_real_variance,QFT,5,9,5,2,242,15
commutation_phase2,15,15,0.0,0.9999999999999987,True,0.0020117759704589844,E10_real_variance,QFT,5,9,5,2,242,15
hybrid_phase1_2,15,15,0.0,0.9999999999999987,True,0.013001203536987305,E10_real_variance,QFT,5,9,5,2,242,15
template_phase2b,15,15,0.0,0.9999999999999987,True,0.0019922256469726562,E10_real_variance,QFT,5,9,5,2,242,15
greedy_phase1,15,15,0.0,0.9999999999999987,True,0.0,E10_real_variance,QFT,5,9,5,3,342,15
