circuit_family,optimizer,n,mean_reduction,std_reduction,ci_lower,ci_upper
QFT,greedy_phase1,25,0.0,0.0,0.0,0.0
QFT,commutation_phase2,25,0.0,0.0,0.0,0.0
QFT,hybrid_phase1_2,25,0.0,0.0,0.0,0.0
QFT,template_phase2b,25,0.0,0.0,0.0,0.0
GHZ,greedy_phase1,25,0.0,0.0,0.0,0.0
GHZ,commutation_phase2,25,0.0,0.0,0.0,0.0
GHZ,hybrid_phase1_2,25,0.0,0.0,0.0,0.0
GHZ,template_phase2b,25,0.0,0.0,0.0,0.0
CNOT_chain,greedy_phase1,25,1.0,0.0,1.0,1.0
CNOT_chain,commutation_phase2,25,0.0,0.0,0.0,0.0
CNOT_chain,hybrid_phase1_2,25,1.0,0.0,1.0,1.0
CNOT_chain,template_phase2b,25,0.0,0.0,0.0,0.0
BV,greedy_phase1,25,0.0,0.0,0.0,0.0
BV,commutation_phase2,25,0.0,0.0,0.0,0.0
BV,hybrid_phase1_2,25,0.0,0.0,0.0,0.0
BV,template_phase2b,25,0.3513561630185671,0.19306972923644491,0.2756728291578807,0.42703949687925347
QAOA,greedy_phase1,25,0.0,0.0,0.0,0.0
QAOA,commutation_phase2,25,0.0,0.0,0.0,0.0
QAOA,hybrid_phase1_2,25,0.0,0.0,0.0,0.0
QAOA,template_phase2b,25,0.0,0.0,0.0,0.0
VQE,greedy_phase1,25,0.0,0.0,0.0,0.0
VQE,commutation_phase2,25,0.0,0.0,0.0,0.0
VQE,hybrid_phase1_2,25,0.0,0.0,0.0,0.0
VQE,template_phase2b,25,0.0,0.0,0.0,0.0
HardwareEfficient,greedy_phase1,25,0.0,0.0,0.0,0.0
HardwareEfficient,commutation_phase2,25,0.0,0.0,0.0,0.0
HardwareEfficient,hybrid_phase1_2,25,0.0,0.0,0.0,0.0
HardwareEfficient,template_phase2b,25,0.0,0.0,0.0,0.0
