schema_version,experiment_id,run_id,timestamp_utc,mode,n_qubits,depth,trial,seed,optimizer,listing_model,wire_traversal,original_size,optimized_size,reduction,fidelity,runtime_seconds,success
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.817207+00:00,full,5,1,0,42000100,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.0026955604553222656,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.819557+00:00,full,5,1,0,42000100,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.0023508071899414062,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.823011+00:00,full,5,1,1,42000101,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0000000000000004,0.002042055130004883,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.825011+00:00,full,5,1,1,42000101,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0000000000000004,0.0019998550415039062,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.827011+00:00,full,5,1,2,42000102,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.001999378204345703,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.829011+00:00,full,5,1,2,42000102,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.002000570297241211,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.832011+00:00,full,5,1,3,42000103,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.0019996166229248047,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.835011+00:00,full,5,1,3,42000103,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999998,0.0029993057250976562,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.840012+00:00,full,5,1,4,42000104,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.0029981136322021484,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.842012+00:00,full,5,1,4,42000104,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.0019996166229248047,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.844011+00:00,full,5,1,5,42000105,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.0019991397857666016,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.847011+00:00,full,5,1,5,42000105,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.0030002593994140625,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.851010+00:00,full,5,1,6,42000106,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.0029976367950439453,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.854012+00:00,full,5,1,6,42000106,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999998,0.003002166748046875,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.859011+00:00,full,5,1,7,42000107,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.002993345260620117,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.865011+00:00,full,5,1,7,42000107,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999998,0.0060002803802490234,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.872012+00:00,full,5,1,8,42000108,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999991,0.006000041961669922,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.889311+00:00,full,5,1,8,42000108,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999991,0.01729869842529297,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.895231+00:00,full,5,1,9,42000109,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.004012107849121094,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.899238+00:00,full,5,1,9,42000109,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999998,0.004006624221801758,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.905237+00:00,full,5,1,10,42000110,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.004999637603759766,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.910398+00:00,full,5,1,10,42000110,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999998,0.005161285400390625,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.913914+00:00,full,5,1,11,42000111,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.002008676528930664,True
1.1.0,WCL-E19,e19_full_20260620_123825,2026-06-20T12:38:25.919915+00:00,full,5,1,11,42000111,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.006000995635986328,True
