schema_version,experiment_id,run_id,timestamp_utc,mode,n_qubits,depth,trial,seed,optimizer,listing_model,wire_traversal,original_size,optimized_size,reduction,fidelity,runtime_seconds,success
1.1.0,WCL-E19,e19_smoke_20260620_123754,2026-06-20T12:37:54.837746+00:00,smoke,3,1,0,42000100,greedy_gate_cancellation,LBL,False,3,3,0.0,1.0,0.0010647773742675781,True
1.1.0,WCL-E19,e19_smoke_20260620_123754,2026-06-20T12:37:54.838278+00:00,smoke,3,1,0,42000100,greedy_gate_cancellation,WCL,True,3,3,0.0,1.0,0.0005323886871337891,True
1.1.0,WCL-E19,e19_smoke_20260620_123754,2026-06-20T12:37:54.839869+00:00,smoke,3,1,1,42000101,greedy_gate_cancellation,LBL,False,3,3,0.0,1.0,0.0005271434783935547,True
1.1.0,WCL-E19,e19_smoke_20260620_123754,2026-06-20T12:37:54.841875+00:00,smoke,3,1,1,42000101,greedy_gate_cancellation,WCL,True,3,3,0.0,1.0,0.002006053924560547,True
1.1.0,WCL-E19,e19_smoke_20260620_123754,2026-06-20T12:37:54.843885+00:00,smoke,3,2,0,42000200,greedy_gate_cancellation,LBL,False,6,6,0.0,0.9999999999999988,0.0010094642639160156,True
1.1.0,WCL-E19,e19_smoke_20260620_123754,2026-06-20T12:37:54.846992+00:00,smoke,3,2,0,42000200,greedy_gate_cancellation,WCL,True,6,4,0.33333333333333337,0.9999999999999992,0.003106832504272461,True
1.1.0,WCL-E19,e19_smoke_20260620_123754,2026-06-20T12:37:54.848985+00:00,smoke,3,2,1,42000201,greedy_gate_cancellation,LBL,False,6,6,0.0,1.0,0.0019927024841308594,True
1.1.0,WCL-E19,e19_smoke_20260620_123754,2026-06-20T12:37:54.850984+00:00,smoke,3,2,1,42000201,greedy_gate_cancellation,WCL,True,6,5,0.16666666666666663,0.9999999999999998,0.001999378204345703,True
1.1.0,WCL-E19,e19_smoke_20260620_123754,2026-06-20T12:37:54.853985+00:00,smoke,3,3,0,42000300,greedy_gate_cancellation,LBL,False,9,9,0.0,0.9999999999999988,0.0020003318786621094,True
1.1.0,WCL-E19,e19_smoke_20260620_123754,2026-06-20T12:37:54.855984+00:00,smoke,3,3,0,42000300,greedy_gate_cancellation,WCL,True,9,9,0.0,0.999999999999999,0.001999378204345703,True
1.1.0,WCL-E19,e19_smoke_20260620_123754,2026-06-20T12:37:54.857985+00:00,smoke,3,3,1,42000301,greedy_gate_cancellation,LBL,False,9,9,0.0,0.9999999999999994,0.001001119613647461,True
1.1.0,WCL-E19,e19_smoke_20260620_123754,2026-06-20T12:37:54.860993+00:00,smoke,3,3,1,42000301,greedy_gate_cancellation,WCL,True,9,9,0.0,0.999999999999999,0.0030083656311035156,True
