schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,n_qubits,original_gate_count,optimized_gate_count,gate_reduction,gate_reduction_pct,original_depth,optimized_depth,depth_reduction,original_2q_gates,optimized_2q_gates,two_qubit_reduction,original_cnot,optimized_cnot,cnot_reduction,original_t_count,optimized_t_count,t_count_reduction,fidelity,compilation_time_seconds,compiler_name,compiler_backend,compiler_version,optimization_level,compiler_status,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes
2.1.0,MC-E20,e20_full_20260708_150741,2026-07-08T15:07:46.753104+00:00,qft_4,QFT,4,10,10.0,0.0,0.0,7,7.0,0.0,6,6.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9999999999999988,0.03322172164916992,qiskit,transpiler,2.4.1,3,ok,42,0,experiments/e20_multi_compiler_full/run.py,ebee5ff951a32c483940d55b6c51af2fd8395c683fd5204c14669df11211025c,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,001408f6c8b62c5aa1e72c56729dcc2520332ae2954b17daf86162a5a4f46ac6,
2.1.0,MC-E20,e20_full_20260708_150741,2026-07-08T15:07:46.909588+00:00,qft_4,QFT,4,10,,,,7,,,6,,,0,,,0,,,,0.15595412254333496,cirq,optimize_for_target_gateset+eject_z+merge_1q,1.6.1,default,"error: ""<input>:17,0: 'sx' is not defined in this scope""",42,0,experiments/e20_multi_compiler_full/run.py,ebee5ff951a32c483940d55b6c51af2fd8395c683fd5204c14669df11211025c,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,none,
2.1.0,MC-E20,e20_full_20260708_150741,2026-07-08T15:07:47.172756+00:00,qft_4,QFT,4,10,31.0,-2.1,-210.0,7,19.0,-1.7142857142857144,6,12.0,-1.0,0,12.0,0.0,0,0.0,0.0,1.0,0.26016712188720703,tket,FullPeepholeOptimise,2.18.0,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,ebee5ff951a32c483940d55b6c51af2fd8395c683fd5204c14669df11211025c,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,1c29c769144f94e13e3a392f195ebc1c6cfc77bad3bffa3aa293760f9e7c4679,
2.1.0,MC-E20,e20_full_20260708_150741,2026-07-08T15:07:47.182761+00:00,ghz_4,GHZ,4,4,4.0,0.0,0.0,4,4.0,0.0,3,3.0,0.0,3,3.0,0.0,0,0.0,0.0,0.9999999999999996,0.007003307342529297,qiskit,transpiler,2.4.1,3,ok,42,0,experiments/e20_multi_compiler_full/run.py,ebee5ff951a32c483940d55b6c51af2fd8395c683fd5204c14669df11211025c,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,
2.1.0,MC-E20,e20_full_20260708_150741,2026-07-08T15:07:47.199757+00:00,ghz_4,GHZ,4,4,5.0,-0.25,-25.0,4,5.0,-0.25,3,3.0,0.0,3,3.0,0.0,0,0.0,0.0,0.9999999999999996,0.015996694564819336,cirq,optimize_for_target_gateset+eject_z+merge_1q,1.6.1,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,ebee5ff951a32c483940d55b6c51af2fd8395c683fd5204c14669df11211025c,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,06491f2cd8fd8193e00cd40c6bc0442b5ca960f1c6e319f098b23e2c3ef0bc78,
2.1.0,MC-E20,e20_full_20260708_150741,2026-07-08T15:07:47.305274+00:00,ghz_4,GHZ,4,4,4.0,0.0,0.0,4,4.0,0.0,3,3.0,0.0,3,3.0,0.0,0,0.0,0.0,1.0,0.10352015495300293,tket,FullPeepholeOptimise,2.18.0,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,ebee5ff951a32c483940d55b6c51af2fd8395c683fd5204c14669df11211025c,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,0ca2e20394ef52eecba8c72454ae73e952a311d06ff639876717b3ceaa156322,
2.1.0,MC-E20,e20_full_20260708_150741,2026-07-08T15:07:47.316271+00:00,cnot_chain_4,CNOT,4,24,0.0,1.0,100.0,18,0.0,1.0,24,0.0,1.0,24,0.0,1.0,0,0.0,0.0,1.0,0.00699615478515625,qiskit,transpiler,2.4.1,3,ok,42,0,experiments/e20_multi_compiler_full/run.py,ebee5ff951a32c483940d55b6c51af2fd8395c683fd5204c14669df11211025c,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,80cb67051feabb1a835727fede3367602f1e692e3ec9d1d7247266c73803bd7d,
2.1.0,MC-E20,e20_full_20260708_150741,2026-07-08T15:07:47.344403+00:00,cnot_chain_4,CNOT,4,24,24.0,0.0,0.0,18,18.0,0.0,24,24.0,0.0,24,24.0,0.0,0,0.0,0.0,1.0,0.023541927337646484,cirq,optimize_for_target_gateset+eject_z+merge_1q,1.6.1,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,ebee5ff951a32c483940d55b6c51af2fd8395c683fd5204c14669df11211025c,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,1c48b34ca8afe4511d74e3b454e70aaafbcd3af62f2f6f4baaa92a9c810a5a2d,
2.1.0,MC-E20,e20_full_20260708_150741,2026-07-08T15:07:47.350403+00:00,cnot_chain_4,CNOT,4,24,0.0,1.0,100.0,18,0.0,1.0,24,0.0,1.0,24,0.0,1.0,0,0.0,0.0,1.0,0.004004001617431641,tket,FullPeepholeOptimise,2.18.0,default,ok,42,0,experiments/e20_multi_compiler_full/run.py,ebee5ff951a32c483940d55b6c51af2fd8395c683fd5204c14669df11211025c,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,80cb67051feabb1a835727fede3367602f1e692e3ec9d1d7247266c73803bd7d,
2.1.0,MC-E20,e20_full_20260708_150741,2026-07-08T15:07:47.363916+00:00,bv_4,Oracle,5,14,8.0,0.4285714285714286,42.85714285714286,6,4.0,0.33333333333333337,2,2.0,0.0,2,2.0,0.0,0,0.0,0.0,0.9999999999999979,0.010514020919799805,qiskit,transpiler,2.4.1,3,ok,42,0,experiments/e20_multi_compiler_full/run.py,ebee5ff951a32c483940d55b6c51af2fd8395c683fd5204c14669df11211025c,f82545ab8dd2e124bb20b12a2943a1f6d29666837c03c9275f4c803dc1929c72,f89645b6f4d2dca8cffede4181211e446c1c7a1b8c4c5c656670a7231e0b2690,
