schema_version,experiment_id,run_id,mode,family,n_qubits,trial_seed,trial_idx,original_size,original_depth,original_cnot,ceiling_proxy_value,input_circuit_sha256,strategy_name,gate_reduction,depth_reduction,cnot_reduction,fidelity,fidelity_source,optimized_size,phase1_time_ms,phase2_time_ms,final_phase1_time_ms,total_time_ms,phase1_skipped,phase2_skipped
1.0.0,E21,e21_full_20260709_085523,full,QFT,4,1608637542,0,10,7,0,0,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,naive,0.0,0.0,0.0,0.9999999999999988,exact_average_gate_fidelity,10,2.7532000094652176,2.9692000098293647,2.859800006262958,8.89689999166876,False,False
1.0.0,E21,e21_full_20260709_085523,full,QFT,4,1608637542,0,10,7,0,0,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,ceiling_aware,0.0,0.0,0.0,0.9999999999999988,exact_average_gate_fidelity,10,0.0,0.0,0.0,0.5176999984541908,True,True
1.0.0,E21,e21_full_20260709_085523,full,QFT,4,1273642419,1,10,7,0,0,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,naive,0.0,0.0,0.0,0.9999999999999988,exact_average_gate_fidelity,10,2.3692000104347244,2.2238000092329457,2.0490000024437904,6.9777000026078895,False,False
1.0.0,E21,e21_full_20260709_085523,full,QFT,4,1273642419,1,10,7,0,0,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,ceiling_aware,0.0,0.0,0.0,0.9999999999999988,exact_average_gate_fidelity,10,0.0,0.0,0.0,0.7571999885840341,True,True
1.0.0,E21,e21_full_20260709_085523,full,QFT,4,1935803228,2,10,7,0,0,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,naive,0.0,0.0,0.0,0.9999999999999988,exact_average_gate_fidelity,10,2.150699991034344,2.310399999259971,2.139899996109307,6.95100000302773,False,False
1.0.0,E21,e21_full_20260709_085523,full,QFT,4,1935803228,2,10,7,0,0,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,ceiling_aware,0.0,0.0,0.0,0.9999999999999988,exact_average_gate_fidelity,10,0.0,0.0,0.0,0.5560999998124316,True,True
1.0.0,E21,e21_full_20260709_085523,full,QFT,4,787846414,3,10,7,0,0,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,naive,0.0,0.0,0.0,0.9999999999999988,exact_average_gate_fidelity,10,2.238600005512126,2.2730000055162236,2.106100000673905,6.95020001148805,False,False
1.0.0,E21,e21_full_20260709_085523,full,QFT,4,787846414,3,10,7,0,0,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,ceiling_aware,0.0,0.0,0.0,0.9999999999999988,exact_average_gate_fidelity,10,0.0,0.0,0.0,0.494699997943826,True,True
1.0.0,E21,e21_full_20260709_085523,full,QFT,4,996406378,4,10,7,0,0,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,naive,0.0,0.0,0.0,0.9999999999999988,exact_average_gate_fidelity,10,2.132200010237284,2.269400007207878,2.372799994191155,7.089299993822351,False,False
1.0.0,E21,e21_full_20260709_085523,full,QFT,4,996406378,4,10,7,0,0,ec754f7e3892ee8ca405ace36ffa2cf3d8489863d2f83852f623de773dd94b1e,ceiling_aware,0.0,0.0,0.0,0.9999999999999988,exact_average_gate_fidelity,10,0.0,0.0,0.0,0.5320000054780394,True,True
