family,strategy_name,n_instances,mean_gate_reduction,std_gate_reduction,mean_depth_reduction,std_depth_reduction,mean_cnot_reduction,mean_total_time_ms,std_total_time_ms,median_total_time_ms,mean_phase1_time_ms,mean_phase2_time_ms,pct_phase1_skipped,pct_phase2_skipped,mean_ceiling_proxy,mean_original_size,mean_optimized_size,speedup
Adder,ceiling_aware,12,0.0,0.0,0.0,0.0,0.0,0.7579583334518247,0.1854840422980316,0.7981999999628897,0.0,0.0,100.0,100.0,0.0,15.0,15.0,861.4247043895634
Adder,naive,12,0.0,0.0,0.0,0.0,0.0,652.9240333333443,1161.6311507626192,15.088649999825066,216.54812500003118,216.68082500002583,0.0,0.0,0.0,15.0,15.0,861.4247043895634
CNOT,ceiling_aware,12,1.0,0.0,1.0,0.0,1.0,300.52971666661205,505.2340870517085,31.483599999774015,299.7960000000148,0.0,0.0,100.0,24.0,48.0,0.0,3.008433331302108
CNOT,naive,12,1.0,0.0,1.0,0.0,1.0,904.1236166666143,1521.8269529834145,92.3490499997115,301.7786499999602,299.0413583333975,0.0,0.0,24.0,48.0,0.0,3.008433331302108
GHZ,ceiling_aware,12,0.0,0.0,0.0,0.0,0.0,0.6287416667116,0.15750521748743254,0.5971500002033281,0.0,0.0,100.0,100.0,0.0,7.0,7.0,466.84520666254366
GHZ,naive,12,0.0,0.0,0.0,0.0,0.0,293.5250333333291,493.04747464503606,30.01359999984743,97.50812500002819,97.72349166670817,0.0,0.0,0.0,7.0,7.0,466.84520666254366
Grover,ceiling_aware,12,0.04769861470229118,0.04881532050655707,0.030303030303030304,0.0806932149635086,0.0,11023.220058333398,24882.817495246938,83.9818499998728,0.7760000000113602,11020.49255000001,91.66666666666666,25.0,0.08333333333333333,47.0,45.166666666666664,4.2128360954649295
Grover,naive,12,0.04769861470229118,0.04881532050655707,0.030303030303030304,0.0806932149635086,0.0,46439.019349999966,80294.63764509987,3110.4322500000308,15328.099558333406,15234.48873333325,0.0,0.0,0.08333333333333333,47.0,45.166666666666664,4.2128360954649295
HaarRandom,ceiling_aware,3,0.0,0.0,0.0,0.0,0.0,7.249999997535876,0.03483288522083622,7.263699997565709,0.0,0.0,100.0,100.0,0.0,275.0,275.0,14.565255177064882
HaarRandom,naive,3,0.0,0.0,0.0,0.0,0.0,105.5980999978298,3.9380906480326243,103.6956999960239,32.436066666074716,41.0640666668769,0.0,0.0,0.0,275.0,275.0,14.565255177064882
