family,strategy_name,n_instances,mean_gate_reduction,std_gate_reduction,mean_depth_reduction,std_depth_reduction,mean_cnot_reduction,mean_total_time_ms,std_total_time_ms,median_total_time_ms,mean_phase1_time_ms,mean_phase2_time_ms,pct_phase1_skipped,pct_phase2_skipped,mean_ceiling_proxy,mean_original_size,mean_optimized_size,speedup
Adder,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,0.9786024995264597,0.49604281678865597,0.9279999940190464,0.0,0.0,100.0,100.0,0.0,15.025,15.025,11.27906377302864
Adder,naive,40,0.0,0.0,0.0,0.0,0.0,11.037720000604168,15.926157494536113,3.0584499982069246,3.157404999001301,4.15702999853238,0.0,0.0,0.0,15.025,15.025,11.27906377302864
CNOT,ceiling_aware,40,1.0,0.0,1.0,0.0,1.0,2.120202500373125,1.6297845333532983,1.4594000022043474,1.608012500219047,0.0,0.0,100.0,24.0,48.0,0.0,2.2315863689906825
CNOT,naive,40,1.0,0.0,1.0,0.0,1.0,4.731414999332628,5.103974540535497,2.468400001816917,1.6114075006044004,1.4062150003155693,0.0,0.0,24.0,48.0,0.0,2.2315863689906825
GHZ,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,0.45926499951747246,0.10463323539875777,0.43400000140536577,0.0,0.0,100.0,100.0,0.0,7.0,7.0,5.308770539902101
GHZ,naive,40,0.0,0.0,0.0,0.0,0.0,2.4381324994465103,2.022549502591968,1.6779999932623468,0.6916524998814566,0.7113925010344246,0.0,0.0,0.0,7.0,7.0,5.308770539902101
Grover,ceiling_aware,40,0.019384806546351177,0.02946102065354532,0.0022727272727272735,0.01437398936440173,0.0,15.470927498972742,37.89136030884694,2.500500006135553,0.0,13.462140000410727,100.0,60.0,0.0,48.3,47.45,5.751422628403083
Grover,naive,40,0.019384806546351177,0.02946102065354532,0.0022727272727272735,0.01437398936440173,0.0,88.97984249997535,130.23123771403013,18.78789999318542,27.6735124996776,30.858917499426752,0.0,0.0,0.0,48.3,47.45,5.751422628403083
HaarRandom,ceiling_aware,10,0.0,0.0,0.0,0.0,0.0,8.423100000072736,1.2630051388318728,8.013949998712633,0.0,0.0,100.0,100.0,0.0,275.0,275.0,16.389228431552393
HaarRandom,naive,10,0.0,0.0,0.0,0.0,0.0,138.04811000300106,19.2708468597671,132.58490000589518,41.667219999362715,53.66379000042798,0.0,0.0,0.0,275.0,275.0,16.389228431552393
HardwareEfficient,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,1.6753575015172828,0.8170976376315574,1.6489999979967251,0.0,0.0,100.0,100.0,0.0,40.0,40.0,7.781810741090859
HardwareEfficient,naive,40,0.0,0.0,0.0,0.0,0.0,13.037315000474337,10.376275185512247,9.098100003029685,3.9810849997593323,4.851907499687513,0.0,0.0,0.0,40.0,40.0,7.781810741090859
IQP,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,1.7081549987779,0.5195930215723549,1.5551999968010932,0.0,0.0,100.0,100.0,0.0,38.5,38.5,8.927777345439019
IQP,naive,40,0.0,0.0,0.0,0.0,0.0,15.250027500587748,12.445629041620162,9.37790000170935,4.635147498629522,5.725275000440888,0.0,0.0,0.0,38.5,38.5,8.927777345439019
Oracle,ceiling_aware,40,0.1584744856107085,0.23302822857936809,0.025,0.15811388300841897,0.0,2.216712501103757,2.284365831503534,0.8108500041998923,0.0,1.4355999996041646,100.0,60.0,0.0,21.325,18.925,3.3727952972881403
Oracle,naive,40,0.1584744856107085,0.23302822857936809,0.025,0.15811388300841897,0.0,7.476517499162583,8.328481299311443,3.2826499882503413,2.3638599988771603,2.581670001382008,0.0,0.0,0.0,21.325,18.925,3.3727952972881403
QAOA,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,1.5440550007042475,0.7327555267691158,1.5427499965880997,0.0,0.0,100.0,100.0,0.0,32.0,32.0,8.111386897151519
QAOA,naive,40,0.0,0.0,0.0,0.0,0.0,12.524427501193713,11.413679747321009,7.65914999647066,3.8891050000529503,4.503134999686154,0.0,0.0,0.0,32.0,32.0,8.111386897151519
QFT,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,1.0466825013281778,0.384372740039745,1.0460499979672022,0.0,0.0,100.0,100.0,0.0,30.5,30.5,14.372321578392484
QFT,naive,40,0.0,0.0,0.0,0.0,0.0,15.043257499564788,6.179682954995639,15.66869999805931,4.030267499911133,6.567597500543343,0.0,0.0,0.0,30.5,30.5,14.372321578392484
QuantumWalk,ceiling_aware,40,0.0,0.0,0.0,0.0,0.0,6.692874999134801,6.406281643301739,4.768749997310806,0.0,0.0,100.0,100.0,0.0,94.0,94.0,227.7962620990232
