family,n_qubits,n_pairs,mean_time_naive_ms,mean_time_ca_ms,speedup,wilcoxon_statistic,wilcoxon_pvalue,cohens_d_time,mean_reduction_naive,mean_reduction_ca,reduction_diff,mean_fidelity_naive,mean_fidelity_ca
Adder,4,10,3.485580002597999,0.49363999569322914,7.060975676622646,0.0,0.001953125,5.022054812941477,0.0,0.0,0.0,1.0,1.0
Adder,6,10,35.74353999865707,0.9208900009980425,38.81412542205793,0.0,0.001953125,2.576603236637191,0.0,0.0,0.0,1.0,1.0
Adder,8,10,2.1333400029106997,0.9896199990180321,2.1557163406434228,0.0,0.001953125,1.6680094257407516,0.0,0.0,0.0,1.0,1.0
Adder,10,10,2.7884199982509017,1.5102600023965351,1.8463178484672416,2.0,0.005859375,1.4719608595595224,0.0,0.0,0.0,1.0,1.0
CNOT,4,10,4.4248100006370805,1.8818399999872781,2.351321047839877,0.0,0.001953125,6.339132535261416,1.0,1.0,0.0,1.0,1.0
CNOT,6,10,13.03858000173932,4.792450000240933,2.7206501895865007,0.0,0.001953125,11.549415987900238,1.0,1.0,0.0,1.0,1.0
CNOT,8,10,0.6889099968248047,0.8442500024102628,0.8160023628759544,0.0,0.001953125,-1.456538705323354,1.0,1.0,0.0,1.0,1.0
CNOT,10,10,0.7733599981293082,0.9622699988540262,0.8036829570186204,0.0,0.001953125,-3.9808617474097194,1.0,1.0,0.0,1.0,1.0
GHZ,4,10,2.5828400015598163,0.4242699986207299,6.087727178345007,0.0,0.001953125,6.428483445091734,0.0,0.0,0.0,0.9999999999999997,0.9999999999999997
GHZ,6,10,5.610699999670032,0.5107600009068847,10.985002720862836,0.0,0.001953125,11.532372628728568,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998
GHZ,8,10,0.6944599997950718,0.41828999819699675,1.6602357282949203,0.0,0.001953125,2.4810888100609834,0.0,0.0,0.0,1.0,1.0
GHZ,10,10,0.8645299967611209,0.48374000034527853,1.7871790551619595,0.0,0.001953125,3.810649952333526,0.0,0.0,0.0,1.0,1.0
Grover,4,10,44.31680999841774,6.779059997643344,6.53730900948272,0.0,0.001953125,2.7122438691864126,0.02678571428571429,0.02678571428571429,0.0,0.9999999999999929,0.9999999999999929
Grover,6,10,303.7746399990283,48.95020999974804,6.205788289786538,0.0,0.001953125,4.059540459028783,0.020025062656641602,0.020025062656641602,0.0,0.9999999999999574,0.9999999999999574
Grover,8,10,3.5912999999709427,3.068009998241905,1.1705633299855294,16.0,0.275390625,0.36791659721148984,0.01856956198335507,0.01856956198335507,0.0,1.0,1.0
Grover,10,10,4.236620002484415,3.0864300002576783,1.372660323458076,3.0,0.009765625,1.2612625521497705,0.01215888725969369,0.01215888725969369,0.0,1.0,1.0
HaarRandom,4,10,138.04811000300106,8.423100000072736,16.389228431552393,0.0,0.001953125,7.071645103917651,0.0,0.0,0.0,0.999999999999995,0.999999999999995
HardwareEfficient,4,10,10.501770001428667,0.8413300005486235,12.48234342598096,0.0,0.001953125,4.049029439076966,0.0,0.0,0.0,1.0,1.0
HardwareEfficient,6,10,28.06665999960387,1.5515599996433593,18.08931656272091,0.0,0.001953125,2.578610331519298,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998
HardwareEfficient,8,10,5.966590001480654,2.1894700039410964,2.725129821710576,0.0,0.001953125,2.31628285099071,0.0,0.0,0.0,1.0,1.0
