optimizer,seed_base,n,mean_reduction,std_reduction,median_reduction,min_reduction,max_reduction,bootstrap_ci_lo,bootstrap_ci_hi,per_seed_mean_std,per_seed_mean_range
greedy,42,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
greedy,142,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
greedy,POOLED,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rls,42,10,-1.7653333333333332,0.09474071178292783,-1.7733333333333332,-1.92,-1.6,-1.821333333333333,-1.7093333333333334,,
rls,142,10,-1.7786666666666666,0.13773476030955611,-1.7733333333333332,-1.9733333333333332,-1.5733333333333333,-1.8586666666666662,-1.7013333333333331,,
rls,POOLED,20,-1.7719999999999998,0.115259179081638,-1.7733333333333332,-1.9733333333333332,-1.5733333333333333,-1.8213333333333335,-1.7226666666666666,0.00666666666666671,0.01333333333333342
sa,42,10,-0.23200000000000004,0.13247128736186053,-0.18666666666666676,-0.3999999999999999,-0.08000000000000007,-0.3093333333333333,-0.15733333333333338,,
sa,142,10,-0.21600000000000003,0.06705074547785286,-0.21333333333333337,-0.32000000000000006,-0.1333333333333333,-0.25600000000000006,-0.176,,
sa,POOLED,20,-0.22400000000000003,0.10251572408274996,-0.20000000000000007,-0.3999999999999999,-0.08000000000000007,-0.2693333333333333,-0.18133333333333335,0.008000000000000007,0.016000000000000014
ga,42,10,-0.06933333333333333,0.02866580532728378,-0.08000000000000007,-0.10666666666666669,-0.026666666666666616,-0.08533333333333334,-0.0533333333333333,,
ga,142,10,-0.08266666666666667,0.026518104693646783,-0.08000000000000007,-0.1333333333333333,-0.05333333333333323,-0.09866666666666671,-0.06666666666666665,,
ga,POOLED,20,-0.076,0.02773306342648691,-0.08000000000000007,-0.1333333333333333,-0.026666666666666616,-0.08800000000000002,-0.06399999999999999,0.006666666666666668,0.013333333333333336
