experiment,n_qubits,trial,seed,original_size,optimized_size,reduction,fidelity,iterations,runtime_seconds
23,3,0,5026,12,12,0.0,0.9999999999999984,0,0.0
23,3,1,5027,12,12,0.0,0.999999999999998,0,0.0
23,3,2,5028,13,13,0.0,0.9999999999999978,0,0.0
23,3,3,5029,12,12,0.0,0.9999999999999987,0,0.001001596450805664
23,3,4,5030,15,15,0.0,0.9999999999999974,0,0.0
23,3,5,5031,14,14,0.0,0.9999999999999972,0,0.0
23,3,6,5032,15,15,0.0,0.9999999999999978,0,0.0
23,3,7,5033,15,15,0.0,0.9999999999999984,0,0.0
23,3,8,5034,14,14,0.0,0.9999999999999974,0,0.0
23,3,9,5035,16,16,0.0,0.9999999999999974,0,0.0
23,3,10,5036,12,12,0.0,0.9999999999999987,0,0.0006008148193359375
23,3,11,5037,10,10,0.0,0.9999999999999988,0,0.0005548000335693359
23,3,12,5038,18,18,0.0,0.9999999999999977,0,0.0
23,3,13,5039,13,13,0.0,0.9999999999999977,0,0.0006091594696044922
23,3,14,5040,13,13,0.0,0.9999999999999978,0,0.0
23,3,15,5041,14,14,0.0,0.9999999999999984,0,0.0
23,3,16,5042,12,12,0.0,0.9999999999999987,0,0.0
23,3,17,5043,15,15,0.0,0.9999999999999977,0,0.0010058879852294922
23,3,18,5044,10,10,0.0,0.9999999999999987,0,0.001001596450805664
23,3,19,5045,13,13,0.0,0.999999999999998,0,0.0010008811950683594
23,4,0,6026,23,23,0.0,0.9999999999999971,0,0.0
23,4,1,6027,25,25,0.0,0.9999999999999971,0,0.0
23,4,2,6028,20,20,0.0,0.9999999999999979,0,0.0
23,4,3,6029,25,25,0.0,0.9999999999999967,0,0.0010056495666503906
23,4,4,6030,22,22,0.0,0.9999999999999973,0,0.0
23,4,5,6031,26,26,0.0,0.9999999999999964,0,0.0009996891021728516
23,4,6,6032,15,15,0.0,0.9999999999999988,0,0.0
23,4,7,6033,23,23,0.0,0.9999999999999964,0,0.0
23,4,8,6034,21,21,0.0,0.9999999999999971,0,0.0
23,4,9,6035,18,18,0.0,0.9999999999999973,0,0.001001119613647461
23,4,10,6036,23,23,0.0,0.9999999999999971,0,0.0
23,4,11,6037,26,26,0.0,0.9999999999999964,0,0.0010035037994384766
23,4,12,6038,26,26,0.0,0.9999999999999964,0,0.0
23,4,13,6039,16,16,0.0,0.999999999999999,0,0.0
23,4,14,6040,25,25,0.0,0.9999999999999964,0,0.0010004043579101562
23,4,15,6041,23,23,0.0,0.9999999999999971,0,0.0
23,4,16,6042,21,21,0.0,0.9999999999999977,0,0.0
23,4,17,6043,19,19,0.0,0.9999999999999973,0,0.0
23,4,18,6044,20,20,0.0,0.9999999999999971,0,0.0010001659393310547
23,4,19,6045,23,23,0.0,0.9999999999999967,0,0.0
23,5,0,7026,26,26,0.0,0.9999999999999963,0,0.0010101795196533203
23,5,1,7027,31,31,0.0,0.9999999999999961,0,0.0
23,5,2,7028,27,27,0.0,0.9999999999999952,0,0.0
23,5,3,7029,29,29,0.0,0.999999999999995,0,0.0
23,5,4,7030,24,24,0.0,0.9999999999999961,0,0.0
23,5,5,7031,24,24,0.0,0.9999999999999948,0,0.0
23,5,6,7032,25,25,0.0,0.9999999999999963,0,0.0
23,5,7,7033,24,24,0.0,0.9999999999999966,0,0.0
23,5,8,7034,27,27,0.0,0.9999999999999961,0,0.0
23,5,9,7035,23,23,0.0,0.9999999999999963,0,0.0
23,5,10,7036,25,25,0.0,0.9999999999999948,0,0.0
23,5,11,7037,24,24,0.0,0.999999999999997,0,0.001018524169921875
23,5,12,7038,20,20,0.0,0.9999999999999982,0,0.0
23,5,13,7039,27,27,0.0,0.9999999999999963,0,0.001001596450805664
23,5,14,7040,26,26,0.0,0.9999999999999966,0,0.001001119613647461
23,5,15,7041,22,22,0.0,0.9999999999999968,0,0.0
23,5,16,7042,28,28,0.0,0.999999999999995,0,0.0
23,5,17,7043,29,29,0.0,0.9999999999999963,0,0.0
23,5,18,7044,24,24,0.0,0.9999999999999966,0,0.0
23,5,19,7045,25,25,0.0,0.9999999999999961,0,0.0005278587341308594
23,6,0,8026,37,37,0.0,0.9999999999999932,0,0.00061798095703125
23,6,1,8027,29,29,0.0,0.9999999999999939,0,0.000997781753540039
23,6,2,8028,32,32,0.0,0.9999999999999963,0,0.0
23,6,3,8029,31,31,0.0,0.9999999999999963,0,0.0
23,6,4,8030,36,36,0.0,0.9999999999999963,0,0.0009999275207519531
23,6,5,8031,31,31,0.0,0.9999999999999963,0,0.0
23,6,6,8032,33,33,0.0,0.9999999999999957,0,0.0
23,6,7,8033,26,26,0.0,0.9999999999999967,0,0.0
23,6,8,8034,34,34,0.0,0.9999999999999939,0,0.0009996891021728516
23,6,9,8035,31,31,0.0,0.9999999999999957,0,0.0
23,6,10,8036,34,34,0.0,0.9999999999999963,0,0.00098419189453125
23,6,11,8037,29,29,0.0,0.9999999999999963,0,0.0010166168212890625
23,6,12,8038,33,33,0.0,0.9999999999999963,0,0.0
23,6,13,8039,36,36,0.0,0.9999999999999939,0,0.00099945068359375
23,6,14,8040,39,39,0.0,0.9999999999999932,0,0.0
23,6,15,8041,32,32,0.0,0.9999999999999963,0,0.0009903907775878906
23,6,16,8042,37,37,0.0,0.9999999999999939,0,0.0
23,6,17,8043,34,34,0.0,0.9999999999999932,0,0.0
23,6,18,8044,32,32,0.0,0.9999999999999932,0,0.0009965896606445312
23,6,19,8045,35,35,0.0,0.9999999999999932,0,0.0
23,7,0,9026,27,27,0.0,0.9999999999999964,0,0.0009992122650146484
23,7,1,9027,33,33,0.0,0.9999999999999967,0,0.0
23,7,2,9028,39,39,0.0,0.9999999999999931,0,0.0009887218475341797
23,7,3,9029,36,36,0.0,0.9999999999999931,0,0.0
23,7,4,9030,44,44,0.0,0.9999999999999928,0,0.0
23,7,5,9031,35,35,0.0,0.9999999999999938,0,0.0
23,7,6,9032,38,38,0.0,0.9999999999999931,0,0.0
23,7,7,9033,40,40,0.0,0.9999999999999931,0,0.0010006427764892578
23,7,8,9034,38,38,0.0,0.9999999999999931,0,0.0
23,7,9,9035,43,43,0.0,0.9999999999999967,0,0.0005178451538085938
23,7,10,9036,40,40,0.0,0.9999999999999931,0,0.0
23,7,11,9037,35,35,0.0,0.9999999999999938,0,0.0
23,7,12,9038,39,39,0.0,0.9999999999999938,0,0.0010008811950683594
23,7,13,9039,40,40,0.0,0.9999999999999991,0,0.0010013580322265625
23,7,14,9040,41,41,0.0,0.9999999999999967,0,0.0
23,7,15,9041,45,45,0.0,0.9999999999999928,0,0.0
23,7,16,9042,36,36,0.0,0.9999999999999938,0,0.00099945068359375
23,7,17,9043,35,35,0.0,0.9999999999999931,0,0.0009999275207519531
23,7,18,9044,31,31,0.0,0.9999999999999998,0,0.0
23,7,19,9045,36,36,0.0,0.9999999999999991,0,0.0010008811950683594
23,8,0,10026,46,46,0.0,0.9999999999999929,0,0.0009944438934326172
23,8,1,10027,48,48,0.0,0.9999999999999931,0,0.0010001659393310547
23,8,2,10028,47,47,0.0,0.9999999999999964,0,0.0010249614715576172
23,8,3,10029,44,44,0.0,0.9999999999999967,0,0.0
23,8,4,10030,41,41,0.0,0.9999999999999962,0,0.0
23,8,5,10031,44,44,0.0,0.9999999999999938,0,0.0009984970092773438
23,8,6,10032,45,45,0.0,0.9999999999999931,0,0.0006787776947021484
23,8,7,10033,41,41,0.0,0.9999999999999956,0,0.0010023117065429688
23,8,8,10034,46,46,0.0,0.9999999999999931,0,0.0009253025054931641
23,8,9,10035,44,44,0.0,0.9999999999999931,0,0.0
23,8,10,10036,37,37,0.0,0.9999999999999956,0,0.0009996891021728516
23,8,11,10037,45,45,0.0,0.9999999999999927,0,0.0009047985076904297
23,8,12,10038,42,42,0.0,0.9999999999999931,0,0.0010020732879638672
23,8,13,10039,53,53,0.0,0.9999999999999927,0,0.0
23,8,14,10040,41,41,0.0,0.9999999999999938,0,0.0010192394256591797
23,8,15,10041,38,38,0.0,0.9999999999999967,0,0.0
23,8,16,10042,46,46,0.0,0.9999999999999967,0,0.0
23,8,17,10043,49,49,0.0,0.9999999999999931,0,0.0010058879852294922
23,8,18,10044,37,37,0.0,0.9999999999999991,0,0.0
23,8,19,10045,42,42,0.0,0.9999999999999931,0,0.0
23,9,0,11026,43,43,0.0,0.9999999999999967,0,0.0009996891021728516
23,9,1,11027,49,49,0.0,0.9999999999999927,0,0.0009999275207519531
23,9,2,11028,43,43,0.0,0.9999999999999929,0,0.0010001659393310547
23,9,3,11029,44,44,0.0,0.9999999999999967,0,0.0005202293395996094
23,9,4,11030,51,51,0.0,0.9999999999999938,0,0.0010004043579101562
23,9,5,11031,42,42,0.0,0.9999999999999931,0,0.0
23,9,6,11032,43,43,0.0,0.9999999999999967,0,0.0
23,9,7,11033,41,41,0.0,0.9999999999999931,0,0.0010004043579101562
23,9,8,11034,44,44,0.0,0.9999999999999931,0,0.0005238056182861328
23,9,9,11035,54,54,0.0,0.9999999999999893,0,0.0
23,9,10,11036,49,49,0.0,0.9999999999999891,0,0.0010235309600830078
23,9,11,11037,54,54,0.0,0.9999999999999927,0,0.000997304916381836
23,9,12,11038,39,39,0.0,0.9999999999999956,0,0.0005202293395996094
23,9,13,11039,48,48,0.0,0.9999999999999893,0,0.0005233287811279297
23,9,14,11040,49,49,0.0,0.9999999999999891,0,0.0005271434783935547
23,9,15,11041,51,51,0.0,0.9999999999999929,0,0.0009951591491699219
23,9,16,11042,47,47,0.0,0.9999999999999991,0,0.0
23,9,17,11043,45,45,0.0,0.9999999999999991,0,0.0005357265472412109
23,9,18,11044,47,47,0.0,0.9999999999999931,0,0.0
23,9,19,11045,44,44,0.0,0.9999999999999931,0,0.0010001659393310547
23,10,0,12026,65,65,0.0,0.9999999999999896,0,0.0009992122650146484
23,10,1,12027,59,59,0.0,0.9999999999999927,0,0.0
23,10,2,12028,62,62,0.0,0.9999999999999891,0,0.00099945068359375
23,10,3,12029,55,55,0.0,0.9999999999999891,0,0.001001596450805664
23,10,4,12030,58,58,0.0,0.9999999999999927,0,0.0010051727294921875
23,10,5,12031,49,49,0.0,0.9999999999999931,0,0.0009996891021728516
23,10,6,12032,54,54,0.0,0.9999999999999891,0,0.0010004043579101562
23,10,7,12033,50,50,0.0,0.9999999999999967,0,0.0
23,10,8,12034,54,54,0.0,0.9999999999999964,0,0.0010006427764892578
23,10,9,12035,59,59,0.0,0.9999999999999927,0,0.0010039806365966797
23,10,10,12036,57,57,0.0,0.9999999999999938,0,0.0
23,10,11,12037,55,55,0.0,0.9999999999999927,0,0.0009996891021728516
23,10,12,12038,63,63,0.0,0.9999999999999896,0,0.0015063285827636719
23,10,13,12039,57,57,0.0,0.9999999999999891,0,0.0010004043579101562
23,10,14,12040,58,58,0.0,0.9999999999999927,0,0.0010025501251220703
23,10,15,12041,56,56,0.0,0.9999999999999931,0,0.0009975433349609375
23,10,16,12042,61,61,0.0,0.9999999999999893,0,0.0010013580322265625
23,10,17,12043,59,59,0.0,0.9999999999999891,0,0.0005347728729248047
23,10,18,12044,55,55,0.0,0.9999999999999931,0,0.001001119613647461
23,10,19,12045,58,58,0.0,0.9999999999999927,0,0.001047372817993164
