optimizer,seed_base,n,mean_reduction,std_reduction,median_reduction,min_reduction,max_reduction,bootstrap_ci_lo,bootstrap_ci_hi,per_seed_mean_std,per_seed_mean_range
hybrid,42,20,0.05066666666666665,0.03339643150737666,0.053333333333333344,0.0,0.10666666666666669,0.037333333333333316,0.06399999999999999,,
hybrid,142,20,0.05066666666666664,0.029845606609987495,0.053333333333333344,0.0,0.10666666666666669,0.038666666666666634,0.06266666666666666,,
hybrid,242,20,0.04799999999999997,0.0383031918111791,0.026666666666666616,0.0,0.16000000000000003,0.03199999999999998,0.06666666666666665,,
hybrid,342,20,0.04399999999999997,0.03268849968560666,0.026666666666666616,0.0,0.1333333333333333,0.030666666666666637,0.058666666666666645,,
hybrid,442,20,0.046666666666666634,0.022685234912624027,0.03999999999999998,0.026666666666666616,0.07999999999999996,0.03733333333333329,0.05599999999999997,,
hybrid,542,20,0.03999999999999999,0.03406220659512028,0.026666666666666616,0.0,0.10666666666666669,0.026666666666666644,0.05466666666666666,,
hybrid,642,20,0.04399999999999999,0.030312215513827522,0.053333333333333344,0.0,0.10666666666666669,0.030666666666666658,0.057333333333333326,,
hybrid,742,20,0.04133333333333332,0.025187019770355548,0.03999999999999998,0.0,0.10666666666666669,0.030666666666666648,0.05199999999999999,,
hybrid,842,20,0.04533333333333332,0.04334547738065328,0.03999999999999998,0.0,0.1333333333333333,0.027999999999999987,0.06399999999999999,,
hybrid,942,20,0.058666666666666645,0.03926815890888656,0.053333333333333344,0.0,0.1333333333333333,0.04263333333333332,0.076,,
hybrid,POOLED,200,0.04693333333333331,0.03309354286812594,0.053333333333333344,0.0,0.16000000000000003,0.04226666666666665,0.051599999999999986,0.005157087894883655,0.018666666666666658
rls,42,20,-1.7746666666666666,0.08672332830625575,-1.7866666666666666,-1.9466666666666668,-1.6,-1.812,-1.7386666666666666,,
rls,142,20,-1.7719999999999998,0.13248148938338428,-1.7733333333333332,-1.9733333333333332,-1.5733333333333333,-1.8279999999999998,-1.7133333333333336,,
rls,242,20,-1.7466666666666666,0.10994948334980428,-1.7066666666666666,-1.9466666666666668,-1.5733333333333333,-1.7946666666666669,-1.7013333333333336,,
rls,342,20,-1.8133333333333332,0.13514557885990985,-1.7866666666666666,-2.1066666666666665,-1.6533333333333333,-1.8719999999999999,-1.7586333333333335,,
rls,442,20,-1.7466666666666666,0.09135753297024479,-1.72,-1.92,-1.6266666666666665,-1.784,-1.7079999999999997,,
rls,542,20,-1.7826666666666668,0.0798946674987564,-1.7866666666666666,-1.92,-1.6,-1.8133333333333332,-1.7466333333333335,,
rls,642,20,-1.78,0.08646400055406218,-1.8,-1.8933333333333335,-1.6,-1.8159999999999996,-1.742666666666667,,
rls,742,20,-1.7506666666666668,0.10570620213398381,-1.7599999999999998,-2.0,-1.5466666666666669,-1.7999999999999996,-1.7039666666666669,,
rls,842,20,-1.7493333333333332,0.09414186135019602,-1.7466666666666666,-1.9466666666666668,-1.5733333333333333,-1.7919999999999998,-1.7106333333333335,,
rls,942,20,-1.7373333333333334,0.11712741100765746,-1.72,-2.0,-1.5466666666666669,-1.789333333333333,-1.6906666666666665,,
rls,POOLED,200,-1.765333333333333,0.10548762103182902,-1.7599999999999998,-2.1066666666666665,-1.5466666666666669,-1.7801333333333331,-1.7514666666666665,0.022142969789780025,0.07599999999999985
sa,42,20,-0.2146666666666667,0.11263146963977859,-0.18666666666666676,-0.3999999999999999,-0.08000000000000007,-0.2626666666666666,-0.16666666666666669,,
sa,142,20,-0.19466666666666665,0.06422183775355893,-0.20000000000000007,-0.32000000000000006,-0.10666666666666669,-0.22133333333333338,-0.168,,
sa,242,20,-0.2426666666666666,0.09784580302491591,-0.21333333333333337,-0.5066666666666666,-0.1333333333333333,-0.2866666666666666,-0.2039666666666668,,
sa,342,20,-0.22666666666666666,0.08410519728605548,-0.24,-0.3999999999999999,-0.10666666666666669,-0.26533333333333325,-0.192,,
sa,442,20,-0.22533333333333333,0.1085707250559804,-0.18666666666666676,-0.42666666666666675,0.026666666666666616,-0.2706666666666667,-0.17866666666666667,,
sa,542,20,-0.19600000000000004,0.07252827639750571,-0.18666666666666676,-0.42666666666666675,-0.10666666666666669,-0.22800000000000004,-0.168,,
sa,642,20,-0.22133333333333333,0.08995385431671479,-0.20000000000000007,-0.45333333333333337,-0.10666666666666669,-0.26,-0.18666666666666668,,
sa,742,20,-0.2613333333333333,0.12465812898807288,-0.20000000000000007,-0.5333333333333334,-0.10666666666666669,-0.316,-0.21199999999999997,,
sa,842,20,-0.19866666666666669,0.0726314094412803,-0.20000000000000007,-0.32000000000000006,-0.10666666666666669,-0.23066666666666666,-0.16799999999999998,,
sa,942,20,-0.23333333333333334,0.09272987873041097,-0.21333333333333337,-0.42666666666666675,-0.08000000000000007,-0.2733666666666667,-0.196,,
sa,POOLED,200,-0.22146666666666667,0.0939181486657374,-0.21333333333333337,-0.5333333333333334,0.026666666666666616,-0.23506666666666667,-0.20906666666666665,0.020382563354222356,0.06666666666666665
ga,42,20,-0.06799999999999998,0.031759328877673666,-0.05333333333333323,-0.1333333333333333,-0.026666666666666616,-0.08133333333333333,-0.05466666666666664,,
ga,142,20,-0.08133333333333333,0.02518701977035558,-0.08000000000000007,-0.1333333333333333,-0.05333333333333323,-0.09200000000000001,-0.07066666666666664,,
ga,242,20,-0.08800000000000002,0.031314290592661324,-0.08000000000000007,-0.1333333333333333,-0.026666666666666616,-0.10133333333333336,-0.07466666666666669,,
ga,342,20,-0.09066666666666665,0.03395215071260873,-0.09333333333333338,-0.1333333333333333,-0.026666666666666616,-0.10533333333333332,-0.07599999999999996,,
ga,442,20,-0.08666666666666666,0.03657884218925517,-0.08000000000000007,-0.15999999999999992,-0.026666666666666616,-0.10266666666666666,-0.07066666666666667,,
ga,542,20,-0.08933333333333332,0.03152275702609651,-0.08000000000000007,-0.1333333333333333,-0.05333333333333323,-0.10266666666666668,-0.07599999999999997,,
ga,642,20,-0.07999999999999999,0.027359422722270814,-0.08000000000000007,-0.1333333333333333,-0.05333333333333323,-0.092,-0.06933333333333327,,
ga,742,20,-0.09066666666666669,0.03283130726672492,-0.08000000000000007,-0.15999999999999992,-0.026666666666666616,-0.10533333333333335,-0.07733333333333334,,
ga,842,20,-0.08533333333333334,0.03305851625642059,-0.08000000000000007,-0.1333333333333333,-0.026666666666666616,-0.0986666666666667,-0.07066666666666666,,
ga,942,20,-0.07133333333333335,0.030672768271714473,-0.08000000000000007,-0.10666666666666669,0.013333333333333308,-0.08333333333333336,-0.056666666666666685,,
ga,POOLED,200,-0.08313333333333332,0.03177186967994238,-0.08000000000000007,-0.15999999999999992,0.013333333333333308,-0.08753333333333334,-0.07873333333333332,0.007578038444522877,0.02266666666666671
