experiment,run_id,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial
E27_new_families,e27_full_20260721_040206,QPE,3,3,10,7,7,0.0,0.9999999999999988,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QPE,3,3,10,7,7,0.0,0.9999999999999988,exact,True,0.0009846687316894531,1,0
E27_new_families,e27_full_20260721_040206,QPE,3,3,10,7,7,0.0,0.9999999999999988,exact,True,0.000990152359008789,1,0
E27_new_families,e27_full_20260721_040206,QPE,3,3,10,7,7,0.0,0.9999999999999984,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QPE,3,3,10,7,7,0.0,0.9999999999999984,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QPE,3,3,10,7,7,0.0,0.9999999999999984,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QPE,3,3,10,7,7,0.0,0.9999999999999988,exact,True,0.000989675521850586,3,2
E27_new_families,e27_full_20260721_040206,QPE,3,3,10,7,7,0.0,0.9999999999999988,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QPE,3,3,10,7,7,0.0,0.9999999999999988,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QPE,3,3,20,7,7,0.0,0.9999999999999988,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QPE,3,3,20,7,7,0.0,0.9999999999999988,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QPE,3,3,20,7,7,0.0,0.9999999999999988,exact,True,0.000990152359008789,1,0
E27_new_families,e27_full_20260721_040206,QPE,3,3,20,7,7,0.0,0.9999999999999984,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QPE,3,3,20,7,7,0.0,0.9999999999999984,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QPE,3,3,20,7,7,0.0,0.9999999999999984,exact,True,0.0009996891021728516,2,1
E27_new_families,e27_full_20260721_040206,QPE,3,3,20,7,7,0.0,0.9999999999999988,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QPE,3,3,20,7,7,0.0,0.9999999999999988,exact,True,0.0010004043579101562,3,2
E27_new_families,e27_full_20260721_040206,QPE,3,3,20,7,7,0.0,0.9999999999999988,exact,True,0.0010380744934082031,3,2
E27_new_families,e27_full_20260721_040206,QPE,3,3,30,7,7,0.0,0.9999999999999988,exact,True,0.0010616779327392578,1,0
E27_new_families,e27_full_20260721_040206,QPE,3,3,30,7,7,0.0,0.9999999999999988,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QPE,3,3,30,7,7,0.0,0.9999999999999988,exact,True,0.0,1,0
