experiment,run_id,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,3,3,10,7,7,0.0,0.9999999999999988,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,3,3,10,7,7,0.0,0.9999999999999988,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,3,3,10,7,7,0.0,0.9999999999999988,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,3,3,10,7,7,0.0,0.9999999999999984,exact,True,0.0010018348693847656,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,3,3,10,7,7,0.0,0.9999999999999984,exact,True,0.0010001659393310547,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,3,3,10,7,7,0.0,0.9999999999999984,exact,True,0.0009999275207519531,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,3,3,10,7,7,0.0,0.9999999999999988,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,3,3,10,7,7,0.0,0.9999999999999988,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,3,3,10,7,7,0.0,0.9999999999999988,exact,True,0.0010001659393310547,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,3,3,20,7,7,0.0,0.9999999999999988,exact,True,0.001001119613647461,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,3,3,20,7,7,0.0,0.9999999999999988,exact,True,0.0010001659393310547,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,3,3,20,7,7,0.0,0.9999999999999988,exact,True,0.001001596450805664,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,3,3,20,7,7,0.0,0.9999999999999984,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,3,3,20,7,7,0.0,0.9999999999999984,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,3,3,20,7,7,0.0,0.9999999999999984,exact,True,0.001001596450805664,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,3,3,20,7,7,0.0,0.9999999999999988,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,3,3,20,7,7,0.0,0.9999999999999988,exact,True,0.0009927749633789062,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,3,3,20,7,7,0.0,0.9999999999999988,exact,True,0.0010008811950683594,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,3,3,30,7,7,0.0,0.9999999999999988,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,3,3,30,7,7,0.0,0.9999999999999988,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,3,3,30,7,7,0.0,0.9999999999999988,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,3,3,30,7,7,0.0,0.9999999999999984,exact,True,0.0009987354278564453,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,3,3,30,7,7,0.0,0.9999999999999984,exact,True,0.0009984970092773438,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,3,3,30,7,7,0.0,0.9999999999999984,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,3,3,30,7,7,0.0,0.9999999999999988,exact,True,0.0010867118835449219,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,3,3,30,7,7,0.0,0.9999999999999988,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,3,3,30,7,7,0.0,0.9999999999999988,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,4,4,10,12,12,0.0,0.9999999999999979,exact,True,0.00109100341796875,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,4,4,10,12,12,0.0,0.9999999999999979,exact,True,0.0009131431579589844,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,4,4,10,12,12,0.0,0.9999999999999979,exact,True,0.0009579658508300781,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,4,4,10,12,12,0.0,0.9999999999999983,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,4,4,10,12,12,0.0,0.9999999999999983,exact,True,0.0009963512420654297,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,4,4,10,12,12,0.0,0.9999999999999983,exact,True,0.0010104179382324219,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,4,4,10,12,12,0.0,0.9999999999999979,exact,True,0.0010058879852294922,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,4,4,10,12,12,0.0,0.9999999999999979,exact,True,0.0009999275207519531,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,4,4,10,12,12,0.0,0.9999999999999979,exact,True,0.0010008811950683594,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,4,4,20,12,12,0.0,0.9999999999999979,exact,True,0.0010037422180175781,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,4,4,20,12,12,0.0,0.9999999999999979,exact,True,0.0010008811950683594,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,4,4,20,12,12,0.0,0.9999999999999979,exact,True,0.0019273757934570312,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,4,4,20,12,12,0.0,0.9999999999999983,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,4,4,20,12,12,0.0,0.9999999999999983,exact,True,0.0009996891021728516,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,4,4,20,12,12,0.0,0.9999999999999983,exact,True,0.0010018348693847656,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,4,4,20,12,12,0.0,0.9999999999999979,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,4,4,20,12,12,0.0,0.9999999999999979,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,4,4,20,12,12,0.0,0.9999999999999979,exact,True,0.0010848045349121094,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.0009999275207519531,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.000997781753540039,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,4,4,30,12,12,0.0,0.9999999999999983,exact,True,0.0010080337524414062,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,4,4,30,12,12,0.0,0.9999999999999983,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,4,4,30,12,12,0.0,0.9999999999999983,exact,True,0.0010001659393310547,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.0010013580322265625,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.0009999275207519531,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,4,4,30,12,12,0.0,0.9999999999999979,exact,True,0.0020003318786621094,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.0020864009857177734,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.0019989013671875,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.001001119613647461,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.0019986629486083984,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,5,5,10,21,21,0.0,0.9999999999999982,exact,True,0.002008199691772461,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,5,5,10,21,21,0.0,0.9999999999999957,exact,True,0.002000093460083008,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,5,5,10,21,21,0.0,0.9999999999999957,exact,True,0.0029976367950439453,3,2
