circuit_family,n_qubits,tool,n_variants,min_gates,max_gates,distinct_outputs,std_gates,listing_sensitive
Adder,4,cirq_default,50,79,79,1,0.0,False
Adder,4,prototype_greedy,50,6,6,1,0.0,False
Adder,4,qiskit_L3,50,6,6,1,0.0,False
Adder,4,tket_FPO_noswap,50,38,38,1,0.0,False
Adder,7,cirq_default,50,160,160,1,0.0,False
Adder,7,prototype_greedy,50,14,14,1,0.0,False
Adder,7,qiskit_L3,50,14,14,1,0.0,False
Adder,7,tket_FPO_noswap,50,75,75,1,0.0,False
Adder,10,cirq_default,20,239,239,1,0.0,False
Adder,10,prototype_greedy,20,18,18,1,0.0,False
Adder,10,qiskit_L3,20,18,18,1,0.0,False
Adder,10,tket_FPO_noswap,20,112,112,1,0.0,False
CNOT,3,cirq_default,50,0,0,1,0.0,False
CNOT,3,prototype_greedy,50,0,0,1,0.0,False
CNOT,3,qiskit_L3,50,0,0,1,0.0,False
CNOT,3,tket_FPO_noswap,50,0,0,1,0.0,False
CNOT,5,cirq_default,50,0,0,1,0.0,False
CNOT,5,prototype_greedy,50,0,16,8,3.9921923801340036,True
CNOT,5,qiskit_L3,50,0,0,1,0.0,False
CNOT,5,tket_FPO_noswap,50,0,0,1,0.0,False
CNOT,8,cirq_default,20,0,0,1,0.0,False
CNOT,8,prototype_greedy,20,0,16,7,4.556314299957807,True
CNOT,8,qiskit_L3,20,0,0,1,0.0,False
CNOT,8,tket_FPO_noswap,20,0,0,1,0.0,False
GHZ,3,cirq_default,50,8,8,1,0.0,False
GHZ,3,prototype_greedy,50,3,3,1,0.0,False
GHZ,3,qiskit_L3,50,3,3,1,0.0,False
GHZ,3,tket_FPO_noswap,50,3,3,1,0.0,False
GHZ,5,cirq_default,50,14,14,1,0.0,False
GHZ,5,prototype_greedy,50,5,5,1,0.0,False
GHZ,5,qiskit_L3,50,5,5,1,0.0,False
GHZ,5,tket_FPO_noswap,50,5,5,1,0.0,False
GHZ,8,cirq_default,20,23,23,1,0.0,False
GHZ,8,prototype_greedy,20,8,8,1,0.0,False
GHZ,8,qiskit_L3,20,8,8,1,0.0,False
GHZ,8,tket_FPO_noswap,20,8,8,1,0.0,False
Grover,3,cirq_default,50,55,55,1,0.0,False
Grover,3,prototype_greedy,50,19,23,3,1.3676256797823008,True
Grover,3,qiskit_L3,50,10,10,1,0.0,False
Grover,3,tket_FPO_noswap,50,29,29,1,0.0,False
Grover,5,cirq_default,50,171,171,1,0.0,False
Grover,5,prototype_greedy,50,37,39,2,0.6939740629158989,True
Grover,5,qiskit_L3,50,95,95,1,0.0,False
Grover,5,tket_FPO_noswap,50,158,158,1,0.0,False
Grover,8,cirq_default,20,1029,1029,1,0.0,False
Grover,8,prototype_greedy,20,48,50,2,0.9949874371066201,True
Grover,8,qiskit_L3,20,796,796,1,0.0,False
Grover,8,tket_FPO_noswap,20,710,710,1,0.0,False
HaarRandom,3,cirq_default,50,63,63,1,0.0,False
HaarRandom,3,prototype_greedy,50,59,59,1,0.0,False
HaarRandom,3,qiskit_L3,50,56,56,1,0.0,False
HaarRandom,3,tket_FPO_noswap,50,56,56,1,0.0,False
HardwareEfficient,3,cirq_default,50,17,17,1,0.0,False
HardwareEfficient,3,prototype_greedy,50,16,16,1,0.0,False
HardwareEfficient,3,qiskit_L3,50,10,10,1,0.0,False
HardwareEfficient,3,tket_FPO_noswap,50,10,10,1,0.0,False
HardwareEfficient,5,cirq_default,50,32,32,1,0.0,False
HardwareEfficient,5,prototype_greedy,50,28,28,1,0.0,False
HardwareEfficient,5,qiskit_L3,50,18,18,1,0.0,False
HardwareEfficient,5,tket_FPO_noswap,50,18,18,1,0.0,False
HardwareEfficient,8,cirq_default,20,55,55,1,0.0,False
HardwareEfficient,8,prototype_greedy,20,46,46,1,0.0,False
HardwareEfficient,8,qiskit_L3,20,30,30,1,0.0,False
HardwareEfficient,8,tket_FPO_noswap,20,30,30,1,0.0,False
IQP,3,cirq_default,50,11,11,1,0.0,False
IQP,3,prototype_greedy,50,14,17,4,0.7166589146867567,True
IQP,3,qiskit_L3,50,8,8,1,0.0,False
IQP,3,tket_FPO_noswap,50,8,8,1,0.0,False
IQP,5,cirq_default,50,17,17,1,0.0,False
IQP,5,prototype_greedy,50,23,24,2,0.3249615361854384,True
IQP,5,qiskit_L3,50,13,13,1,0.0,False
IQP,5,tket_FPO_noswap,50,11,11,1,0.0,False
IQP,8,cirq_default,20,26,26,1,0.0,False
IQP,8,prototype_greedy,20,40,41,2,0.3,True
IQP,8,qiskit_L3,20,20,20,1,0.0,False
IQP,8,tket_FPO_noswap,20,18,18,1,0.0,False
Oracle,5,cirq_default,50,9,9,1,0.0,False
Oracle,5,prototype_greedy,50,12,14,2,0.6939740629158989,True
Oracle,5,qiskit_L3,50,8,8,1,0.0,False
Oracle,5,tket_FPO_noswap,50,8,8,1,0.0,False
Oracle,8,cirq_default,20,9,9,1,0.0,False
Oracle,8,prototype_greedy,20,18,20,2,0.6000000000000001,True
Oracle,8,qiskit_L3,20,8,8,1,0.0,False
Oracle,8,tket_FPO_noswap,20,8,8,1,0.0,False
QAOA,3,cirq_default,50,26,26,1,0.0,False
QAOA,3,prototype_greedy,50,21,21,1,0.0,False
QAOA,3,qiskit_L3,50,21,21,1,0.0,False
QAOA,3,tket_FPO_noswap,50,19,19,1,0.0,False
QAOA,5,cirq_default,50,51,51,1,0.0,False
QAOA,5,prototype_greedy,50,39,39,1,0.0,False
QAOA,5,qiskit_L3,50,39,39,1,0.0,False
QAOA,5,tket_FPO_noswap,50,37,37,1,0.0,False
QAOA,8,cirq_default,20,91,91,1,0.0,False
QAOA,8,prototype_greedy,20,66,66,1,0.0,False
QAOA,8,qiskit_L3,20,66,66,1,0.0,False
QAOA,8,tket_FPO_noswap,20,64,64,1,0.0,False
QFT,3,cirq_default,50,19,19,1,0.0,False
QFT,3,prototype_greedy,50,6,6,1,0.0,False
QFT,3,qiskit_L3,50,6,6,1,0.0,False
QFT,3,tket_FPO_noswap,50,17,17,1,0.0,False
QFT,5,cirq_default,50,53,53,1,0.0,False
QFT,5,prototype_greedy,50,15,15,1,0.0,False
QFT,5,qiskit_L3,50,15,15,1,0.0,False
QFT,5,tket_FPO_noswap,50,49,49,1,0.0,False
QFT,8,cirq_default,20,134,134,1,0.0,False
QFT,8,prototype_greedy,20,36,36,1,0.0,False
QFT,8,qiskit_L3,20,36,36,1,0.0,False
QFT,8,tket_FPO_noswap,20,127,127,1,0.0,False
QuantumWalk,4,cirq_default,50,337,337,1,0.0,False
QuantumWalk,4,prototype_greedy,50,46,46,1,0.0,False
QuantumWalk,4,qiskit_L3,50,164,164,1,0.0,False
QuantumWalk,4,tket_FPO_noswap,50,236,236,1,0.0,False
QuantumWalk,6,cirq_default,50,1988,1988,1,0.0,False
