experiment,circuit_id,circuit_family,n_qubits,variant_idx,tool,gate_count,base_gate_count,unitary_check,error
E_listing_sensitivity_v8,bv_7,Oracle,8,0,qiskit_L3,8,20.0,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,0,tket_FPO_noswap,8,20.0,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,0,cirq_default,9,20.0,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,0,prototype_greedy,20,20.0,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,1,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,1,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,1,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,1,prototype_greedy,18,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,2,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,2,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,2,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,2,prototype_greedy,18,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,3,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,3,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,3,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,3,prototype_greedy,20,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,4,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,4,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,4,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,4,prototype_greedy,20,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,5,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,5,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,5,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,5,prototype_greedy,20,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,6,qiskit_L3,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,6,tket_FPO_noswap,8,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,6,cirq_default,9,,pass,
E_listing_sensitivity_v8,bv_7,Oracle,8,6,prototype_greedy,20,,pass,
