experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,QFT,3,3,5,6,6,0.0,0.9999999999999992,exact,True,0.0009996891021728516,48,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,QFT,3,3,5,6,6,0.0,0.9999999999999992,exact,True,0.0,48,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,QFT,3,3,5,6,6,0.0,0.9999999999999992,exact,True,0.0010006427764892578,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,QFT,5,5,9,15,15,0.0,0.9999999999999987,exact,True,0.0010008811950683594,50,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,QFT,5,5,9,15,15,0.0,0.9999999999999987,exact,True,0.0009970664978027344,50,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,QFT,5,5,9,15,15,0.0,0.9999999999999987,exact,True,0.00099945068359375,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,QFT,8,8,15,36,36,0.0,0.9999999999999969,exact,True,0.001997709274291992,53,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,QFT,8,8,15,36,36,0.0,0.9999999999999969,exact,True,0.003213167190551758,53,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,QFT,8,8,15,36,36,0.0,0.9999999999999969,exact,True,0.0030570030212402344,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,GHZ,3,3,3,3,3,0.0,0.9999999999999996,exact,True,0.0,48,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,GHZ,3,3,3,3,3,0.0,0.9999999999999996,exact,True,0.0,48,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,GHZ,3,3,3,3,3,0.0,0.9999999999999996,exact,True,0.0,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,GHZ,5,5,5,5,5,0.0,0.9999999999999998,exact,True,0.0,50,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,GHZ,5,5,5,5,5,0.0,0.9999999999999998,exact,True,0.0,50,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,GHZ,5,5,5,5,5,0.0,0.9999999999999998,exact,True,0.0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,GHZ,8,8,8,8,8,0.0,0.9999999999999998,exact,True,0.0,53,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,GHZ,8,8,8,8,8,0.0,0.9999999999999998,exact,True,0.0,53,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,GHZ,8,8,8,8,8,0.0,0.9999999999999998,exact,True,0.0009989738464355469,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,CNOT_chain,3,3,16,16,0,1.0,1.0,exact,True,0.0,48,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,CNOT_chain,3,3,16,16,16,0.0,1.0,exact,True,0.0,48,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,CNOT_chain,3,3,16,16,0,1.0,1.0,exact,True,0.0010073184967041016,48,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,CNOT_chain,5,5,20,32,0,1.0,1.0,exact,True,0.0,50,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,CNOT_chain,5,5,20,32,32,0.0,1.0,exact,True,0.0009996891021728516,50,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,CNOT_chain,5,5,20,32,0,1.0,1.0,exact,True,0.0019996166229248047,50,0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,CNOT_chain,8,8,26,56,0,1.0,1.0,exact,True,0.0,53,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,CNOT_chain,8,8,26,56,56,0.0,1.0,exact,True,0.0021829605102539062,53,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,CNOT_chain,8,8,26,56,0,1.0,1.0,exact,True,0.005011320114135742,53,0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,QAOA,3,3,8,12,12,0.0,1.0000000000000016,exact,True,0.0,148,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,QAOA,3,3,8,12,12,0.0,1.0000000000000016,exact,True,0.0,148,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,QAOA,3,3,8,12,12,0.0,1.0000000000000016,exact,True,0.0009996891021728516,148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,QAOA,3,3,8,12,12,0.0,1.000000000000001,exact,True,0.0,248,1,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,QAOA,3,3,8,12,12,0.0,1.000000000000001,exact,True,0.0009999275207519531,248,1,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,QAOA,3,3,8,12,12,0.0,1.000000000000001,exact,True,0.0009999275207519531,248,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,QAOA,5,5,14,22,22,0.0,1.0000000000000013,exact,True,0.0,150,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,QAOA,5,5,14,22,22,0.0,1.0000000000000013,exact,True,0.00099945068359375,150,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,QAOA,5,5,14,22,22,0.0,1.0000000000000013,exact,True,0.002003192901611328,150,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,QAOA,5,5,14,22,22,0.0,1.0000000000000009,exact,True,0.0,250,1,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,QAOA,5,5,14,22,22,0.0,1.0000000000000009,exact,True,0.0010004043579101562,250,1,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,QAOA,5,5,14,22,22,0.0,1.0000000000000009,exact,True,0.001997709274291992,250,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,QAOA,8,8,23,37,37,0.0,1.0000000000000036,exact,True,0.0,153,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,QAOA,8,8,23,37,37,0.0,1.0000000000000036,exact,True,0.0010211467742919922,153,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,QAOA,8,8,23,37,37,0.0,1.0000000000000036,exact,True,0.0021016597747802734,153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,QAOA,8,8,23,37,37,0.0,1.0,exact,True,0.0,253,1,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,QAOA,8,8,23,37,37,0.0,1.0,exact,True,0.0021474361419677734,253,1,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,QAOA,8,8,23,37,37,0.0,1.0,exact,True,0.0032901763916015625,253,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,VQE,3,3,6,14,14,0.0,1.0,exact,True,0.0009772777557373047,148,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,VQE,3,3,6,14,14,0.0,1.0,exact,True,0.0,148,0,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,VQE,3,3,6,14,14,0.0,1.0,exact,True,0.0,148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,greedy_phase1,VQE,3,3,6,14,14,0.0,1.0,exact,True,0.0009522438049316406,248,1,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,commutation_phase2a,VQE,3,3,6,14,14,0.0,1.0,exact,True,0.0,248,1,,,,,,,,
E26_phase2b_full_v8,e26v8_algo_20260720_160830,algo,template_phase2b,VQE,3,3,6,14,14,0.0,1.0,exact,True,0.0,248,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
