experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,4,4,25,80,80,0.0,0.9999999999999887,exact,True,0.0,210,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,4,4,25,80,58,0.275,0.999999999999992,exact,True,0.007014751434326172,210,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,4,4,25,80,39,0.5125,0.999999999999992,exact,True,0.015023946762084961,210,0,2.0,1.0,0.0,11.0,1.0,14.0,78.0,179.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,4,4,25,79,79,0.0,0.9999999999999903,exact,True,0.0,310,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,4,4,25,79,69,0.12658227848101267,0.9999999999999919,exact,True,0.007010221481323242,310,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,4,4,25,79,44,0.44303797468354433,0.9999999999999929,exact,True,0.014522790908813477,310,1,0.0,3.0,0.0,4.0,1.0,18.0,75.0,151.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,4,4,25,82,80,0.024390243902439046,0.9999999999999893,exact,True,0.0005052089691162109,410,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,4,4,25,82,62,0.24390243902439024,0.9999999999999917,exact,True,0.00801229476928711,410,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,4,4,25,82,40,0.5121951219512195,0.9999999999999922,exact,True,0.013020038604736328,410,2,0.0,3.0,0.0,8.0,1.0,15.0,91.0,176.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,4,4,30,98,98,0.0,0.9999999999999889,exact,True,0.0,215,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,4,4,30,98,76,0.22448979591836737,0.9999999999999917,exact,True,0.011256217956542969,215,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,4,4,30,98,52,0.4693877551020408,0.9999999999999919,exact,True,0.030916690826416016,215,0,1.0,1.0,0.0,9.0,3.0,20.0,200.0,136.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,4,4,30,93,91,0.021505376344086002,0.9999999999999885,exact,True,0.0,315,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,4,4,30,93,79,0.15053763440860213,0.9999999999999902,exact,True,0.012498140335083008,315,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,4,4,30,93,54,0.4193548387096774,0.9999999999999915,exact,True,0.011021614074707031,315,1,0.0,3.0,0.0,7.0,0.0,16.0,82.0,152.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,4,4,30,105,105,0.0,0.9999999999999883,exact,True,0.0,415,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,4,4,30,105,89,0.1523809523809524,0.9999999999999903,exact,True,0.0194091796875,415,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,4,4,30,105,66,0.37142857142857144,0.9999999999999915,exact,True,0.01001739501953125,415,2,3.0,1.0,0.0,10.0,0.0,16.0,143.0,132.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,4,4,40,126,124,0.015873015873015928,0.9999999999999827,exact,True,0.0,225,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,4,4,40,126,94,0.25396825396825395,0.9999999999999867,exact,True,0.015332937240600586,225,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,4,4,40,126,70,0.4444444444444444,0.9999999999999868,exact,True,0.030564069747924805,225,0,3.0,3.0,0.0,15.0,0.0,19.0,145.0,179.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,4,4,40,115,115,0.0,0.9999999999999839,exact,True,0.0,325,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,4,4,40,115,91,0.20869565217391306,0.9999999999999872,exact,True,0.03477048873901367,325,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,4,4,40,115,53,0.5391304347826087,0.9999999999999898,exact,True,0.02497410774230957,325,1,4.0,5.0,0.0,12.0,0.0,25.0,155.0,235.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,4,4,40,140,140,0.0,0.9999999999999808,exact,True,0.006613731384277344,425,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,4,4,40,140,102,0.27142857142857146,0.999999999999986,exact,True,0.03081226348876953,425,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,4,4,40,140,80,0.4285714285714286,0.999999999999986,exact,True,0.030236005783081055,425,2,2.0,0.0,0.0,18.0,1.0,20.0,90.0,225.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,4,4,45,135,133,0.014814814814814836,0.9999999999999827,exact,True,0.0020062923431396484,230,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,4,4,45,135,109,0.19259259259259254,0.9999999999999858,exact,True,0.018062829971313477,230,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,4,4,45,135,86,0.36296296296296293,0.9999999999999865,exact,True,0.030806779861450195,230,0,0.0,4.0,0.0,9.0,2.0,19.0,196.0,163.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,4,4,45,151,151,0.0,0.9999999999999813,exact,True,0.0,330,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,4,4,45,151,119,0.21192052980132448,0.9999999999999851,exact,True,0.02581954002380371,330,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,4,4,45,151,77,0.49006622516556286,0.9999999999999867,exact,True,0.04544234275817871,330,1,2.0,5.0,0.0,13.0,6.0,24.0,178.0,227.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,4,4,45,128,128,0.0,0.9999999999999831,exact,True,0.002005338668823242,430,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,4,4,45,128,102,0.203125,0.9999999999999865,exact,True,0.01598191261291504,430,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,4,4,45,128,65,0.4921875,0.9999999999999872,exact,True,0.02977609634399414,430,2,2.0,3.0,0.0,15.0,1.0,22.0,251.0,221.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,6,6,25,109,109,0.0,0.9999999999999825,exact,True,0.0,230,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,6,6,25,109,77,0.29357798165137616,0.9999999999999869,exact,True,0.01688694953918457,230,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,6,6,25,109,55,0.4954128440366973,0.9999999999999887,exact,True,0.015399932861328125,230,0,0.0,1.0,0.0,17.0,0.0,17.0,183.0,269.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,6,6,25,112,112,0.0,0.9999999999999827,exact,True,0.0,330,1,,,,,,,,
