circuit_family,phase1_mean,phase2a_mean,phase2b_mean,phase2b_min,n_rows_phase2b,phase1_is_zero,phase2b_gt_30pct,wilcoxon_p_phase2b_gt_phase1
Adder,0.0,0.0,0.0,0.0,6,True,False,
BV,0.0,0.1451161522301228,0.6922268012150271,0.5454545454545454,80,True,True,3.7929212461231114e-15
CNOT_chain,1.0,0.0,1.0,1.0,3,False,True,
GHZ,0.0,0.0,0.0,0.0,3,True,False,
Grover,0.0,0.04160455486542442,0.16095530073790942,0.1025641025641025,6,True,False,0.015625
HardwareEfficient,0.0,0.0,0.0,0.0,6,True,False,
IQP,0.001900085399520925,0.10292127585943538,0.9194670405604365,0.8444444444444444,108,False,True,9.343410879886318e-20
QAOA,0.0,0.0,0.0,0.0,6,True,False,
QFT,0.0,0.0,0.0,0.0,3,True,False,
QuantumWalk,0.0,0.0,0.0,0.0,6,True,False,
RandomClifford,0.0046881501725453455,0.21981007572460762,0.509215776091506,0.2241379310344827,108,False,True,9.342055559332888e-20
Structured,0.0,0.0,0.40871776035999724,0.3586206896551724,108,True,True,9.254359945505946e-20
SurfaceCode,0.0,0.0,0.0,0.0,6,True,False,
UCCSD_inspired,0.0,0.013888888888888867,0.0796585065951263,0.0,6,True,False,0.032799846073535935
Universal,0.0,0.04597179180314098,0.1411444922104644,0.0666666666666666,108,True,False,9.277219757889687e-20
VQE,0.0,0.0,0.0,0.0,6,True,False,
