circuit_family,optimizer,mean,std,count,min,max
Adder,commutation_phase2a,0.0,0.0,6,0.0,0.0
Adder,greedy_phase1,0.0,0.0,6,0.0,0.0
Adder,template_phase2b,0.0,0.0,6,0.0,0.0
BV,commutation_phase2a,0.1451161522301228,0.20890837484053193,80,0.0,0.6666666666666667
BV,greedy_phase1,0.0,0.0,80,0.0,0.0
BV,template_phase2b,0.6922268012150271,0.07691328994122529,80,0.5454545454545454,0.8571428571428572
CNOT_chain,commutation_phase2a,0.0,0.0,3,0.0,0.0
CNOT_chain,greedy_phase1,1.0,0.0,3,1.0,1.0
CNOT_chain,template_phase2b,1.0,0.0,3,1.0,1.0
GHZ,commutation_phase2a,0.0,0.0,3,0.0,0.0
GHZ,greedy_phase1,0.0,0.0,3,0.0,0.0
GHZ,template_phase2b,0.0,0.0,3,0.0,0.0
Grover,commutation_phase2a,0.04160455486542442,0.0674323705391593,6,0.0,0.1739130434782608
Grover,greedy_phase1,0.0,0.0,6,0.0,0.0
Grover,template_phase2b,0.16095530073790942,0.07762270101065372,6,0.1025641025641025,0.2608695652173913
HardwareEfficient,commutation_phase2a,0.0,0.0,6,0.0,0.0
HardwareEfficient,greedy_phase1,0.0,0.0,6,0.0,0.0
HardwareEfficient,template_phase2b,0.0,0.0,6,0.0,0.0
IQP,commutation_phase2a,0.124951015398323,0.060357783342530724,27,0.0276497695852534,0.2595419847328244
IQP,greedy_phase1,0.004294660177949756,0.00927813015273857,27,0.0,0.0301204819277108
IQP,template_phase2b,0.9199167336306898,0.03408268573524477,27,0.8472222222222222,0.9625
QAOA,commutation_phase2a,0.0,0.0,6,0.0,0.0
QAOA,greedy_phase1,0.0,0.0,6,0.0,0.0
QAOA,template_phase2b,0.0,0.0,6,0.0,0.0
QFT,commutation_phase2a,0.0,0.0,3,0.0,0.0
QFT,greedy_phase1,0.0,0.0,3,0.0,0.0
QFT,template_phase2b,0.0,0.0,3,0.0,0.0
QuantumWalk,commutation_phase2a,0.0,0.0,6,0.0,0.0
QuantumWalk,greedy_phase1,0.0,0.0,6,0.0,0.0
QuantumWalk,template_phase2b,0.0,0.0,6,0.0,0.0
RandomClifford,commutation_phase2a,0.21478965956458113,0.0719852444008615,27,0.0344827586206896,0.3278688524590164
RandomClifford,greedy_phase1,0.008688422438330148,0.018737877087409063,27,0.0,0.0701754385964912
RandomClifford,template_phase2b,0.48187814085621783,0.11270902995834015,27,0.2241379310344827,0.6475409836065573
Structured,commutation_phase2a,0.0,0.0,27,0.0,0.0
Structured,greedy_phase1,0.0,0.0,27,0.0,0.0
Structured,template_phase2b,0.42253035928652033,0.045618624958445916,27,0.3695652173913043,0.4857142857142857
SurfaceCode,commutation_phase2a,0.0,0.0,6,0.0,0.0
SurfaceCode,greedy_phase1,0.0,0.0,6,0.0,0.0
SurfaceCode,template_phase2b,0.0,0.0,6,0.0,0.0
UCCSD_inspired,commutation_phase2a,0.013888888888888867,0.02151657414559673,6,0.0,0.0416666666666666
UCCSD_inspired,greedy_phase1,0.0,0.0,6,0.0,0.0
UCCSD_inspired,template_phase2b,0.0796585065951263,0.06341123961079254,6,0.0,0.1428571428571429
Universal,commutation_phase2a,0.05406878306878303,0.02295225302554795,27,0.0,0.0999999999999999
Universal,greedy_phase1,0.0,0.0,27,0.0,0.0
Universal,template_phase2b,0.1409065255731922,0.036054687707227535,27,0.0666666666666666,0.2133333333333333
VQE,commutation_phase2a,0.0,0.0,6,0.0,0.0
VQE,greedy_phase1,0.0,0.0,6,0.0,0.0
VQE,template_phase2b,0.0,0.0,6,0.0,0.0
