experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers,bv_secret
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,4,3,6,11,11,0.0,0.9999999999999979,exact,True,0.0,48,0,,,,,,,,,7
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,4,3,6,11,11,0.0,0.9999999999999979,exact,True,0.0,48,0,,,,,,,,,7
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,4,3,6,11,5,0.5454545454545454,0.9999999999999988,exact,True,0.0010004043579101562,48,0,3.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,7
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,4,3,4,9,9,0.0,0.9999999999999979,exact,True,0.0,1048,1,,,,,,,,,2
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,4,3,4,9,5,0.4444444444444444,0.9999999999999986,exact,True,0.0,1048,1,,,,,,,,,2
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,4,3,4,9,3,0.6666666666666667,0.9999999999999988,exact,True,0.0010020732879638672,1048,1,1.0,0.0,0.0,3.0,0.0,0.0,6.0,9.0,2
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,4,3,5,10,10,0.0,0.9999999999999979,exact,True,0.0,2048,2,,,,,,,,,6
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,4,3,5,10,8,0.19999999999999996,0.9999999999999981,exact,True,0.0009989738464355469,2048,2,,,,,,,,,6
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,4,3,5,10,4,0.6,0.9999999999999988,exact,True,0.0010001659393310547,2048,2,2.0,0.0,0.0,3.0,0.0,0.0,12.0,7.0,6
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,4,3,6,11,11,0.0,0.9999999999999979,exact,True,0.0,3048,3,,,,,,,,,7
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,4,3,6,11,11,0.0,0.9999999999999979,exact,True,0.0010006427764892578,3048,3,,,,,,,,,7
